mtime,AJ,AO,AV,BJ,BX,CE,CI,CM,DG,DR,DX,EW,EZ,FV,G,GM,GX,GZ,HN,I,JP,JV,KY,KZ,LU,MP,MR,N,NO,OZ,P,PX,RT,UY,VW
2021-11-01T01:30,2804947,4431230,2746792,3646522,4539020,4030794,3217752,3808254,4465334,4157772,2991042,4186733,4391381,3224860,3606002,3699842,2953740,3720938,2650313,2458150,3482005,2068697,3902273,2568040,3211559,4952439,3601075,4121407,5057083,4164004,5645896,3990035,3127477,3397548,4785448
2021-11-01T01:35,3735143,3963959,2862759,3991488,2637395,3454293,3308457,3870830,3419652,3152820,3010712,4020828,2985037,3545225,3385915,4535997,2384481,3599590,3969308,4516341,2828506,3201325,4437180,3025638,4033964,2664739,2677306,3893729,4619301,3293767,3679841,4538098,3527419,4302201,3771513
2021-11-01T01:40,2367733,3319387,2769967,3938171,3456386,2783392,3371985,4103981,2282393,4075772,3183647,3380916,3755604,3451677,3222585,3831550,2340523,3396666,3558479,5222172,2678316,2499123,4809979,3643868,3043537,4238503,3545460,3686856,3788698,4222543,5033230,4619436,2947295,3320650,3799650
2021-11-01T01:45,3522927,4372585,3015809,4416438,4990611,3759816,3700250,3266181,4407857,3239390,2789747,3567702,4227433,3604607,4278121,3265032,3111970,2504253,3322436,4516358,3040234,2143942,3825725,3804442,3495724,3727757,4682040,4593559,3972364,3821992,4170391,4020758,3521408,4066830,3518476
2021-11-01T01:50,4496901,4126554,2517126,4592524,5133235,4494029,4836316,2525644,3828642,3167642,2400926,2927231,3463676,2733254,3639325,4371012,2437107,2673330,3809082,3383237,2630645,2501528,2645521,3672351,3315773,3664835,2813735,4334612,2409576,5398114,3782273,3822880,2488627,2767449,3633590
2021-11-01T01:55,4385574,3188633,2632622,4312424,4254962,3021899,2225190,3046611,2667296,3374874,2893495,4351768,3526340,3715686,3510727,2589033,2576709,2094468,4129651,4159077,3427827,2566704,4129079,4412208,4036803,2416623,4900851,3804248,4267225,4451086,3448209,3370758,2341401,3657098,3336165
2021-11-01T02:00,3212211,3829398,3127552,3322842,4677847,2885642,4287845,3947646,2621322,3421739,2661974,3823319,3321352,3148793,3494974,2525757,2490189,4892999,3793225,4048897,5134874,3299042,3264792,5482550,3512990,2252825,2805201,3263542,3635216,3529291,6232116,4092738,3269514,3403394,2977696
2021-11-01T02:05,4733638,3594387,3488864,3935564,2658581,3823319,3077862,3622192,4115992,3581925,4047328,3676145,4541683,2641413,3276726,2879807,3131259,3504103,5327650,3874400,2360985,3061918,3329810,3070542,3904192,2416536,3434225,4086136,3803019,4487575,3270686,3901235,5297833,3191854,3970624
2021-11-01T02:10,4007478,3584112,3882645,4369108,4024219,3570988,3301956,3237137,4036090,4542887,2432167,2405963,3058188,3724194,3335405,3565916,4228340,4052981,3333763,4346207,3489511,2519854,4184082,3928544,4062091,3779101,3713222,3243071,2799640,3807267,3349400,4409964,4089791,4288793,3416860
2021-11-01T02:15,3427335,4602029,3320206,3306750,3331241,2293534,3827872,2368966,4114542,4022661,3884139,3577703,3802515,3907073,3807010,3354440,3272401,4925251,4812295,3519351,4776129,3455527,5121825,4609542,3864407,2401894,5074145,5578061,2824612,4760007,4597651,3767043,3192577,3171467,4104538
2021-11-01T02:20,2904963,3204128,1809510,4113784,3892001,3678691,4262770,1857620,3573921,4354356,3172788,3037998,4389729,3698582,4136979,3904288,2973890,3594390,2760645,4451778,3746385,3494320,4309693,2714606,4014025,3659284,3502268,3570772,4637798,2409163,2765765,4020531,3281662,3472774,3279497
2021-11-01T02:25,3386306,2323956,4132105,4562559,3246387,3161074,4116256,2902692,3476669,3496657,1844707,1825693,4071465,3166358,2900102,3624743,2813364,4181883,2462487,4341935,4045217,3800430,5375485,3059075,2920086,3317664,3907649,3321496,3530955,3986670,6013693,4641585,3788470,3152568,4077443
2021-11-01T02:30,2361311,4201769,2689833,4522834,2386288,3189293,4318786,2839149,3031103,4207032,2041541,2440586,3513976,2652775,4792713,4028656,4207105,3551388,3185882,3924549,2516150,2608871,4522362,3570184,4664008,3679904,2877528,3808231,4464066,3562552,6436509,4427738,3631239,2177770,3196241
2021-11-01T02:35,2586400,3798744,3524977,3855932,4959016,2987359,2614074,3897152,4456338,2786886,3838355,3438494,4091687,2288831,2808598,4008504,3351461,3872900,3516575,3100198,2609230,2315790,3793409,3124035,2887496,3116400,3172238,3375956,4520833,4074433,4327597,5159468,4606686,3339861,3965772
2021-11-01T02:40,4151695,4079557,2504496,2535650,3523782,2499481,2945798,2776938,4455803,3504510,2408233,2851818,3285832,3651338,3461646,3829648,2418556,4187955,3607480,3086814,4322004,3707444,4076062,2954018,4222064,3798613,4181060,3049209,3893744,3581964,3870066,2604439,4988853,5555461,4362985
2021-11-01T02:45,4146696,3831664,2402732,3870211,2911150,3814358,4813360,3218157,3204562,3742560,3904888,3917715,4351951,3995685,4062430,3746198,4438665,3912174,3265769,2412761,2634446,1992664,3521740,3357852,3435447,2423074,4191808,2963000,3563748,4053477,4468533,5472206,3061070,3518301,3601678
2021-11-01T02:50,3935691,4094121,4536487,3715391,3628368,2124770,4186749,3942038,3357809,4394832,1762156,3843630,3811614,3622441,3298794,5701988,2835139,3769030,3167459,3491565,3014873,3624396,3460412,3467733,2784879,3395418,3279610,3952960,4717925,3691393,3460301,4114972,2921383,4617708,4711522
2021-11-01T02:55,2905428,4061342,4282565,4077182,3777504,4510145,3270788,4346301,3407548,3527541,3404348,4217544,4129321,3933378,4009144,4213765,2888518,4336150,4777154,3651463,2938776,3211024,4383894,4004160,3970486,3239687,3468943,3802394,4037012,3578868,4889385,4495873,4272036,3612020,3515155
2021-11-01T03:00,4102250,2704100,2604120,3637215,3318693,2712680,2239907,2697782,3250954,4378163,4031380,3434809,3730560,3048118,4312136,3411416,4306204,3103407,4292093,4634888,3430368,3826744,4743941,3664575,2655963,3566315,3173799,3202027,3395228,4888932,4793388,5343220,4296317,4154349,4420274
2021-11-01T03:05,3840283,4384199,2874216,3740532,3743240,2578187,2650514,1773438,3701787,5289860,3657587,3887884,3351213,4554048,3964918,3161250,4241384,4081400,3165500,4872750,3820558,3450960,4975886,5186323,5149971,4245458,2880135,2359324,2524735,4386051,4286432,4017943,4409572,4335198,3547467
2021-11-01T03:10,4252776,3787912,2458243,2939285,2275719,4677484,3201722,3189324,4634521,3186543,2039234,3593268,3783771,3413904,3830943,3015508,2563209,3420258,3511979,3215227,2565088,3042157,3708406,3933258,3607076,1775685,2533657,3893490,3698682,3945104,4506546,3675959,2311153,3038616,4217217
2021-11-01T03:15,3600026,3554134,2997666,4744848,3609894,3747890,3524758,3128897,2977612,3715023,2622747,2655366,2796796,4253340,3080798,3490854,2391396,2356570,4870093,3568093,2465102,2798010,4637332,3277730,2376805,5214526,3992127,3556389,2836926,4667874,4111992,3721897,3644388,2923024,4279426
2021-11-01T03:20,4338490,3202467,3123291,3175752,4259361,4151000,2812024,4649664,3778086,2928657,4261657,4068745,5152354,2698759,3498755,2788991,3594763,4077501,5128293,4549804,4056244,2423081,4815962,3027800,3246638,2513077,3254592,3152954,3137766,3909990,4062466,4685036,4057331,2559331,2956776
2021-11-01T03:25,2986972,3806635,4305526,3287388,2980965,2706222,3760812,4047566,3042826,4608264,3883460,3987583,5929491,3689043,2629751,2419963,3659673,3127480,4354443,3748022,2894334,2660323,4201946,3334142,2601653,2569600,3465732,5679153,5052260,4500955,4110101,4786291,2594892,2715077,4139521
2021-11-01T03:30,2727730,3164570,2304886,3818305,3783987,4312093,4490502,2878487,3487490,4345640,3312965,3234088,3713760,2696444,2683681,4734407,2996487,4450875,3531760,3314976,2538173,2567121,3436857,4480423,3412197,2447598,3504698,3545219,4168757,3828532,4735997,4339049,2701680,3411369,4341918
2021-11-01T03:35,4528192,3309118,2726601,2447177,4280700,3833344,3749923,2411972,2815134,3086151,3247156,3970647,3729643,3405404,4706600,4572935,2520062,2655519,3858203,4553074,3085845,3701781,4864569,3615210,3040455,3245585,3562447,4005242,5290684,5596787,4648227,4913135,2952272,2249057,5172887
2021-11-01T03:40,4169917,3185054,3522501,2978817,3321185,3546572,3356725,2707148,4019465,5534384,3052914,3147667,4152642,4815140,3044909,2666839,2083656,4756146,4316407,3010717,4072151,1762010,3845968,3261155,3156199,1869410,2077221,3903720,4794362,4639864,4721959,4798741,3502535,4321234,5136826
2021-11-01T03:45,3506925,2923837,3712441,3491717,4134127,3414979,3246925,3439508,3672965,4938490,3093054,4443397,5094070,2354540,2892696,3316308,3854411,2750760,3841442,2595146,3793816,2738127,4162558,2698531,4354825,3693712,4318261,4113628,4641464,3747265,2924117,4292252,4232561,3417134,4098418
2021-11-01T03:50,4337961,4985883,2679864,3935759,3560602,4035306,3750520,3217508,3589587,2452641,3084785,4097550,3240555,3334168,4864332,2782022,3454985,3415324,4383045,3498390,4200729,2377811,3820342,4261158,2471043,2859841,3372292,3543185,4692976,5445319,4402615,3913206,3838595,2806777,5264658
2021-11-01T03:55,4201730,3531368,3546398,4709526,3712048,3798969,2251408,2959376,2640051,3434573,2918399,2627532,2989227,3300019,3446212,2493992,1681708,3648303,5023532,3782831,4352321,3665564,4950504,2867933,2849284,2636244,3516357,3811257,4860150,3034139,4025077,4542622,4669995,3570130,2565313
2021-11-01T04:00,4142499,4333019,1976326,4454907,4365906,3699202,3921584,3041354,3201508,3422697,2365221,3636174,3830413,4791995,3119493,4121036,3409472,2792120,4638748,4291982,3499271,4251365,5442930,4165094,3304395,2725529,1679611,3493080,3962519,4313826,3733479,2224123,3788920,2950056,2497310
2021-11-01T04:05,3043935,3550927,3392251,5072565,5062495,3835398,4481206,2383280,2389025,4442884,4195634,4003416,2939536,2592922,3571704,4470899,3427374,3112324,5051065,2917746,3970733,3001002,2940559,3490287,2498406,2662958,2923762,3624161,3728424,3507392,3896012,4109120,4443704,3915912,4372877
2021-11-01T04:10,3915198,2653564,3768980,2930992,3821427,2021635,3053215,3461031,3899227,3678547,2499564,4626042,2590780,3746171,2655020,3775662,2295497,4687084,3465424,4281973,2975966,2545855,2498481,3622462,2977444,2429034,2660880,4605113,4087290,2647281,3151988,4749093,3437384,3191475,4460183
2021-11-01T04:15,2003934,3299660,2752371,4173309,4175384,3581076,3793550,3144441,3627758,4371098,2595726,5681234,2408681,2987628,3946549,3246146,2523962,2861097,3264865,4544097,4208098,3201573,3252808,3165048,4094851,2106361,4077069,4142580,3079051,3997502,6073689,4907737,3398730,3609762,3336461
2021-11-01T04:20,3346808,2794203,3824555,2525471,3683030,2694773,2799943,3383317,3989719,4537727,2905168,4347313,4397103,4274714,4173532,2876575,3873592,2558837,4057308,4487258,2956212,3471340,3945715,3513065,2945351,2642914,4767941,3628247,4520528,4688542,4839501,4061230,4057763,4363180,3836365
2021-11-01T04:25,2470668,4058135,2753166,3594467,4084685,5104571,4842730,2133522,4388885,3836222,2697354,2915892,3260032,4412966,3537539,4187994,3377583,2524599,4171708,3799011,4624373,1822981,5279138,4107753,2844943,2187258,1964757,3078379,4332099,4650222,5201932,3304606,4684376,4143087,3043317
2021-11-01T04:30,3713578,3617453,3264977,5421855,3928606,2647232,3757522,4461262,4015476,3292103,1911255,4650865,3904804,3885396,5372488,3115716,3107895,3826222,4407428,4110729,2833849,4103697,3130300,2188897,3862150,2680238,2533663,4334438,4943798,5014863,4616962,4865451,4488350,3288300,3766725
2021-11-01T04:35,3902701,3469470,2765685,3466633,4439360,3307873,3304203,3430937,2410805,2726721,3725449,2907797,3151391,4525782,3430705,3193819,3527582,3446863,2953365,2736245,4579568,2201857,4531540,3478421,3546345,4125335,3718927,4020497,4234173,3794693,5142575,4454899,4147832,3654954,3656047
2021-11-01T04:40,3833735,3621804,3096509,3525927,1670730,3499239,3598990,3221767,2667624,3110914,3244295,2260234,3216404,4322086,4241889,3039944,3615167,2387849,2945570,4564030,3436379,3100945,4390166,3249927,6117043,2623184,4283429,4090775,3618373,4185739,4707214,2805831,5458286,3840835,3637065
2021-11-01T04:45,4269436,2661778,3328210,4463704,3947225,4040418,4133686,2728321,3605859,4487659,2747538,4351598,4106641,2441872,4056557,3961082,3950886,4900294,4720054,3868082,3202234,2130812,2843143,3381675,3291768,2023989,2144736,4578943,3646197,4941955,5524659,3320809,2582068,3702424,4318462
2021-11-01T04:50,3473395,3248034,3296715,4182399,3035281,2560506,3762371,3972850,3439329,3831024,2317800,3367818,4367943,3469216,3121872,4494037,1507283,3976972,5186798,3605881,4096729,3412059,4546924,2367237,3353865,3269651,1734261,3549374,3275784,2577494,5512244,3953758,3248517,2799991,3185763
2021-11-01T04:55,3249068,3741020,4475957,3312587,3646691,3481766,3526902,3074508,3902017,3356936,2315619,4494572,4067247,4792926,4289883,2448645,3739456,3080795,3392408,3460972,3317678,2474139,3881778,3236517,3432590,1835221,2812835,3479409,4529309,3756337,4873785,3603409,3475055,3245161,3733630
2021-11-01T05:00,2876102,3396523,2918697,4157899,3699991,4486267,2845224,2993511,2423701,3207672,3642151,3097478,2619329,2679702,4044259,3531914,3308821,2995427,3953672,2920831,3886032,2494274,5482409,3224232,3195228,3474299,3670298,2909680,3752732,4659662,4340750,3460556,4164713,3655141,3123089
2021-11-01T05:05,3887368,2607899,3241112,4193602,4207764,4197464,3995735,4050369,3804820,5088725,3503759,2758778,3462192,3567178,4701996,4808347,4046840,3664308,3865089,3281810,4135582,3233758,3029630,4347446,3076037,3764286,3113890,3205617,3428038,3554804,3596422,4213026,4421134,2981198,3766816
2021-11-01T05:10,2989930,4455676,2014719,3510405,3205716,3886136,4626816,3761551,2327366,3518014,3961209,3111106,3654447,2564189,3165480,2296280,3327747,3202295,3873677,4520905,2675169,3311705,5683771,3469749,3981849,2729600,2471091,3210575,5455982,3131740,5287950,4580435,3908946,3099538,3429983
2021-11-01T05:15,3880957,3402090,3379201,4858600,2800665,3676190,3079782,2166625,2740077,3025024,3270165,2882943,3690716,2515756,3792371,3855296,4681598,3122069,4154668,4814797,2804482,2850907,3765140,2605016,3724371,2952928,3833486,2961050,2108223,3870206,5721277,2871102,5142572,3296598,4963586
2021-11-01T05:20,3817348,3173263,4118560,3231020,3638018,4038531,2780405,3712485,2972400,3945160,2638570,3209521,3111460,5110602,5270699,3490712,2318964,3891450,3849296,4326979,3993985,2414495,4051432,3995863,3513552,2394157,3748410,4229740,3739746,3702245,4230496,3154869,4351026,4158110,3473383
2021-11-01T05:25,3784102,3798160,2555330,3347511,4184804,2935791,4500517,3424965,3346569,3545331,2746427,2892098,2845765,1898710,3260745,3883119,3071249,3910787,2836170,3474760,3634278,2295376,4121793,3238072,3622001,2989097,3942361,4471543,3752851,4610675,6493805,5134204,3767525,4562931,4869675
2021-11-01T05:30,4105160,4516275,3202769,3522951,4344312,3825478,3051578,3138023,1569771,3781116,2548825,3364502,4514677,3894519,3002173,2599846,3061059,3187803,3190029,3333313,3144286,2204744,4895528,1928490,2946942,3343054,4385713,3821504,4038262,4468735,3939390,4029318,3591612,3755060,3147816
2021-11-01T05:35,3581617,4336996,3576280,3665426,2645157,3745248,2724945,4148722,4129381,4101816,3014847,3054391,3452928,3566076,4627311,4156250,2879053,4791689,4518526,3422163,3847427,2785296,3203248,4568043,2644532,3132669,4401374,3326548,4327950,4476517,4348966,4090728,3959646,3853322,3801888
2021-11-01T05:40,4486965,1935109,2749074,3906258,3181263,4002861,3366986,2698563,2438543,3226660,3233872,3889953,2308480,3052092,4374055,3055908,2786727,4202365,4767799,4119210,4494925,1608722,2552140,5213573,4713960,4894292,4184124,3689947,2823734,4667047,4347743,4192158,4055499,3394680,4576561
2021-11-01T05:45,2122584,4028287,4029589,3308133,3617227,2429945,4341290,3015801,3335249,3960226,3921549,4089818,4311604,2822291,4506161,3998793,2619434,3535309,4657268,4138651,3926929,3487690,4770666,3628739,3257084,3006204,2828388,4190186,4712638,3044060,4230636,2893622,4263933,3499339,2665496
2021-11-01T05:50,2869531,2768423,3348781,4319308,3632111,2702964,3578168,2171230,2995995,4036871,1965037,2258304,3912033,3748314,3188749,2484240,4200792,3021285,4233610,3660805,4237838,3548282,3251132,2796727,2725926,2678925,3282313,3115422,4365198,4917661,2829055,3681703,3901131,4181466,3595822
2021-11-01T05:55,3684981,4443687,3064157,3312255,4336974,3354038,4269699,2464952,2762828,4641437,3689268,3354727,3083604,3087652,2482988,4979095,4718048,3542317,2560675,4549256,4017831,2761034,4477257,2602675,2873390,2940389,3725539,3501556,4011614,3571654,4078640,3057964,5819320,3233358,4323509
2021-11-01T06:00,4279665,2416138,2754974,2983103,4004757,3895386,3958792,3069253,4527101,2160956,4725465,3785890,3840822,2893559,2559590,3172867,2209937,3716566,3531023,4749269,3591457,3190556,4193725,3304190,3653775,4041772,3325614,2969670,4756829,2971316,4577003,4159351,3980029,3077548,3561937
2021-11-01T06:05,3627785,4660106,3555775,3589878,3722852,3104813,5348469,2821061,3829539,3578239,2272732,3745985,3844142,2460826,2873165,3793391,3789842,3513605,3993387,3316628,3936637,2915207,3927192,3806704,3274665,2955100,4569494,3865502,3739560,3575161,2436753,4023249,3793643,3400124,2776933
2021-11-01T06:10,3278296,2337222,2965428,3586118,4751363,4159569,3396749,3043448,3009149,2670983,2365189,3145611,5113668,2517116,3075987,2911043,3145197,4010566,3290899,3568329,3826535,1742975,3559205,3379982,4536451,3282820,3619593,4482155,3738503,3315756,4682069,4379118,3475699,3918332,4267621
2021-11-01T06:15,1964837,4898141,2235348,3504683,3207143,3285064,3679634,2732285,3595616,3622890,2889568,3592471,5589439,3890625,2566130,4338553,2756660,3662576,4620274,4108492,2259141,2513475,3973244,2946723,3547137,3060757,3765084,4008965,2959839,3354929,4139710,5681675,4836210,3108053,3369544
2021-11-01T06:20,4036136,4254073,4088293,3915511,3183892,4075818,2841193,2749743,2809826,2436985,2904620,3995339,2532339,3454287,3402645,2659761,3126770,3809116,2626117,5551941,1500265,5192626,5019753,3832037,4160680,1731396,2215391,4792218,4836074,4182642,4050370,3091418,3022311,3942635,3470476
2021-11-01T06:25,3805772,3972606,3322442,4527871,3416778,4431488,3261001,3221463,2776082,3699757,2342150,3917441,2163377,2660262,4661532,4007322,1934477,5384326,4150688,4041183,3778816,3357389,3213350,4140142,4176584,2765594,3845909,4393013,3170326,4820924,3818245,3769998,3398895,4880658,4117401
2021-11-01T06:30,3517021,4423231,3246913,4073993,4037211,4504351,3286239,2906908,4235035,4297432,3763490,4074347,4311748,3694294,3747302,3849860,2531988,3516429,4125138,3331513,3494008,2503080,3268948,4785418,3736146,2739757,3577047,2732127,2907507,3106702,5466794,4804252,3075054,4257622,4363022
2021-11-01T06:35,3529511,3754832,2603437,3884105,3732447,3202119,2433821,3867558,2552879,3735249,2787194,4684748,3879432,4075731,3626870,4202691,3270672,4662179,2632389,5499325,3525323,3435285,4327039,3232819,3839560,4129852,4718384,2796005,3902463,3977811,5774059,3863160,3542455,3315656,2814342
2021-11-01T06:40,2531561,2743364,4023296,3921457,4370532,3544499,2924408,3066622,2104522,3242548,3333141,3167494,3390949,4704546,4310883,3151178,2544162,4249617,3890453,3122248,2479740,3119028,4134666,5839230,3278303,1893212,3570461,3294454,3373431,4588481,3888433,3536588,4167636,3577104,2846436
2021-11-01T06:45,4776708,3551213,2680897,4801193,3402689,3030598,2742332,3208367,2771320,3068292,4099714,3899595,3280344,2766873,4259184,4062023,3603136,3813867,4677618,3707413,4265142,2578624,4552945,2437853,5467660,2925995,3202966,3019053,3524153,4529051,3810498,3096688,4838107,5498797,3393388
2021-11-01T06:50,3770055,3184856,3301778,3842717,2659100,4195242,3025781,2895984,3376320,3476492,2950885,3684536,4553161,3119979,4573754,3307453,4266917,2791188,4411728,4327980,3131379,1653920,4283392,3456064,2327863,2954228,4693865,4557678,3042922,3909370,4140902,3064812,3761562,3850949,4148897
2021-11-01T06:55,3856130,3984563,2287735,3757530,2646225,3290098,3498248,1901476,3345188,3782932,3910170,3534250,4457115,3062306,3785365,5162377,3648791,4335624,2965899,3962463,4416352,1966032,6049977,4264801,3781341,2399816,3834699,4545547,3662863,4500307,4679416,4993536,5394272,3570066,4490413
2021-11-01T07:00,4538943,4000774,3377236,2344913,2815040,4628135,4480575,2906098,3062473,2784723,2565726,2848666,3406988,3234477,3405173,2944145,3450618,3210622,4853880,3159310,3539766,2636865,3294375,3023166,4598657,2147368,3676833,4696933,4509139,3612552,4662638,3482068,3491196,3843907,4002921
2021-11-01T07:05,4426766,3924750,3297095,4304632,3675806,3435666,4376366,3153353,3460691,3767315,4146863,4207365,4201502,2765704,2908094,4679000,3211873,4004858,3872331,3033471,2655014,2062087,5752118,4074768,3304305,3677888,3505554,4399060,2307810,3071121,3773612,4075413,4805197,2907599,3053156
2021-11-01T07:10,2137684,4542531,1954967,5265167,3211669,3636632,3602599,3213921,3127352,4079789,2478786,3521909,3459196,2778252,2876553,3660530,2574267,3222906,2630505,4915075,3298098,1839982,4688509,2986760,3758748,2855030,4568763,3757564,3040427,3181259,5428822,4244323,4693009,3739296,4575771
2021-11-01T07:15,2544460,3630991,3190223,4161871,2623873,5006162,4350912,3402949,3482292,5047914,2199348,3991583,2919990,3983409,2591620,2544967,3247796,2693280,4182160,4236630,3176856,2376334,3194797,3736918,3083908,1735911,3325758,4994674,3519087,3962709,5901531,3219636,5517383,3319788,3793637
2021-11-01T07:20,3298187,2829526,4399874,3774439,2861888,3530156,4167405,4558020,2461784,3760839,3129203,2426274,3149053,2509196,2390932,2670429,2838264,3062756,4514256,3159574,4344480,3254084,3360250,3604815,2902930,2068790,4480936,5160951,3835264,4532189,3822007,4019471,4320273,3904226,3655346
2021-11-01T07:25,3072521,3065385,3278580,3374875,3095966,3881888,4021129,4005362,3582396,4231481,2652702,4187067,2362654,2385082,4878213,3761807,1237563,2582784,5420822,3811133,3480973,3246423,3889818,2938662,4016164,3455234,3521506,3926013,4674997,3966566,4710591,3407729,4181362,3516883,3699576
2021-11-01T07:30,4203311,3111074,3073403,4472235,3623143,4199490,3123674,2274637,2217433,4753735,2967779,2810275,3902743,3015436,4011476,3759475,3061055,4573234,3604036,3244749,3920021,3701234,2221926,4222805,2613539,2691765,2988790,3289879,3359585,3794929,5300013,5166019,4011163,4102579,2918480
