mtime,C,CM,DL,EN,EW,FN,FR,GO,H,IS,JM,JV,KZ,MR,NT,OR,SY,V,X,XZ
2021-11-01T01:25,2167445,2516912,1733396,3173122,3751730,1849424,3105987,3419414,2470858,3280791,2574542,2567337,3115762,2172443,3787438,2497558,2576212,2689794,2633386,2965921
2021-11-01T01:30,2555072,2051317,2752912,3352607,2524953,3388331,3239752,2685958,2716176,2704368,2837727,2151574,2802768,922897,2730836,3451380,3006386,1408586,2225926,1667188
2021-11-01T01:35,1692717,3767737,1965865,3155710,1793539,2534737,3443869,3770443,3517912,2350870,2860185,2437877,3782792,3792201,3281684,3574828,3025076,2635967,3865883,2917631
2021-11-01T01:40,2421703,2394114,1922105,4172886,3278057,1626302,3415297,3206246,3159292,2449504,2305789,3314929,3451287,2779257,1797975,3442825,2785648,3603224,2092298,1707108
2021-11-01T01:45,2742975,2535170,1668449,2016064,2914719,2280303,2335730,3043049,2505540,2589011,2627262,2528430,2435336,3115845,3634454,2923168,3899531,1741074,2664464,2543474
2021-11-01T01:50,2906513,3071595,1533968,3440118,2794406,1406832,3233786,2069781,3650682,2808861,2487319,3014513,2193688,2339318,3533855,1751636,3307163,2589064,3186507,2418075
2021-11-01T01:55,2305838,2251018,2417938,3395033,2071378,2003020,3724721,2549181,3653732,2334361,3098152,3433328,2580896,2053514,4087401,1809380,2799991,1611313,2409463,2376105
2021-11-01T02:00,3456595,1627725,2223981,2496028,2431472,2273045,2767153,2681029,4009283,3123705,3405337,2737340,2875448,1934920,3920987,2842940,3403683,2641909,3421001,3595393
2021-11-01T02:05,3915646,2402002,1981952,3242084,3328599,3500352,2149026,2055017,3759646,3473727,2346909,2822104,3564135,2824755,1751263,2079708,3968484,2009624,1814656,2518957
2021-11-01T02:10,2917972,2564181,3639852,1980611,2151565,2406029,2802637,2165747,2671546,3236762,3071051,2294732,2559675,1936625,2086432,2409522,2799081,2312620,1856607,2521380
2021-11-01T02:15,3495923,3017812,2219860,2116368,2668009,2640289,3493833,2430382,2756986,2090095,2158994,1938040,4116063,1889719,2651340,2882281,2514103,2464504,3033955,2914564
2021-11-01T02:20,2717025,3202493,2331882,3947389,2158106,2356104,3089786,2769003,2442630,2946834,1852038,2450065,3132097,2740381,3167870,1588589,2675435,1607292,1988300,3102404
2021-11-01T02:25,2925060,1820977,2135263,3643092,1940665,3112214,2484927,3134652,3214810,2833441,2373460,1685466,3166827,2513588,2317816,2068491,3657602,1760669,2457173,2317302
2021-11-01T02:30,3188973,1759753,1849132,3620987,3594568,2827165,2726989,3011003,3760358,4133611,3026062,1767829,3155111,2490083,2964337,3115942,3839880,2291008,1673133,2116281
2021-11-01T02:35,2014162,2556202,3117765,2178391,2465825,2097338,1814043,2779463,3203600,3286513,2005909,1656111,3200967,2786980,3791301,3391327,2869614,3150220,3185608,2087049
2021-11-01T02:40,3026792,3436875,3139973,2418279,2945496,1338496,2247432,4855104,4033621,3262844,2818209,2104300,2975267,1953224,3559008,3357427,3680819,2969902,2669092,3670322
2021-11-01T02:45,3455672,2712390,3072354,3564499,2947896,3416243,4199980,2813192,2989559,3242294,2925624,2287570,2880207,1698855,2635797,2344925,3616763,3334242,2255429,2964194
2021-11-01T02:50,3432695,2041156,2642223,3277393,3080371,3497626,3102969,3559384,2130021,2735189,2128679,1909049,2586352,3067006,1698488,3516471,3680148,1802838,1702825,2534366
2021-11-01T02:55,1966841,2166644,2543182,2306287,2899512,2751053,2707621,1919446,2290009,2337396,3548708,2655362,2070865,3214679,3235817,1691610,2596893,2631190,2571002,2528416
2021-11-01T03:00,3256922,2292015,3840427,3548152,2941870,875068,2836862,1924250,3088980,2434064,2866602,3410481,3373447,2584707,2059666,1717898,3458721,3570909,2518844,2719322
2021-11-01T03:05,3706782,2572983,1626660,3458933,2090665,1821557,2320308,2729505,4073524,4015239,2399829,1999625,2638529,2043266,3648590,1885478,3418684,2178013,2806485,1433491
2021-11-01T03:10,2760379,2687859,2552033,2717966,1986953,1888785,1985407,3180101,2545171,1800076,2219438,2351135,2221361,3214372,2309695,2156336,2588632,2823904,2489435,2132017
2021-11-01T03:15,2569486,1916967,3062990,2855005,2120820,2123359,3992500,2704027,1411438,3712948,1998706,1895382,2896321,2297431,2552269,2207132,3617263,2184662,2717003,2832449
2021-11-01T03:20,3148654,2235210,2589050,3734005,2584073,2323269,2757232,3669166,2392161,2937664,2376659,2799662,2275960,2668768,2646728,2199888,3444193,2168893,2375572,1868187
2021-11-01T03:25,3221970,2434462,2195476,2710692,1359337,2687389,2554393,2972916,2826696,3036171,1707244,3109414,3737797,2448589,2591992,1750336,2888323,2522832,1979535,2308980
2021-11-01T03:30,2499326,2099356,2292686,3792032,2487331,1610097,2399633,3181666,2567568,2694610,2849803,2022666,3262619,2732727,2395767,2587467,4349120,1887666,2458860,2748004
2021-11-01T03:35,3256492,2248566,2233965,2100217,3269130,2430362,3297926,1233127,2399747,2118611,2067263,2348652,3653225,3188073,3846904,2076512,3538890,2784100,2654779,2806583
2021-11-01T03:40,2558175,1732611,1939989,1898559,1641830,3338670,4109167,2639110,2720909,3480725,2268249,3340155,2956769,1794453,3073058,1995754,2069956,2025364,1762323,3456416
2021-11-01T03:45,2881624,1204454,2421385,2053098,2578091,2082591,2309274,2488269,4401477,2794929,2307944,1957797,3295117,2445338,2674264,2662638,3472081,2340515,3518076,1945713
2021-11-01T03:50,2071448,2950708,2643474,2184497,2696280,4257952,4718217,2222120,3014807,3111455,2875747,3270704,2469008,1377672,3772090,3203481,2871062,3481076,2022087,3308300
2021-11-01T03:55,2570207,2640920,1816957,2565826,2239432,2316536,2642594,3306779,3596672,2461640,1317929,2648050,2492251,2618828,3286699,1610768,3306971,1398591,3582099,2510339
2021-11-01T04:00,3365788,3000984,3373690,2598585,2014780,3109527,2961075,2134430,2808687,3409067,2636692,2536702,2190223,3440778,3003599,2475770,3314084,2482788,2648388,1788645
2021-11-01T04:05,4259994,3170148,2649315,3920388,4065185,4157634,3119759,3108326,2843084,1718026,2944926,1578555,3546855,1597886,2211683,1584045,4271880,3849353,2377019,1855179
2021-11-01T04:10,3147738,3337648,3380623,3801641,2681187,2902401,3033021,3588244,3372967,3764518,2838938,2775990,3506511,1522330,3659009,2626455,3049773,2385363,2150595,2781599
2021-11-01T04:15,2886188,1578488,3048643,2914394,1895615,1893911,2509410,2061348,2630904,1862766,2597310,2038495,3085112,3040019,3422375,2962192,3399329,2355015,3522285,1814792
2021-11-01T04:20,3466004,2474855,3783972,2484888,3080562,3869399,3043488,2803675,3416739,3701185,2648272,1865517,1604811,2548321,2033828,2182326,3180097,2771952,1990552,2178240
2021-11-01T04:25,2630346,3515120,1617458,2219345,2403618,2502621,3446600,2418076,3361639,2043189,1656491,2756940,2874421,1552598,1948465,1985966,5060723,2856036,3531625,2872892
2021-11-01T04:30,2821853,1940223,3876883,1621546,4340183,2470549,3688688,2423233,4210072,2119224,3350191,2813189,1180582,2614550,3099369,2950649,4859737,2095317,3134151,3409693
2021-11-01T04:35,3541548,4155594,2633350,2850840,1447709,1573167,1793282,2739601,3431670,3225789,3128297,1569724,4954515,2546528,1559654,2827710,2257537,2154445,2679540,2595907
2021-11-01T04:40,2994041,3150386,1965261,2886752,2317412,2166096,3207033,2376495,2495695,2664046,2569797,3078942,2744612,1303591,3038614,2175394,2860088,1878426,2491742,1911987
2021-11-01T04:45,2072836,3313358,2292767,2263226,1949363,2207693,3670591,3532231,2922164,2699059,2880419,2386022,2983015,3406573,3572212,1873287,3493414,2689236,2096812,3420075
2021-11-01T04:50,2421373,2392418,2092857,2789364,2675397,3039295,4133526,2473294,4313581,2451486,2251907,3097150,3011715,3321640,2804271,2010754,2108304,1654595,2664673,2199449
2021-11-01T04:55,2844896,2211149,2531699,2192732,2800416,3363357,2717931,3835635,2283595,2539414,2753221,3171574,3971974,2969255,2866385,2129261,4104614,2052461,3192325,3337695
2021-11-01T05:00,2583343,2674849,2787207,1743739,2451043,2092471,4314853,2830445,3531819,2508236,3758790,2093211,2998915,3142030,3152022,2609783,2335557,1865303,2799440,2768785
2021-11-01T05:05,2943382,2966849,2857917,2428731,2104504,2744774,3094970,3010926,4512253,1392233,2042990,2418354,3785556,2521865,2703430,2677279,4344203,3007332,1966565,2978818
2021-11-01T05:10,1680233,2784647,2534636,3948286,2728272,3075060,3453267,2361067,3410226,3263725,2716163,2975530,3238752,1325964,1978033,2886499,2473332,2500604,1413870,2839042
2021-11-01T05:15,3430778,2877865,2770396,2403761,2264490,1993174,2884386,2275775,3696086,3691148,1733119,2822356,3297084,2472222,1730825,2134095,2013105,1826017,2689014,2043990
2021-11-01T05:20,3158185,2816102,1609202,2995200,2404845,3317459,3036608,3822493,2040012,2410304,2758108,2137079,4076858,3001503,2542005,2540667,3291064,1613780,1946331,1398830
2021-11-01T05:25,2465500,1971435,3259924,3241211,4083509,3007059,2004216,2077619,3287126,2265295,4047033,2783361,3115578,2960283,2354457,3158754,3270055,3321811,2042720,3258313
2021-11-01T05:30,2466427,3425135,2678156,2688397,2034772,2930829,3230113,3857049,4488986,3353723,2483908,2399967,2545527,2197033,2312718,3491754,3792275,1742251,3254677,2951488
2021-11-01T05:35,2486377,4080718,1494882,2361586,2457576,3383845,2173590,3881404,2397345,2755245,2290152,2912056,4167826,3598843,3246359,3581612,2890052,1907810,3388639,2986417
2021-11-01T05:40,1880109,3571692,2585658,3626965,2874277,1922934,3513303,2989566,2142443,2814321,1999061,2307439,3757998,3007570,1674618,2724017,2522047,1425947,3158435,2187979
2021-11-01T05:45,3102764,2219878,3191655,2330774,1712630,2787090,3223633,2320079,3026538,3604152,3187392,2868437,2656545,2734492,3104861,1757974,2742009,2424282,2285549,3067724
2021-11-01T05:50,3349768,2215422,2098607,3134753,2143610,3564994,3091203,1826860,3250811,2103255,2580473,1939377,3712280,1809634,4051722,2433535,2057801,2468212,1462897,2208828
2021-11-01T05:55,2687114,3632407,2722497,2597669,2955821,3242714,2695116,1496664,2567995,2420419,3322932,2620242,2729493,2833927,2270343,2500780,3019464,2771635,3204728,2572151
2021-11-01T06:00,1818323,1965664,1854992,2015489,2454330,2858286,3224462,1921674,2698693,2839045,2829156,1900754,4816104,3860781,3882756,2113236,2648121,3421331,2254340,2944527
2021-11-01T06:05,3464371,1470083,3794299,2662551,3367255,2328275,3239877,2899793,3112089,2903576,2400369,2828997,3428826,2553998,2988496,3231671,3204423,2918869,2300770,2518200
2021-11-01T06:10,3135363,2286623,3303984,4398523,4224305,1955170,2793924,1673665,2572713,2158220,2280602,2291035,2467344,2552274,2908862,2105666,2664700,3007720,2997793,2816079
2021-11-01T06:15,1557655,2490716,2267582,3146200,1539550,3137784,3191805,2854643,4334451,2020337,2896057,2094694,3890950,2823196,3313409,3958746,3130256,2301265,2754005,3031773
2021-11-01T06:20,2839542,3667007,1379667,2181487,2533508,1842095,2931595,4067687,2649788,3552210,3253037,2345975,3629981,2399671,3142067,2742268,1859293,1749277,3970904,908609
2021-11-01T06:25,2391320,2727154,2342005,3244619,2500699,2299233,3054783,2870555,2434649,3243971,1845381,3301185,2280962,2668482,2307959,1441885,3711655,2326403,2875772,2102154
2021-11-01T06:30,2851375,2678542,1929442,2647353,4349232,3115937,3464321,2658771,3278795,2865088,2835375,4021506,3641447,1879857,3153659,2746248,3090438,3547831,3355970,2602354
2021-11-01T06:35,3103452,3152354,1370949,3009926,3436819,2546256,3040438,2466724,2575929,3247476,4736312,2332062,3178787,1364479,2327341,1649109,3296379,3493338,2314635,2713753
2021-11-01T06:40,2677854,2476484,2543997,1299181,1643418,2536518,4066308,3092095,3521248,2899063,2786607,3330082,3458915,2069687,2160168,3352333,2944867,2695499,2643669,2901567
2021-11-01T06:45,1741899,2400055,3302897,1697630,1663571,2619188,2851188,3345741,4087769,2602737,2239556,3676323,2982624,2002795,3447316,1757438,2605724,2624590,2987843,2676989
2021-11-01T06:50,2752506,1549924,1414650,2842318,2493269,2211771,2487019,2323886,2658710,2895532,2748379,2186362,2834837,2805183,4119893,1735148,3542018,2843471,2993509,2578849
2021-11-01T06:55,2048521,1221611,2968592,3924469,2845358,1604763,3522235,2195167,2693701,2484481,3240882,2226848,5015246,3479014,1805175,2345700,2882751,2993290,1919718,2775737
2021-11-01T07:00,2864136,2610613,3166407,2717922,2584915,2780871,4107618,1631594,1905133,2799870,2801614,2582786,3700578,3490826,3481757,2258408,3022060,2411110,1552576,3215763
2021-11-01T07:05,2301983,1636801,3231160,2813830,2661322,2278889,3858022,2272883,2609421,3438782,2116730,4105266,1269314,2115706,2932544,2661921,2586985,3360793,2211647,3137791
2021-11-01T07:10,3313175,2218490,2127872,2946934,2897129,2359974,4215679,1452428,3284944,3937381,3140625,2075670,2294833,3240752,3045005,2223392,3223458,2654402,1966454,2775385
2021-11-01T07:15,2380267,2843580,2594423,2761514,2725539,2049239,3686675,1937454,2703234,1924734,1806902,2878775,3472505,2365653,3120989,2041078,2628865,1604519,2519208,2567563
2021-11-01T07:20,3504482,2533667,3310388,4051715,2457569,2700725,2984339,3201850,3742386,3360256,3005857,3005942,2989024,2278203,2852878,2126973,2501826,2521631,3045887,2610494
2021-11-01T07:25,2080782,2779563,3074960,2631937,3002536,2586332,3151179,2425024,2232824,2935851,3198609,1481046,2341195,2251648,2437292,2027935,2565464,2043068,3341069,1847020
2021-11-01T07:30,2879701,2999721,2358608,2432784,2952645,3332635,4300073,2588564,3266358,2887063,3292910,2631236,2560882,4282075,1965710,1585447,4028356,1346623,3727272,2421647
2021-11-01T07:35,1824768,2590199,2196381,3337227,3038917,1868073,2397811,2535682,3481147,3669823,3234003,2430635,2660564,2030311,2862958,2511015,2525732,1771036,1886591,2454152
2021-11-01T07:40,3054546,2092747,3530661,3591901,3283631,1767530,2550279,2587165,2576306,2235690,1731020,2981334,3393811,2251581,2426349,2011587,3404766,2622242,2234256,1584700
2021-11-01T07:45,3012797,2890070,2875536,2954040,2510143,2640843,3369271,2273596,2418980,2165323,2512636,2683088,3589503,2591128,2462463,2262650,3262783,2907651,2632388,1453581
2021-11-01T07:50,2652587,2730527,1406426,2930407,2161964,1859723,2769287,3080939,4292453,3622655,2965339,2543611,4073102,1609696,3098211,2395751,3010347,2838128,2133132,3098650
2021-11-01T07:55,3122872,2609429,2475638,2902296,2844654,2696834,3079130,2660950,3105995,3090341,2974676,3513209,3210463,2191422,2361223,2987510,2462784,1979135,2042726,2255865
2021-11-01T08:00,1255035,2121350,3036626,2822062,2630402,2166844,3193867,2338229,2745156,2472010,2716862,2322393,3091275,2839844,2418911,2895010,2800626,2136429,2456765,3763202
2021-11-01T08:05,1974065,2269826,3235335,1369680,2510141,2542451,2669384,3080252,2548667,3173880,2803839,2189647,1960209,2597347,2305714,2427228,3009380,2142071,1695008,2664208
2021-11-01T08:10,1896340,3409722,3893994,1733310,3406246,2775693,3838431,2817823,3862573,2958086,2834582,3950297,3602777,2588900,1789499,3666513,2463054,2236946,2882843,2221390
2021-11-01T08:15,3438055,1878484,1938781,2209303,2419574,2858375,3254910,1953869,1950333,2963155,1875808,1264269,3489099,1878738,2836676,2578838,2345181,2272880,2522081,3378465
2021-11-01T08:20,4052104,2387200,3117296,3377616,2581102,2869360,3404598,2506171,2897965,2555026,1391446,3052084,4165408,2577272,1956783,2129596,2178784,3591284,2976590,2411574
2021-11-01T08:25,2374137,2714352,1298126,2745446,2239005,2163851,2696596,2850365,2962590,3534479,2483736,1714946,2312980,2412646,3848670,2656253,3753025,3400441,2532883,2145400
2021-11-01T08:30,4175372,1889131,2899811,2790897,2466544,2048465,3050314,1991052,3579687,3450292,2318190,2991691,2827684,3144694,2517779,2101864,4120032,2769063,3074739,1633865
2021-11-01T08:35,1176686,2364742,2351801,2430150,2555100,3195421,3447115,3553843,2653532,1366414,2444503,2467287,2942369,2833295,3647834,2625331,4040753,2679528,3869048,3742847
2021-11-01T08:40,3113862,2303776,3740300,2083530,2358612,2319765,2709892,3073115,2052464,3995242,2882603,2158280,3731403,3399865,3296173,2582919,2668942,3179896,2312240,2384182
2021-11-01T08:45,2868587,1610001,2468796,2297901,3863462,2302041,3385349,2273460,3575124,2491033,3086556,2812099,2235817,2423463,2750110,2815442,2287504,1930110,3119817,1849788
2021-11-01T08:50,1909523,2345897,1056203,2809918,3735633,1556875,2479202,2681907,3113599,1921877,2221636,2198186,2244362,2982177,3083692,2234505,3771328,1880601,2729448,3821427
2021-11-01T08:55,3711819,2148770,2058252,3314370,2647332,2204551,3076594,2719935,2575111,2993289,1656012,2475050,3815184,3615479,3069227,2337110,3059573,2266896,1919694,1060203
2021-11-01T09:00,2915567,3124807,2532547,3090867,3477050,1643814,3321280,2367703,3388258,2739069,2523247,1545566,3129271,3058129,3316008,2200531,2014566,2091560,3689245,3075847
2021-11-01T09:05,3145833,2945035,2431125,2402878,3757203,2770481,3795739,2119748,4250521,1925492,3690493,1240844,2877360,3459023,2593520,3154847,2632417,1688693,3414260,2613947
2021-11-01T09:10,2964225,1885943,3547221,3468835,2210689,2261813,2877955,2544453,3739154,3358389,3068724,2626477,3395067,3142584,2618877,2345952,2709178,1373850,2049227,3529492
2021-11-01T09:15,1925701,2382023,1661590,2383998,2193223,2622880,3775031,1679665,3470967,2960844,2492087,3022936,3474971,2167210,2982581,2389765,2262847,2849197,2838100,1923002
2021-11-01T09:20,2544132,2266755,3226742,2688895,1965236,2798860,2467630,3550449,4493674,2733385,2681818,2644191,2523087,2855982,2716695,2760321,3071942,2311992,1866969,3355570
2021-11-01T09:25,2523446,2196262,4475088,3624605,2793404,2994024,2021035,1851606,3296315,2633941,2083119,2108602,3022625,3848758,3903137,2986124,2462638,3052749,2679576,1660750
2021-11-01T09:30,2220780,3410175,1787004,2346682,2870971,1554889,3382093,2416058,3195411,2913843,2036810,3424757,2695488,2397180,2376834,2545679,1799018,3174084,1757566,2459142
2021-11-01T09:35,2589459,2634517,4545214,3642150,3018738,1598525,3742883,2260775,2957995,2987098,4005379,2327521,3281964,2717540,2230613,1554398,3081835,1963856,2176892,1411432
2021-11-01T09:40,2455019,2336558,1516658,3131147,3462491,2245341,3649252,3542318,3006540,3200056,2886721,2734933,3224869,2182424,2197587,3708059,3620403,2445920,2326491,2601490
2021-11-01T09:45,2407268,1079299,1730885,2821774,2174222,1746605,3862988,1953819,4478464,2642168,2799280,2412231,3212305,2613984,2692177,2655430,3390912,2153476,2212154,2529013
2021-11-01T09:50,3026478,2263174,2755982,2846996,2292559,4156681,2213492,3108045,3585368,2838597,2861804,1966677,2878752,2955241,3687926,2432176,2103790,2479749,1934193,2282899
2021-11-01T09:55,3537471,1952101,2314244,2979126,2278896,1859731,3243285,2078066,2969590,2124848,3811063,2158247,4745420,3228003,2358452,2302764,2646016,1723094,2659030,2197229
2021-11-01T10:00,1982835,2639663,2269332,2212209,2726678,2336640,2154788,2679973,2687302,2311485,2322210,2637948,3747046,2449731,3810627,1872632,2759531,2917511,2720612,2551121
2021-11-01T10:05,2475419,2328488,3331215,3552557,2797437,2717464,3458911,2632484,2199421,3241509,4124011,2650451,3430808,2536243,3092093,1564387,2996864,3530751,2376145,2457523
2021-11-01T10:10,2422758,2478400,2175391,3440406,3282781,2145966,3664349,1510617,3039773,2326622,2227222,2222124,2646174,2414414,3285629,2488485,3550336,2202366,3182612,3148263
2021-11-01T10:15,2672167,3165517,3527856,3230238,1700302,2488219,1844404,2626059,2826858,3686485,2688580,2132083,1730441,2882960,2326797,1089198,2670081,2490864,3707391,1730020
2021-11-01T10:20,1713545,3210337,3007249,2790704,2194068,1933067,2714178,2394131,3436440,1994195,1593921,2471607,3619915,3352257,2936163,3444837,3226199,2616087,1985210,2333008
2021-11-01T10:25,2242165,2194394,1876944,2652644,2654862,2747846,3068164,2495015,2401565,2384965,2583813,2325914,3114012,940388,3329982,3897154,3055448,3736810,2964093,2482026
2021-11-01T10:30,2623550,2337806,3121619,3322737,1988757,3156055,4517408,1479907,3738118,2587106,3082996,1702417,1469169,2630745,3124290,3641444,3335966,2043090,1734045,2847213
2021-11-01T10:35,2133822,2264293,3122650,2670081,1620093,3448508,2110493,2956462,3469673,3213454,2407291,2295662,3469198,2264805,1998185,2869716,4046225,3052706,2918467,3056379
2021-11-01T10:40,2394386,3181856,3799282,2742368,2254073,3712933,2357010,1973105,3093485,2507326,3532841,2092671,3295388,3303394,3109049,2498190,3077912,2229387,3512840,2149755
2021-11-01T10:45,2296916,1730770,3165535,3313603,2129376,1442436,3949419,1979331,3614215,2717210,3341128,2821294,2971714,2880192,3086457,3941233,4296662,2072521,2374546,2020260
2021-11-01T10:50,2408523,2257959,1825249,2794092,3420013,2447982,2785252,2908073,2680808,3197740,2332935,1700725,2813017,2642942,2259006,2423965,2915963,1898756,2974399,2796461
2021-11-01T10:55,2118773,2270733,3010619,3377686,2601434,2945532,2522269,3030389,3839537,2720054,3009288,3022828,3200031,2835271,2480460,2079048,3054328,2908289,2805945,2767204
2021-11-01T11:00,2128545,2656213,1635637,3136234,2377257,2662773,2259614,1779210,4441333,2402017,3401429,2466156,3062915,2558964,3096410,2418412,2533160,2319981,2473744,3508825
2021-11-01T11:05,2049359,2229550,3289316,3138804,3480658,1266283,4029116,2873511,2884632,2766674,3064931,2638980,2177199,1339612,3108447,3363415,3292512,1988039,1664260,2557849
2021-11-01T11:10,3375928,2498692,2747473,3732417,2780920,3698809,2176917,1629907,4114241,3525548,1890864,3716607,1887649,2285505,2665439,3073655,2790024,2347597,3515687,3153589
2021-11-01T11:15,2285044,2631559,3257931,1713398,2396365,3102554,4171754,3450534,4049111,3188303,2433456,3204215,2974547,2379615,2985342,2358428,3884430,2220121,2986213,2989253
2021-11-01T11:20,2990711,3039707,3996363,3398782,2256962,2698313,2184255,2959690,3609472,3449458,2439810,1816502,3384879,2197226,3255350,2532353,2926692,1973770,3765238,2450960
2021-11-01T11:25,2984108,3390288,2400092,4407105,2328275,3747477,3196738,3577695,3276419,2803983,3385675,1981379,2036269,3559175,3074587,2189610,3780973,2042785,2012572,1963977
2021-11-01T11:30,3717287,2653617,2643331,2068455,2369131,2394114,2626546,2566006,2916504,2770752,2678534,1528079,2392908,1902028,2350504,1666047,4152200,2387163,1328527,1574634
2021-11-01T11:35,2465989,3463510,1767291,3506752,2919610,2235551,2803779,2654843,2744740,2800859,4802149,1863367,3057153,3256706,3065417,1700071,2830996,2338398,2179096,2466819
2021-11-01T11:40,3456062,2118177,2567801,2828112,2241698,3439368,3303514,2411287,2614997,3432758,1770795,2740775,3694486,3258009,2517185,2376490,3278704,2011089,1958801,3047637
2021-11-01T11:45,3595832,2449850,3850906,4578418,1730689,2642990,3839320,1982379,1995382,3101086,2766416,1662976,3532942,2581879,3524224,2915596,3390629,1999929,2492369,2610262
2021-11-01T11:50,3718637,1287547,3700526,2903645,2220878,2646240,3961835,2501431,2801345,4104731,3068237,1226269,4401296,2928543,1289354,2289727,3919862,3050962,2568684,2711012
2021-11-01T11:55,2618102,3801175,1954285,2996146,2960202,2037186,2950085,2457000,4093348,3511064,1577547,2531726,1838265,2229472,3883308,1483600,2978433,1685206,2722102,2972952
2021-11-01T12:00,1987164,2332934,2380098,3687719,2220853,1873379,3660027,2154049,2251800,2338271,3080967,2221297,2369500,1742631,2828011,1513558,3861240,2663755,2358675,1764114
2021-11-01T12:05,3083850,2295131,3221116,2112801,2166637,2248633,3146229,4340832,3859325,3449768,2860771,2362069,2576270,2381523,2785503,1339133,3252493,2677523,2174955,2489927
2021-11-01T12:10,2247437,2061118,2418603,3637245,2735984,2756442,2853143,2536625,2304875,2200535,3169256,1414342,3323742,2422798,1895477,1607339,3477271,2472155,1586579,2237254
2021-11-01T12:15,3069273,1861601,2569191,3182783,3377219,2524471,3162004,1980381,3239611,2946927,3478208,3003771,2724269,1479004,1803109,3527357,2620628,3083985,2515499,2009069
2021-11-01T12:20,2923187,2917494,2549415,3972918,1450019,3838672,4112365,3544476,2415895,2434362,3015243,2898323,2548292,2718584,2431062,3001622,3627301,3239893,2118534,2720207
2021-11-01T12:25,2363720,1707759,1111187,2540588,3116432,2364192,3311790,3624913,3752270,2763625,2199501,2416739,3620236,1830078,1871361,1914782,2970834,2749208,3930429,3345257
2021-11-01T12:30,2380381,2999340,2757997,3175086,3009783,2025058,2978263,3230476,2346855,3270911,2327492,3350796,3843116,1719073,3935830,2656262,3259354,2790699,3218865,2397148
2021-11-01T12:35,3021859,3646160,2678954,1997497,1666764,2953958,3072194,2415722,2242728,3407667,3079764,1902759,3656072,2915091,3007199,2756093,3158934,2964653,2832698,2273859
