mtime,AR,AV,BC,BD,BF,BO,BS,BV,BY,CP,CS,DH,EF,EI,EJ,FG,FH,FL,FP,GY,HY,J,JY,KW,MO,MT,NP,NS,NW,OR,OY,QZ,SU,SX,U
2021-11-01T01:35,2965127,3567377,4862173,2804476,3385757,4321076,3224241,2957728,4027775,2645593,3806398,3692611,4024956,3288862,5414573,5207104,4582923,3495799,3514127,3579068,2564251,3379303,2602801,4539362,5512656,3344505,4276423,2259496,4130618,3322277,4386836,3786401,4498729,3161964,4336503
2021-11-01T01:40,3706010,3278077,5004442,3688331,4415496,4667637,2816137,3211848,2782129,4801645,3768450,4512782,4399753,3438141,3406149,3638950,4083270,3487284,2980620,3355835,3076988,4829311,4592189,3731018,4125768,3424075,4351168,3848358,3906945,3412708,3888550,4234507,4709725,3238434,3558476
2021-11-01T01:45,3994808,3747090,4020866,3859399,2916979,3487023,3458446,2622911,2779525,3973905,4576415,5293362,4941467,3889955,3496708,4792206,5150887,2584039,3424983,3929623,3867939,3227785,4059343,4280503,2643340,3321761,3794455,3265052,4683474,2880348,3986096,3014331,3873237,3623425,3584058
2021-11-01T01:50,4677366,5112732,3875841,3081261,2921582,3083200,3306466,2981207,2574211,3368183,4363519,3437252,2868413,3330525,3387617,4404204,4881923,4179190,3400224,4249952,2139491,4602815,2799220,2808007,2882356,3935126,3822127,3417276,3220601,3814756,3866584,2927204,3377312,4829770,4051253
2021-11-01T01:55,3245397,2180521,4827357,4048852,4324474,3188515,3696913,3946491,3439020,3610352,3662665,3912997,4186529,3790706,3043560,4219826,4419992,4781759,4376475,4123177,1795357,5234182,3201048,3530790,3325644,3948393,3720454,3324307,5256859,2079917,4222128,2606833,3796674,4707009,2807287
2021-11-01T02:00,2945008,3377447,6171277,3065211,2996536,5290829,2983974,4266792,1689292,2868982,3320160,2926373,4099859,3771540,1437084,4528728,4535577,3469422,2606952,4576301,3010928,3373894,4479826,3562001,3208931,2796997,4717920,4368468,3906885,3512129,4891193,5205623,4196421,4508290,3946860
2021-11-01T02:05,4786559,2709483,3422507,3716325,3786055,3338891,3200350,4381008,4661967,3716837,4219058,3265655,4765988,4162064,4877077,3053047,4931416,3540311,2206952,4401834,4334508,4425529,1539399,4275129,3843106,4061059,4641600,4817031,4272097,4131409,6440820,3082143,3375466,4808227,2185978
2021-11-01T02:10,3306902,2715780,4843979,3765205,4322848,3851009,3528356,3676667,3828586,3001726,2862102,3863137,3275679,4307920,4847154,4735190,3735594,2877647,2732536,3987616,3412384,3711888,3445378,2303914,3305003,2311073,3980249,4468546,4026116,3350948,3740534,3559799,3656273,3028354,6236001
2021-11-01T02:15,3669351,4345635,3560343,2238026,2604270,4265626,3320819,5162497,4001945,3874854,4128627,4244972,4810436,3812757,3976927,5230054,4777523,4135670,2839617,3624366,2827556,4182297,3475212,3323737,3247106,3833041,4945568,2832983,4050306,3965527,2892443,5187560,3564566,4473483,4201870
2021-11-01T02:20,3103858,4131146,3288684,2215690,3931152,3166788,2140699,2997625,3697720,4344642,3002923,5792986,3844793,3165585,2882274,5361081,5736491,2805464,2446713,3226881,2520107,3481678,3744395,3504816,2426202,2819847,4262828,4015380,4805142,3478736,2991023,4080315,4978364,4107342,4100763
2021-11-01T02:25,4206040,3593671,3279386,3444526,4035636,3882557,4473129,2548568,4382707,4235351,4184166,3428052,3927703,3140511,4297174,3365159,4133025,2958682,3762622,3855679,2246506,4240485,3841298,3864590,1884346,3182886,4003289,3664918,4335881,2606871,3118422,3480451,3669671,5239485,4823465
2021-11-01T02:30,3769986,2451075,3836726,2976999,4442943,3605761,2901526,3394428,3741238,4043431,5498702,4792923,5286296,4774011,4929268,2843661,4642360,4185572,2712656,3440941,2660467,4105088,4448949,4546074,3337295,4759811,5974706,3924120,3537360,3776478,3765225,3928655,3839657,3186052,4438623
2021-11-01T02:35,4138148,5378452,3621654,2832262,4754431,3766934,2274141,2897117,4202021,2993065,4775827,3207230,4025951,3107352,3390703,3682912,5927660,3191131,2669288,4190414,3973244,3316757,2152886,5150785,2332884,2540900,5419549,2614178,3272976,2302967,4008172,3796269,6846374,2942418,3427193
2021-11-01T02:40,3763002,3504469,2529833,4099215,3943676,3869015,3621145,4299570,3786948,3995478,3603835,4827017,3690920,4467630,4731903,4808800,6610429,3688398,2280634,3584271,1412379,4370100,2589751,3026751,3323212,4670746,4418409,3483775,3286211,3515895,4143284,3759987,2684820,4854455,3905589
2021-11-01T02:45,3396239,4511397,2721831,3595330,2170218,3433901,2692725,2545261,4693284,4223109,5133390,4363576,4367662,3686559,2908195,5042911,5042096,4301700,3724507,3537866,3033666,4066073,3422805,3870315,4239361,4108723,5726835,4316473,3965183,3826042,5497672,4585435,4990581,4724795,4470761
2021-11-01T02:50,3493626,3492347,3050404,2708808,3004583,4435047,3801536,3103361,5446763,5160858,2661822,4071513,4000609,3209167,2593687,4415418,3376774,3233422,1993236,3576832,2570865,3551208,3788489,3826862,2984737,3658627,3933387,4964218,3912148,1824402,3181983,3966715,5259497,6617884,3692652
2021-11-01T02:55,5137549,2827155,4527226,4273134,4021278,3221265,3184280,3623279,2704491,2939783,2209150,4352503,4413278,2787090,3086296,3076986,4240504,2288119,3335496,3400182,2020761,4779750,4001056,2883869,3469939,2999484,4696700,3856496,2595625,2036950,3112406,2777552,2692103,3483062,4087267
2021-11-01T03:00,3095407,4372474,4391823,4305341,3922710,4371687,3167524,3417566,4400544,5184835,4689990,3070800,4014208,4541351,4755118,4283723,5855802,2525317,3246350,4172595,1881401,3301671,3473501,3666912,4413349,2906924,3432359,2662042,4649243,3395471,4325143,5318255,3798901,5848425,2998345
2021-11-01T03:05,3009419,4344111,4378327,3729440,3766068,3262245,3041867,5197588,4195804,5428567,3674763,3962077,3554327,3666324,4405809,4349950,3884536,3734500,1882056,4116022,2693855,4172181,4101817,4142747,2647574,4221990,5438745,2593623,4790227,2076268,4758821,4471354,4480135,5947273,2735221
2021-11-01T03:10,4778553,3504948,5303208,1852146,3831896,3860424,4421799,4160629,3552803,3361802,4134650,4730593,2582553,2797391,3303643,4451559,4765259,4361087,3348298,2852781,2967072,4506949,2941435,3349566,3698875,4777716,5552254,3848554,3507467,2228729,4489328,5042992,3460761,5535453,2309457
2021-11-01T03:15,3455380,3390242,3051598,3416577,3968487,3699890,2733490,3785660,4349047,4640664,3106336,3575822,3215352,3049362,3316566,5038949,3394659,3169300,3771195,3359350,2799707,2385215,3725666,3542505,3680956,3083575,3767698,4227739,3839158,3850845,4104150,2527588,3963434,4494954,3222226
2021-11-01T03:20,4275915,2831520,5070731,2791214,3458887,2303540,3604303,1771336,4550418,4280185,3254131,5330745,3721521,3736851,4481416,4075536,3948816,3923518,2502151,4127780,3513209,3550566,3880342,2264351,4537760,5047659,4832482,3564727,3656703,4341798,3204181,3850098,5605560,3094464,2526142
2021-11-01T03:25,2900651,3048839,3241768,4124806,3885633,4518859,2685230,2283228,3197490,3590146,4538803,4914826,3166540,4105632,2946988,2658699,4776236,2984606,2913341,4998141,3331143,3652775,4506808,3006850,3004726,3878320,3419318,4848420,4001384,2685778,4382981,3458347,3960344,4007293,3815940
2021-11-01T03:30,2886794,4113297,4435683,3658027,3804589,4429774,1986381,3900452,3131158,3699932,4804899,3672093,4436886,3579029,3498770,3737265,4174354,2675810,2209046,3300035,2278058,4587826,2786142,3618742,2454891,3564290,4559673,3193509,2820084,2323298,2450066,4198569,4037229,4245562,3322988
2021-11-01T03:35,3048072,4436795,3823267,3841236,3000346,4568910,3000948,4655936,5333843,3936186,3762368,5294910,4225968,2726356,5668126,3890596,4842726,3839712,3312459,3257863,2839218,3896504,3536182,3948283,3276065,3167507,3337113,2374168,4078932,2980851,3951600,4998237,4517925,3830185,2249842
2021-11-01T03:40,3824641,2970813,5726393,3160701,3358579,4027575,3168656,2619443,2984056,4548910,4567075,4048663,2921766,3852843,3910101,3707754,4558579,3392119,2650917,2560079,4624679,4940113,3858453,3857434,3768396,3682155,5071261,2993443,3480215,2091977,3496430,3320213,4582498,2799172,3027076
2021-11-01T03:45,2316959,4111961,3892538,3887916,3633910,3591351,3094559,3832472,2973233,3901882,3504910,4752470,3664814,2507916,3669209,3768083,5043560,3694861,3350506,2546199,2311045,4559401,2754599,3985528,4319741,3819419,5074369,3243810,3555181,4368461,3941705,2907051,4113634,3727325,4745518
2021-11-01T03:50,3444619,3189511,3701379,3420170,4090419,3654523,2507559,3068133,3234069,3966251,4553165,3973710,3043011,3677404,3173093,3425366,3823842,4237933,3052023,2789267,3175001,3217051,2988201,2657302,4822981,4718805,4754445,3448807,2975780,3107219,3103713,4207306,5057907,2584055,3689918
2021-11-01T03:55,4604843,2512199,4771468,3664524,3978786,3961207,1771662,3582030,3901453,5158241,4395639,5264658,4687149,2725424,3396065,3856197,4138308,5441165,3141804,2494673,2295461,4051595,4234433,2780148,3260475,3295066,3936453,2541855,4563993,2704960,2690262,4048919,4459854,3412258,2210220
2021-11-01T04:00,4029563,2564347,3144410,3487509,3011158,4691427,3611210,3678727,3870484,2325965,3633875,3111108,2825422,2935255,4098444,3713873,5220559,4314531,2477729,3869498,2559591,4815469,3804432,4232544,2754505,3525792,4520833,3470577,3988108,1972936,4079331,3097969,4054822,3424814,3495284
2021-11-01T04:05,3418127,4039393,5476831,3115895,4811624,3029587,2786036,2534066,2206313,4641307,5777926,3303481,3805593,4164573,2845969,3501677,4767027,3977873,3532909,2737311,1922544,3325371,3348242,4013727,2249596,3244375,4523150,3206990,3152461,3548551,4668972,2431869,5498751,4176902,3103180
2021-11-01T04:10,4037786,3407235,3055813,3141226,4428659,3811976,2663491,3419860,2895554,4313157,3046167,3058322,2643466,2697391,2863999,4990576,3931582,3455181,2762700,4015454,3718522,4980777,5543998,4543696,4142289,3643827,3530473,2574743,3884623,2356637,4550372,3747497,4167728,4638167,3783234
2021-11-01T04:15,3968051,3517821,4328868,4241800,3592271,3690445,1989679,2727978,2955109,4198179,3553937,4043417,2694457,3694869,4295650,3229769,4376978,3270833,3680841,3077848,1460390,4683829,3337571,3447588,2337453,4548856,3919816,4004881,3653719,3407630,3245015,4383203,4046221,3317083,3042872
2021-11-01T04:20,3517154,2975560,4151294,3715183,2813003,3869529,2648286,3065628,2769752,3926676,6394700,4471289,4621698,5396554,3803474,2751286,4352103,2611660,3657572,3876813,3591020,4725796,2941109,3764109,2857010,3855977,3984194,3173447,3247763,4347738,3453833,2937581,2398492,4655908,4629191
2021-11-01T04:25,4294934,3772711,3992368,2249504,3516220,2918396,2302900,3253097,2283279,4435663,3973485,4417803,3145156,3395234,3343040,3960899,5119545,3659099,2273154,4051190,2414375,5165136,4196844,3018987,2727742,3351177,4037780,4348456,4836932,1911905,3629560,4082851,3782448,3932723,3595881
2021-11-01T04:30,5261801,3501130,3598355,2541741,3125146,2571487,2602941,2995812,3415487,2977742,3437663,3603667,4056803,1739893,3867182,4908193,4127161,4248357,3036724,4691103,2738218,5461214,4261048,3010365,2806855,3998574,5941548,3257126,3778332,4495736,4664135,5494151,5239737,3926024,2347265
2021-11-01T04:35,3280377,2291088,4213686,3601126,4090862,5902289,2346220,4033866,3040539,2942397,5109107,3814983,3575050,4124070,4547556,3110265,3852243,4134064,2741773,3233927,3014431,3135501,3607246,3692058,2552310,3844376,4056861,4389352,4296539,2915386,5227415,3023217,5922127,4655937,3142067
2021-11-01T04:40,3063342,2956689,4533703,3516282,3227802,4253735,2821659,2589310,2766845,3863948,3101549,4305402,4223007,3759720,4090441,4324819,4029662,2679335,5179481,3009058,2620562,2365051,3641174,3759584,4375761,3644304,4483467,3982655,4442953,2487271,4116267,4951806,2646271,4108109,4012504
2021-11-01T04:45,3231019,3085169,5533578,3896031,3506938,4006078,2248463,4800077,4432616,2990068,4153533,3734121,4052175,3751249,5254313,3739652,4255030,2945225,3089993,3813378,4129613,4847162,3672144,3609832,3913786,3856283,4662813,2810634,4117495,3571084,5936136,3028872,5425865,4582627,3812176
2021-11-01T04:50,3623372,5193852,3578953,5105777,3839364,4006614,2344941,2580209,3689782,3854029,3637701,3378047,3782673,3072675,4165153,4557358,4370164,2999393,3728203,3629277,3169598,3762372,3039419,3553499,3484956,4110410,4832940,4977623,4623939,3414719,3441750,4381455,4771986,6899527,2915142
2021-11-01T04:55,4008982,4133129,5212766,5712864,3385226,4227547,2759354,3362387,3256671,3935811,4527539,5317407,4442686,2846824,3651214,3588370,4307061,4020207,2561526,3101364,2270416,4095335,4398659,3927864,4588093,3759283,3515131,4385212,4451958,3771940,3211627,3502900,2742482,3463031,2215886
2021-11-01T05:00,3917931,3704625,5527375,3513765,4832121,3966157,4082174,3062202,4619710,4973275,4473382,2748067,3855730,4304960,4179417,4030144,2843340,3987091,3130796,3360340,3116136,3955255,1764440,3093132,4577032,3378138,5312543,4733075,3873564,3735889,3782991,4069995,3830291,4920226,3032951
2021-11-01T05:05,3659566,3003108,4477499,2745836,2137476,3217574,1548179,4256939,3568944,2803181,4288226,3382457,4476683,2858941,2519504,5134984,4707388,3363520,3783159,2059855,4350172,4207643,3422736,3276023,2669183,3126267,4985745,3842491,4068768,3996456,3746068,4663045,3923168,4381421,2271895
2021-11-01T05:10,3747142,3599438,6519286,3709180,3465224,4348891,3622761,2069423,3179708,2826119,5624490,4927614,2936075,4488030,3682286,3778579,4915985,4155464,2383815,3888791,4553049,4851814,4517590,5536884,3275312,3733714,4634063,3497366,4079730,2845821,3249056,3549010,3769074,3698777,4357954
2021-11-01T05:15,3167686,3261701,4422518,2777137,3914917,3512168,2624058,4141947,4076565,4914107,4054434,4283823,3059143,4537629,3533848,4543185,5634681,2959323,3210844,2704683,3371085,3579016,2395836,3918570,4096883,5068749,3829379,4025711,4491559,4893626,2647446,4834227,4556005,3540076,3100246
2021-11-01T05:20,4484326,2575158,3941838,4077107,3991223,2821625,3738886,3996186,4102686,4327704,4581954,4708909,3327155,3634847,4459934,6504198,4851146,3017361,2762947,2787061,2963000,4703563,4145202,3873532,3656244,4009787,4806337,4113451,4700864,2556278,3594694,3222403,6246528,4607417,3324749
2021-11-01T05:25,2632971,1931517,4184440,3093381,3642431,5338792,3036262,4520191,2985940,3756246,4405675,4428071,2432527,2923905,4035502,3331839,4963881,3399287,2545906,2951772,3475516,4387337,4557661,3149266,4412667,3046091,5461932,4153204,3164250,2846311,4860954,2551452,4522089,4987928,3255042
2021-11-01T05:30,4113518,4395645,4184064,2698820,3160689,2850852,3369114,3162760,3027128,4698452,4033904,4259094,3460975,4123238,3951003,3056266,5467863,4009056,4405984,2938451,2697003,4412211,2604096,3970507,3247348,3057551,5080635,4143260,5215123,3428873,3340708,3140082,3778234,3564512,3754156
2021-11-01T05:35,3565663,2601105,2487208,3829640,3679329,4269653,4478416,3356685,2729645,3770659,4266895,3342553,3582756,3485656,3882518,3427925,4191781,4231945,3061840,3747456,2985861,4293332,3555588,3508610,3059080,3584109,5099521,3435919,4055478,2500770,4427588,3977713,4939084,4583972,3710277
2021-11-01T05:40,4094297,4026765,3834657,2742063,3585023,2914650,2616792,3476581,2961446,1822106,4450203,3847765,3219696,2897267,4406959,3816438,5562480,4015319,2292387,4395448,2761663,3954383,4936670,3397030,3539907,2812908,5432711,3625745,4389926,1959923,4876478,4972862,4766279,4160140,3912361
2021-11-01T05:45,3244239,2367110,3968326,3192355,4455306,5196563,2962550,3657883,2510043,5181310,3189023,4664783,4020818,3373590,4521293,4745876,6619620,2690044,4151559,2485568,3745480,3606804,2754939,3020228,4581563,3924547,4648713,2189683,4364726,2975940,3157357,5313603,4897337,3577916,3349457
2021-11-01T05:50,4032460,3521625,5163906,3522845,3266177,3374461,1725960,2592528,3852638,4739992,2540442,3944220,4057703,3425856,4270077,3753245,3361730,3716305,2611511,3803657,2854011,3518336,4842504,4188153,2722904,4094552,4189666,3813299,3663858,2897586,4981088,3742860,4503783,4286144,3644926
2021-11-01T05:55,3712976,3141112,3822536,2654689,4803738,3105922,3291053,3112928,3270852,3741373,3786748,3162863,3485466,2085576,3398578,5234559,4436634,3041830,2191174,3156674,2930205,3710294,3950810,2905998,3279087,2755361,4050068,3555728,4183113,2607501,4669529,4927914,3817604,3920106,4371127
2021-11-01T06:00,3239569,3508419,5060137,4159258,4663556,4217039,2157605,3035783,3312708,3741731,3169203,3818188,3161268,4891831,4066804,4003580,3386333,4033374,1926770,3781914,3179238,3552162,3981948,2855820,2740284,4851126,5438295,3147785,4324363,2215034,4633459,3129418,3902325,4443412,3634520
2021-11-01T06:05,4597290,1619971,2822813,5058359,2333304,3326476,2907863,3280014,2389286,5418354,4003474,3130539,3855590,4655802,3770409,5248221,4230285,3688341,3691857,3398556,3728527,5084943,3155370,3785906,2983906,3648497,4447237,3329685,4224734,2668836,4080799,3954088,4164670,5125699,4049413
2021-11-01T06:10,2820185,2475484,4080960,2828283,3669046,5435142,2507027,2420473,3753610,4109945,4630989,4539385,4727146,3590935,3421366,4572452,4915716,3227030,2640073,3746986,3790609,3841069,3796401,3667675,3492067,3651770,4300958,3877071,3579567,4664065,4753150,4109380,4325605,5204338,3562143
2021-11-01T06:15,4561951,3828995,4024343,2592401,3643145,3026448,3114900,2361844,2762241,3560804,3321789,4527394,3770905,2687599,4301215,4740111,4902491,3631623,4088725,3335170,3496335,4283970,2882859,3670787,3414126,3286966,5771983,3727407,3923886,1889680,3941176,3230598,4276442,4027679,3767121
2021-11-01T06:20,3965609,3243664,4910924,3340375,3837552,3397698,2667828,4111133,3499159,2780431,3492079,3271262,3778431,3171747,3882268,3291122,4716878,3744444,3120004,3220700,3676665,4140089,2008219,2528331,2401798,4209467,3403842,3031101,3322563,2299720,3882418,3754484,3190229,3650797,1903635
2021-11-01T06:25,3154511,4324266,5213115,2959604,3413736,2833657,2638861,3980886,2452914,4926201,4565094,4165890,4486393,1171626,4357698,3953598,4235254,2590153,2866145,4557374,4606972,4340062,3219583,2223820,2734316,3202739,4196329,4174690,3841798,3377674,3462652,3625197,4251830,3115605,3443029
2021-11-01T06:30,4315609,3406488,2890519,3125634,4427573,3425474,3086015,3966093,3561466,3432449,4094634,2018527,2423833,3440539,4390535,4933748,4814784,2121293,3888891,4233316,1773563,2502731,4094157,3606930,3269442,3110454,4649709,3171976,4991627,3189289,4069786,4501901,2929813,4119438,4486324
2021-11-01T06:35,2258164,2900008,4295468,3350979,4087126,2312609,2553621,2094818,3435724,5374560,5317883,3464751,4858425,4377185,4138704,5873779,4469833,2990321,2623206,3780922,2111685,4710591,4595165,5221301,3537005,3867361,3889027,1753520,3826974,2727123,3856579,3726961,3246491,5069138,3483562
2021-11-01T06:40,4130360,3666735,4874457,2985676,3434386,2161077,2718321,3333540,3543811,3659891,4966867,3514569,3856824,4402757,4074095,4369583,5458615,3938724,3754529,3945425,3678701,3456122,3733100,4756056,3932067,2728106,5004435,3573179,3251652,2164920,3493146,3808462,4430315,4629946,1912861
2021-11-01T06:45,4536585,3348676,3712038,3871723,3773592,2723035,2675177,3189772,3438570,4041221,2782524,4341825,3218640,2567733,4392455,3288904,4017610,3216873,1909539,3763341,3265737,4135339,2035977,2920770,3508811,4521383,5144479,2783251,2636460,2499507,3496306,3497162,5551923,3801234,3956861
2021-11-01T06:50,3636124,3174060,2978701,4397699,3522034,2972615,3891639,3482430,2352947,3414333,3779303,3726346,3997880,2864235,4815687,4660577,4513504,3967983,3636979,3273908,2047522,4254820,3342309,5576941,2801627,4304068,4018085,3183213,3743441,2357951,3631652,3348461,3772164,4076567,2657250
2021-11-01T06:55,3759648,3221592,3735709,2915191,3496892,4202761,3439958,2647656,4007091,3205221,3350466,3036869,3246799,2813180,3285706,3624189,4233011,3125324,2622832,4137470,3468687,4074574,4627595,4365808,3380302,3993687,5413142,3621702,4192625,3200796,4502353,4844672,4002300,3109774,4837704
2021-11-01T07:00,3584732,3783412,4855257,3568106,4613274,2193612,3051771,3891597,3965249,3381038,5021959,4492001,3838850,3941491,4535710,4377638,4870207,3477163,2777502,3606382,3366539,5331213,4509360,3096768,4774676,3792078,3925103,4069633,4828568,3131427,3901266,4105977,4161231,3981548,2403741
2021-11-01T07:05,4798566,3082232,4992298,3778916,2515326,4712967,1794106,3653195,2704494,4337632,5544818,4013043,4497100,4012468,4062070,3451220,3582672,4104574,3254353,3389367,4067367,4284654,4286379,4166895,2781760,3199723,3963928,3764704,3690693,3261896,4262526,4069047,3765970,4325719,3388544
2021-11-01T07:10,4563315,2768152,3107387,2837394,3915961,4123829,3830326,3677284,3884460,4458865,3850135,3345713,3622297,2566763,3503099,3930096,4352415,2846062,2701074,2498010,2400003,5343378,4303304,4239941,3623436,4437063,3939543,3177166,4392518,3149822,3547204,3928129,5149052,4064706,4189688
2021-11-01T07:15,4165192,3361809,3388471,2336182,3185655,4374555,3003897,4555623,4457717,4199552,2956816,3602721,4616854,3331820,4013274,3690790,4440971,3674334,2808430,3525117,3108996,2608163,4154090,4219798,3282672,3897807,4043447,4262466,4002579,2913383,4548366,5371227,3430755,4265628,3730144
2021-11-01T07:20,4623237,3497674,4298950,2251192,2914957,3301725,3008088,4463915,4078741,4337525,3397138,5650219,3298706,3376007,5169981,3409541,3418477,3122107,2421281,2168801,2958743,3079646,3922893,3714873,3141083,4446827,3515231,5474395,3684653,2718946,3798977,3305813,4442483,4561848,2968011
2021-11-01T07:25,4466076,3780706,2626852,4502406,2790250,2911978,2721916,4046256,3408930,4306524,3872097,5006149,3289690,4228801,5339588,4558196,5194311,3603472,3678468,3017096,3011025,4121233,2603646,5464055,3168667,3891741,5228866,3427917,1958399,3402579,3301370,4331746,4792383,4116928,3842260
2021-11-01T07:30,3301342,4434147,3678902,3114550,4285643,4752143,3016481,3108276,3071044,4151837,5912878,3956486,5404384,3674348,4157410,4163458,3864105,2850754,3226546,5356772,2851546,5380620,5332928,4346772,2886594,4363313,4821280,2997203,4169477,3865233,4401498,3087671,3373828,4219914,3212905
