site_name,BI,BU,CW,DV,EJ,ET,EW,EX,FM,FO,GI,GN,IO,J,JS,JT,KT,LZ,MX,TU
dp,298,254,335,262,200,231,341,357,318,265,333,278,313,268,404,240,409,312,237,363
dv,245,326,279,422,329,280,305,366,280,255,435,410,301,352,465,352,297,333,286,286
eo,320,372,370,353,357,390,332,281,325,232,319,443,359,346,290,341,441,338,385,291
er,310,277,197,393,303,358,231,343,343,293,268,307,336,300,290,292,323,314,404,352
f5,267,359,330,334,227,328,354,324,281,300,295,376,318,273,377,323,402,264,302,369
fq,375,304,331,320,256,340,352,330,311,335,242,206,346,348,376,313,337,293,290,296
gi,310,303,342,290,319,372,291,372,328,358,316,312,296,315,345,283,341,302,355,252
gj,349,379,237,295,366,338,206,391,326,295,302,333,296,353,315,362,388,325,293,372
gp,323,364,400,349,306,240,241,366,146,321,300,243,293,308,355,296,382,261,229,342
h1,314,279,367,233,283,361,255,278,245,243,302,250,305,307,253,307,354,337,347,320
h5,351,312,217,328,159,364,316,331,314,301,430,293,296,277,268,354,359,341,271,341
h9,316,282,255,343,319,424,291,355,308,272,348,417,317,420,393,250,431,293,338,228
hr,309,288,416,285,409,272,347,272,262,276,308,343,287,366,298,314,312,378,368,304
hs,334,303,272,264,288,269,398,330,282,338,343,197,237,360,288,331,351,295,270,372
is,352,433,332,325,388,367,240,328,329,241,225,356,286,369,338,358,320,264,322,276
j8,399,311,324,267,348,348,329,295,288,352,351,324,373,316,261,365,361,359,313,313
kr,348,262,412,345,346,285,310,385,404,395,295,349,326,291,306,314,365,345,322,382
l2,263,324,309,271,401,388,273,447,235,279,352,274,418,333,219,316,245,363,289,313
l8,261,379,408,376,310,258,327,294,383,204,255,372,274,300,313,312,293,289,350,295
lo,266,291,279,281,354,325,276,289,323,242,319,322,234,322,257,356,305,332,273,316
n9,379,284,285,308,260,300,239,437,364,268,297,393,280,344,368,273,297,297,261,423
oy,312,279,354,330,305,382,232,351,367,391,354,351,361,348,298,297,309,317,403,310
p8,324,295,330,332,296,395,431,297,290,332,243,289,310,221,324,215,345,319,387,422
pq,260,294,265,262,320,340,318,382,346,261,376,392,300,342,286,273,347,290,405,388
qt,307,428,350,385,329,320,358,301,287,332,292,292,297,228,417,358,343,295,313,332
r4,341,275,294,294,211,326,332,287,226,279,241,303,343,399,333,286,283,322,406,263
u7,338,316,305,373,338,345,333,341,276,243,307,320,262,344,239,233,236,266,312,357
uy,344,257,361,363,272,249,352,295,278,310,247,311,422,327,318,323,365,290,332,346
v4,324,291,282,289,413,325,356,304,234,281,303,368,334,271,335,371,288,259,342,427
y2,236,385,347,333,245,339,317,305,322,274,251,265,188,360,303,326,360,346,251,313
y8,332,319,374,292,264,329,401,349,288,267,264,261,355,180,290,283,253,308,347,396
