mtime,BI,BU,CW,DV,EJ,ET,EW,EX,FM,FO,GI,GN,IO,J,JS,JT,KT,LZ,MX,TU
2021-11-01T00:55,3227031,3787106,2312987,2395001,2955604,1479343,2838794,2027398,2838881,2078896,2972025,2502155,1663257,1940564,2641850,2445033,2625381,2885984,2090645,2423393
2021-11-01T01:00,2625326,2251890,2890286,2714046,3150881,2994585,3655514,1589147,3197167,2670583,2552363,2991269,3943104,1098989,2378944,2612631,2701002,2848869,3403418,1814536
2021-11-01T01:05,2905010,3429644,3468677,3413062,2857809,2094482,2129670,2292923,3179768,2539433,1829245,2330063,2279182,2434394,2871426,5167662,2239784,2887862,2686738,2350221
2021-11-01T01:10,3171930,3133680,2189147,2880863,3069182,2080699,2050503,3106186,2452313,2448392,2093340,2690376,3820411,2646494,3227496,3942119,2630640,3166017,3257899,1884920
2021-11-01T01:15,2117107,3758499,1637750,2942787,2665020,2031535,2889746,2165408,3047704,2410288,2969136,2894954,3944202,3585293,2861028,2728687,3300895,2522012,2272656,1681075
2021-11-01T01:20,3033560,2461953,2336981,2818434,2737106,2369297,2566390,2121076,2511171,4401577,2750994,3057427,2706825,2277827,3669476,3140493,2827451,2960263,3680052,2366068
2021-11-01T01:25,2878949,2081287,2722201,2736821,2817749,2350404,2098558,2923331,2995514,3577908,2692539,3055514,3385546,2846075,3480203,2976933,1908455,2174456,3271627,3615439
2021-11-01T01:30,2318695,1907156,2808269,2699096,3742804,2740278,2109964,2611603,2116518,3566919,2749206,2720696,2150474,2949195,2834609,2358919,2452944,2916640,2606944,3002849
2021-11-01T01:35,1854965,2423066,3399417,1919538,2652840,1760350,2332867,2698259,3085779,1302108,2426520,2710457,2446335,2303309,3304181,3301501,1362094,2049697,2647083,2486912
2021-11-01T01:40,1689466,3291525,3548501,3474989,3184932,2594770,3103743,3271642,2821750,2074209,2345836,2971663,2398568,2657848,2486109,3193014,3535060,2781432,2032504,1734847
2021-11-01T01:45,1463202,2229365,1960589,3022105,2140658,2308748,1281222,2841255,2992957,3327888,2441349,1871430,3079877,2474461,3424848,3377896,3457680,3659064,1810425,2481045
2021-11-01T01:50,2227249,3838393,2050500,3064542,2762736,2772944,2672683,2819417,3179148,2986224,2370299,3698825,2624457,2640724,2709305,3591023,2039710,2917956,2440659,2554433
2021-11-01T01:55,2839490,2648287,2722663,2501545,3030952,1448815,2992191,3577235,4057382,2751243,2694969,2731896,2542850,3759290,3703252,3078520,3216157,3805622,4194931,2227670
2021-11-01T02:00,3438524,1684256,3425495,2943195,3971190,2475072,2138153,3279347,4781136,3009580,2828051,2230918,2878129,2910162,2216991,3102607,3406761,3008785,3249008,2621551
2021-11-01T02:05,3113657,2236485,2290856,2730085,2972153,2413502,3004258,2270508,2752193,3556073,4015474,2457102,3140994,3450406,4309188,2843525,2103312,2951823,2774303,3412914
2021-11-01T02:10,2761893,2430563,2495646,2639171,2594568,3086642,2660959,3372471,3146278,3170345,2650780,2813873,2955876,3331642,2662051,2822073,4030368,3226721,2325745,2807324
2021-11-01T02:15,2477706,3104094,3218498,3302580,1859772,2691259,3847093,2488484,2807204,3936608,1670102,2725411,2439272,2953479,2958857,1768045,3530671,2536322,2201889,1966707
2021-11-01T02:20,2441617,1787232,4429676,3471735,2605599,2328519,2838724,1659566,1971076,2558314,3404280,2387879,3028279,4166572,2129279,2309445,3107493,3517145,2451794,2638300
2021-11-01T02:25,3381558,2159793,2516710,3124017,2653778,1447693,2711159,2908446,2420402,3278220,2919908,2426284,3630363,1320163,3052664,2059016,2594317,3168930,2867526,3215880
2021-11-01T02:30,2093541,4281913,2200459,2297545,2375244,3212487,3292179,2273256,2411754,3099534,3390344,2279943,2767069,2104787,3238004,2586095,2910972,2698162,3581783,2954435
2021-11-01T02:35,1689256,2079502,2095749,3024468,2390018,2397115,3349892,3012617,2799140,2454964,2782612,2586007,2602618,2891774,2973398,2434666,2375101,3749134,2252264,1475387
2021-11-01T02:40,1994818,3952942,3622868,2369427,4772862,2729005,2971760,2906560,2872593,2961797,2313817,3443339,2978073,2533350,2097534,1902850,2511313,3010359,1991025,1807745
2021-11-01T02:45,3266975,2520499,2008719,3403868,2663411,2431436,2029335,2236416,2296284,3288890,2974784,3119269,4140300,2864359,2718760,3484702,2163632,2225841,1252352,2332104
2021-11-01T02:50,2630866,3220506,2694988,2982377,2662259,2201283,1820749,4029472,3869230,2844661,2922748,3509988,2892222,2322934,2735202,3020984,4035515,1656402,1244137,1946963
2021-11-01T02:55,2492439,2378935,2407858,3055912,3002516,2770773,2718218,3310982,3587443,2268509,3541570,2748180,3966465,3565569,3469785,2688989,2874147,2896522,3687067,3297546
2021-11-01T03:00,3142415,3735799,3145067,3022825,2658541,2881572,2485463,2216521,4286363,3644272,3126501,2468277,1992697,1840727,2352838,2906863,3583851,2478889,3117512,1636548
2021-11-01T03:05,3091461,3140010,1637719,2595845,4009694,1832280,2382417,3825844,3851453,3145294,2279490,2446122,2989478,4021849,1515399,2896791,2805354,3028643,3547627,2310876
2021-11-01T03:10,2024627,2860529,4370994,2338515,3479663,1524627,1184607,2915872,3861578,2308929,2806660,2740042,3339065,2354227,2134497,2852508,3136619,3205487,3014811,3107691
2021-11-01T03:15,2452447,2823204,2566233,3108821,2986761,3247732,2220663,2641982,2804312,3841860,2558391,3078910,3114317,1975036,2047304,3250476,3001415,2982051,1984476,2674686
2021-11-01T03:20,2372707,3245831,2011884,3217320,3708161,2612922,2699203,2248911,3036538,3060949,2608202,3183330,4091084,2953731,2892076,2266854,2731881,3771627,2537816,2565306
2021-11-01T03:25,2959746,3384210,2393252,3095100,3351144,2582552,2835207,3628097,2853615,2783470,3174198,3228270,4740276,2041639,2215572,2486307,2665377,3607355,2434754,3614861
2021-11-01T03:30,2931029,1960681,2607353,2107290,2379010,2898352,2018810,2430920,2870672,2895583,2767367,3446622,2677563,2516729,2711414,3083894,2625062,3165891,1940951,3505915
2021-11-01T03:35,3487745,2201114,1640658,2275894,2739138,1973637,2722359,3131959,2857775,2298314,3852267,2888194,3989265,3981431,3559762,2337662,3881399,1746413,2180025,2177167
2021-11-01T03:40,3374433,1613977,1851098,2706781,4112092,2783445,2356670,2370674,2723618,4146480,1956872,1936800,3151844,2324835,2484271,3770121,3351765,3758424,2722509,1907709
2021-11-01T03:45,2636175,2915854,3267176,1945667,3248240,2325151,2360469,2680517,3970692,3682693,2565861,3032908,3149938,3470449,4556657,1907519,2603081,2092203,2877350,1684231
2021-11-01T03:50,2673942,3603706,2806872,3410642,2272057,2657213,2395537,4693490,2526017,1794911,2315799,2503113,2299834,2710042,2067220,2713947,3115388,1938304,2025220,3586590
2021-11-01T03:55,1474931,3003836,3453369,2985326,3412670,2318535,3034264,2816895,3049918,2680393,3139620,2617929,2132527,3585723,1901666,4176273,3396961,4090257,4139713,2059873
2021-11-01T04:00,1826812,2288399,2504750,3727976,2481519,3397570,3455409,3543752,2490640,4043073,2526646,2968946,2922319,2935174,2663774,2774429,3532261,2387017,3364332,3048549
2021-11-01T04:05,2753907,2570495,2889678,2244963,2911338,3190489,1425719,3773705,4486634,3646936,2412599,2982166,3297490,4062332,4655520,2352793,2208589,2274070,1880024,2465884
2021-11-01T04:10,2056961,3049929,2025207,3002685,3206485,2673773,2219893,3316337,2189887,3877110,3609665,3460054,2013211,2242106,3576296,2265663,1964026,2727603,1801502,3129420
2021-11-01T04:15,3583737,2617828,3407015,3384750,2979259,2291678,2544518,3322952,3894477,3553565,1943402,2417678,3879383,2571031,3196186,2936840,2709769,4444203,2566124,3279919
2021-11-01T04:20,3085743,2868558,3710638,2376469,2912042,1877669,3940192,2001614,3174055,3079640,2431358,1667139,2481430,2794750,1758478,2187981,3813797,2685065,3439251,3574965
2021-11-01T04:25,1811876,3624767,3405832,2053839,1687508,2783516,2427770,2126730,2652878,2939655,3075011,2527445,2925745,4001449,2799207,2180570,3083860,3335521,3127487,2593176
2021-11-01T04:30,1717771,2565281,2776030,3062121,3414663,2769090,3524571,3054896,2154143,2124586,3627903,3138886,1539486,2034651,1005814,2606937,2576827,2690938,3527157,3107034
2021-11-01T04:35,2310795,2395874,3324331,1900078,2098016,2838832,2742984,2315559,3143190,2722697,2801400,2645871,3256367,3129766,3142691,3057578,2704266,2173160,3418007,2850600
2021-11-01T04:40,3691367,1875143,1292608,2647464,2615672,2460823,2429316,3207728,1692328,3713401,3274324,2706688,1959559,3949262,2945371,2567858,2576643,2913889,2967861,2079866
2021-11-01T04:45,1428953,2335882,1665894,3361299,2344296,2184760,2824716,2731169,2620586,2441853,1809314,3690109,3774948,2704690,3603000,2047812,2638497,3323694,2434597,3010400
2021-11-01T04:50,3151792,2924469,2626333,1819247,2567956,2188753,2264709,3394793,2699850,4060702,2285771,2302916,4464082,2502454,2319240,3689927,3104916,3397423,3050165,3030102
2021-11-01T04:55,3324075,3555426,1592766,2133207,2892190,1830898,2722154,2126000,1371604,2217442,2326461,2426113,3715078,2251490,2420703,2171652,3055295,2840057,2615327,3200322
2021-11-01T05:00,3322956,2936552,3367778,2991112,3714906,3105405,2336639,3070307,3231971,2966099,2695801,3109215,2153189,2480470,2711727,2427573,2704655,4016941,3834991,2903423
2021-11-01T05:05,2094510,3118382,2471664,3055715,3621399,1298617,2876988,1908664,2557883,2443055,2146832,3786303,2359568,4174333,2104892,2258350,3210632,3141252,2698267,2461289
2021-11-01T05:10,3010535,2380804,2015357,2346690,3325506,2176842,3210115,4015680,3480470,4105981,1813708,2742181,2873062,2967177,2540643,2656528,3078704,1840797,3115407,2857803
2021-11-01T05:15,2519701,5009618,4317158,2846478,3217514,2084952,2501805,3594197,3080985,3056369,3273611,2412210,2473843,2382616,2576256,2718301,2543449,1553053,1925567,3012537
2021-11-01T05:20,2811355,3789792,2315180,2746382,2859317,2063893,2710003,3196751,3160678,4235600,2323659,2461221,3216643,2214138,3431221,3006171,2165083,2926338,3205138,2085938
2021-11-01T05:25,2524317,3275865,3065563,2894576,1675589,2937695,1703484,2079017,2692317,3855105,2309423,2871332,2694673,3075175,2011637,3646238,2596823,1536998,2300541,2563872
2021-11-01T05:30,3219681,1489654,3489369,3130183,3210837,2563736,1651516,2659325,2841120,3019191,2045729,1954709,2813397,3676118,2475460,1708957,2653310,3466269,1805317,2129643
2021-11-01T05:35,2947446,2217796,1886185,2345359,3672005,3035007,2444008,2048592,2797689,3817299,2454294,2697837,2286878,3944003,1739574,3492675,2385177,2828513,2884634,2255922
2021-11-01T05:40,3511497,3258997,3538412,3115258,2053093,2972850,2920622,2361777,3400451,3154871,3113342,2779327,3077455,2896825,2991448,3738949,3354114,2335113,2887866,2580886
2021-11-01T05:45,3546207,2606987,2908951,4620680,3527510,2178691,2511548,1200401,1666306,2621026,1215840,2609744,3443378,2267755,3043258,3569993,2162897,4061818,2010116,2270843
2021-11-01T05:50,2699316,2842305,3122974,3407451,2941080,2455341,2591715,2311656,2555142,3494595,1470963,2216359,2935388,2140230,2964584,2248182,3188260,2289935,2579939,3495221
2021-11-01T05:55,3758456,1675691,2138050,3139492,2609815,1948548,2164846,2740589,2669036,1456641,2608596,1731228,2819371,3081086,1511964,2261623,2912706,1736932,2989356,3101153
2021-11-01T06:00,1757234,2543762,3982265,2810681,3259923,1947418,2515309,2461715,2734631,3109859,2032990,2810375,4516984,2005789,4018769,2745589,2417677,2699702,1867648,3419119
2021-11-01T06:05,2344476,2718319,1976403,3394692,2100956,2339527,2162095,2789300,3110141,3677525,2567655,1891294,3624740,2678014,2454729,2645327,3988137,2804010,3037647,1315807
2021-11-01T06:10,1932284,2778457,3333907,3350598,3053736,2712494,2107704,2366429,3193438,3342353,2554498,2739628,2174973,2319116,3293409,2294001,1810941,1475151,2367363,2300532
2021-11-01T06:15,1864876,2822469,1674191,3274943,3796624,2056097,2805442,3390672,2551297,3099010,2708065,3015057,3854727,2902040,2062102,3408376,3418516,3145453,2418161,2572961
2021-11-01T06:20,2285662,2791464,2879357,2325068,3325457,2251766,2542089,3064245,3613271,2905199,3056925,3342124,2436522,3222330,1246211,2043861,3288780,3449789,2223511,1311578
2021-11-01T06:25,2840279,3122864,1680597,3794436,2655070,2202867,2431226,3284680,2581084,3131528,2064315,3109528,5593852,3716357,2606101,2748203,2937488,2760074,1216602,3985844
2021-11-01T06:30,3112040,3331305,2094343,1970278,1999599,2764029,2381602,3013133,3813429,2729253,2564608,2499712,2608767,3665084,2654021,2544281,2111074,1827693,2127235,2035854
2021-11-01T06:35,3405911,2701982,3962200,2791174,2440276,3061864,2598704,2555726,2094824,3687821,3169353,2496668,3228503,3343564,2434254,2041257,1844241,2157039,3641101,1892958
2021-11-01T06:40,2376107,3078676,2654939,3494295,1897727,1837780,3886967,2638626,2645285,2806350,2520264,2710741,3486422,2462829,3721139,2999347,3248153,2413804,2403408,2115035
2021-11-01T06:45,2327439,3965790,3498987,3592414,1730969,1875671,2447243,2274802,2559935,3079642,2694656,2051523,2205945,3748277,3669679,2695235,1986071,2734055,2493538,2739385
2021-11-01T06:50,2654229,3103058,2836606,3668592,3162131,3034873,2687183,2735393,3464363,2925856,3191999,2657106,4283870,2118166,2126611,2908218,3681798,2172699,3291276,1996693
2021-11-01T06:55,2310789,2761139,2225328,3002085,3332419,1868002,2993446,3567694,2568268,4039972,2842776,2729492,2763867,3114405,3211870,2394527,2655576,1997316,2097002,3611711
2021-11-01T07:00,2951349,1863679,3590031,1429587,2219355,1616502,2889297,2376421,1338520,4225160,1894624,2348171,3431998,2959745,2888935,2664271,3336149,2012937,2903515,2112443
2021-11-01T07:05,2459469,2095135,2291855,3165460,2170519,1088151,2287150,3210665,4376651,3640266,2113147,4230076,2096855,3547516,2428749,3041439,2986226,2441258,3039423,2551406
2021-11-01T07:10,2432526,2898447,3342334,2584532,3499941,2403778,2685675,2854029,2217159,2368700,3872088,2395561,2781046,2446153,4491416,2195072,2788934,2327140,3281327,4007479
2021-11-01T07:15,2943782,1761564,3504974,2647073,2394981,2720454,3301120,2454970,3656776,3165717,2758048,2599958,1991522,2186587,2360375,3509090,3765010,3924740,2981168,2801128
2021-11-01T07:20,3379762,2185890,2831608,2141287,2757948,3046552,2147729,3160302,3422738,2544450,2532846,1614596,3869548,3414504,2662442,2391198,4300764,2827220,2557583,2598969
2021-11-01T07:25,3045437,2908144,3398621,3335837,3288826,2198815,2675135,2314535,3000637,3268906,2917905,2742751,2488944,2778816,1275402,2622933,3411695,3553293,2389472,2300604
2021-11-01T07:30,1997334,4007320,3259354,3360991,2679146,1408065,2169642,3830843,2824843,3573869,2544034,2660338,2711421,3120039,3332008,4287995,3011713,2991200,2258105,2461324
2021-11-01T07:35,3207740,2291301,1343169,3620487,2947939,2188077,2128577,2245936,4694686,2701869,2543752,2850533,2438248,1535592,2711513,2616873,2659751,2949791,2453443,3459314
2021-11-01T07:40,3297982,4451261,3535975,2169581,1471397,1865066,2671522,3227722,2565615,3418400,1663272,2236253,2800520,2297210,2471399,3505052,2469020,2375125,2529366,2746751
2021-11-01T07:45,2691155,3368286,2020188,3665538,3319118,2903340,1713507,2850011,2334344,2727089,2457520,2544827,2488721,3082254,1914945,4478482,2126852,2455617,3510871,3206703
2021-11-01T07:50,2136007,3633102,3076780,1884207,4102975,2529219,2483752,3563542,2411186,2310714,2714362,2562093,2351900,3782958,2779456,3423022,4656775,2126743,3495450,2467035
2021-11-01T07:55,2005616,1484118,3229112,2351590,3233971,2356070,2921803,2028623,1709565,3216896,3290818,3110901,2359474,3764467,3174630,2608517,1798448,3849456,2558694,2136489
2021-11-01T08:00,2760480,2803033,4385969,2355538,2503218,2659383,2233688,2721741,1658124,2621270,2911336,1394159,3286433,2123746,3838106,3793714,2246958,2175729,2645029,3696647
2021-11-01T08:05,1416378,2314644,2999887,2919105,2217288,2240401,1001212,2325252,2691035,3397352,2219117,2391926,3524211,3345869,3061306,1351923,2327372,2497535,3289495,3212290
2021-11-01T08:10,3121595,3086147,2260136,3141357,2803709,3607333,3398897,3461175,2828759,3216580,2729006,2384742,3238191,2207518,2202139,2008339,3008006,2026005,3110970,2115447
2021-11-01T08:15,2213030,3558313,1384350,3479184,3241666,2504266,2665573,2024328,1311022,4694193,2574619,2408342,3099545,2185620,2410149,3970374,3153708,3712634,2043524,2081510
2021-11-01T08:20,2214862,3592654,1764176,2524474,2493638,2928184,3155385,2603566,2308241,3018069,2513701,2273005,3309376,3180637,1888420,2048074,1920467,3837481,2779655,2328820
2021-11-01T08:25,2657956,3136808,2752205,3255780,2241854,2706221,2445581,2526510,2713831,2218201,2364590,2571875,3600802,3136280,2384238,2397687,2522599,3015030,2469113,2684107
2021-11-01T08:30,1689264,2653247,2939228,3016833,2785429,2025255,3816828,2902467,3432979,3146539,2297724,3238557,2538444,2296913,1680748,3084294,3340748,3796012,2860592,2239611
2021-11-01T08:35,2267169,2862767,2232197,3183908,2730271,3483221,2248496,2090538,2539177,3234285,2030266,2264018,2447483,2506402,2331288,3708669,2698386,3050407,2700138,1380163
2021-11-01T08:40,1736350,2648145,2473690,3088731,3459537,2152802,2859124,2269276,2266578,2506026,1956944,2611186,3642837,2068531,1771273,2587167,4215204,2246617,2291052,2675131
2021-11-01T08:45,2500244,3365991,2698127,3103543,3106306,1967672,2677835,3419137,3355941,3599597,2204426,3260779,2506024,2730216,3105880,3102367,2434060,2616737,2146551,2041200
2021-11-01T08:50,1547254,4246532,3196665,3111553,2700043,1422149,2563700,4013486,3168001,3321841,3158917,2995571,2163383,2831320,2043428,2665546,2259858,4783938,2457285,1811349
2021-11-01T08:55,2732102,2057927,3387370,2446215,4115756,1924998,2165249,3527534,3208097,2526451,2569081,2844601,3373243,2940344,2732503,2248056,3115742,2772295,3228521,2799865
2021-11-01T09:00,3774989,1989456,1365460,2999599,2276920,2120445,3338632,3108890,3457284,3246491,2614169,3095717,2274441,1625390,3296488,2749392,2617106,3154207,1585282,2504874
2021-11-01T09:05,3071045,2353459,3176465,2391290,2167465,2095241,2423027,2951561,1807098,2335896,2003057,2719454,2257740,2223882,2853724,4028760,1984513,1536438,2200581,2824592
2021-11-01T09:10,2787427,3379227,2675099,1874890,2861159,3067560,2494444,2384194,3500097,3877045,3835035,2202902,3212038,2298806,2508301,4162201,2807448,1985568,2468578,2864834
2021-11-01T09:15,1923051,2028310,2935563,2008706,2855715,2322465,2041999,2402568,2859462,4096296,2149744,3614596,3268834,2965994,2342322,3375646,2570520,2253919,2738318,1476138
2021-11-01T09:20,2990817,2844421,4177270,2372409,2609738,1876265,3785285,2765075,2786719,2206417,3095201,1513082,4127172,2070547,2873765,2981744,4029801,3818205,2165431,2290967
2021-11-01T09:25,3336417,2586827,2524647,2933451,2019589,2512743,2070357,1535064,3301706,2241076,2630448,2224695,3845653,2496907,2423979,3299215,2081636,2523190,1949595,2821232
2021-11-01T09:30,2741622,2683899,2989991,3878807,2024773,2537018,3254248,2304142,3149497,1951621,2936271,3854012,4167489,2347362,2797641,1725605,2749406,3732597,2887871,1926791
2021-11-01T09:35,2711918,1860513,3479834,2232194,4029960,2451435,3410902,2060515,3058909,3100829,2863496,3730166,2763245,3376905,1954697,3068104,2483753,2575038,1904277,2589880
2021-11-01T09:40,3311303,2805281,3203818,3055398,3156371,3331918,3488223,3376395,3299949,3839488,2521173,3186095,2978732,1315090,2301837,3100375,2222692,2681390,2654455,3579915
2021-11-01T09:45,1874523,3229402,2874762,2831630,2082215,1500124,2500232,2261115,3066102,2690112,2852598,2367256,2985022,3307260,2525913,2621423,2308956,1710057,2561516,1803931
2021-11-01T09:50,2001292,2937106,3795780,3640565,2284631,1692941,2937077,2542936,2189057,3223494,1625698,2144354,3366624,3071983,2543838,3192918,3055337,3043271,1648744,2224063
2021-11-01T09:55,2494643,3546582,2423689,2758495,2705820,1503192,2517447,2496798,3008901,3163368,2065746,3390399,2794945,1377203,1728951,2374316,1960631,3257437,1458257,1810971
2021-11-01T10:00,2137958,1975279,2438022,2967531,4836105,2479156,2352869,2480328,2218817,2659752,2129016,1601079,3728173,3636233,2568531,3369037,2576736,1387671,2422728,1095143
2021-11-01T10:05,2888072,2758053,3188141,2595704,3493293,2126281,3144615,2065827,2686237,2817476,1460964,2536481,1770801,2655222,3343087,3588310,4000131,2007529,2560644,2857628
2021-11-01T10:10,2809236,2877968,2532525,4008308,2040589,2071251,1616702,2757283,3652348,3280196,2888601,2579434,2566842,3663705,2788142,2488337,2809435,3564763,3134398,1938231
2021-11-01T10:15,2045249,2404026,4700930,1791497,2544773,2097374,3354803,3126028,3519207,2617907,3409964,1559426,3162626,2913473,3981184,2523547,2971914,2632642,2986427,2619259
2021-11-01T10:20,1471833,2967151,4077185,2546370,2516881,2158157,2877514,2032596,3141849,3537402,3115413,1981725,4018928,4320509,2172693,1566476,2375627,3031408,2146436,2771880
2021-11-01T10:25,3028183,2841132,2612467,2462385,1977158,3054778,1518420,3300879,2598263,3105472,2669462,2116042,2867768,2501174,4026140,2890411,2495724,1979216,2743945,3381046
2021-11-01T10:30,1928132,2838133,2647586,2054042,2164733,3035249,3210997,2169472,1794211,4092904,2565986,2760366,3157887,2501177,3123064,2565179,2545369,2685542,3039700,3255790
2021-11-01T10:35,1765553,3828905,2041287,2926701,3892680,2067338,2930472,2516985,3383899,4615112,2948623,2840564,3941573,3722900,4010625,2126326,3485345,3698287,1820816,2044154
2021-11-01T10:40,2518936,3221836,1850273,4178151,2346122,1971529,2515143,3057870,2022995,3303966,2350019,2799728,3129418,3664649,3064232,2416261,2987899,2849392,2217851,4076466
2021-11-01T10:45,2658043,2649880,3587103,1602575,2963530,1748734,2468268,2360240,1765457,4411233,2120543,2921131,2662252,2902277,4211963,3463320,3177235,2774818,1386471,4194526
2021-11-01T10:50,2400952,1948782,2827441,3018957,2413610,2131926,1592774,3065002,2531660,2866621,2097831,1898035,3396870,2035457,1846701,2025788,2897992,3135067,3179504,2959087
2021-11-01T10:55,3018330,2890671,2526420,3187225,2452185,2837900,3734362,1806543,3195610,3058980,3345228,2547795,2513137,1982808,2020477,2313419,2301416,2823968,2373969,3429353
2021-11-01T11:00,1629207,2457125,4286645,3126485,2485457,1711485,2897781,2686365,3332212,2713753,1809360,2619314,1849664,1884470,2751766,2651558,2972472,2102576,2994144,2931974
2021-11-01T11:05,2311117,3468009,2564502,2306821,3023262,2761818,2298490,2629800,2321273,3984579,3104751,2744076,2734680,2589260,2831637,2560561,1869301,2585388,2964808,2668665
2021-11-01T11:10,2830628,2694156,3462734,3109365,2657367,2439218,3128975,2982275,3459518,3946322,3636115,2726830,3005035,2627933,3017988,2560758,3499264,3712615,2249134,2415569
2021-11-01T11:15,1857251,2572648,2183055,2813257,2789134,2574545,2381527,3465826,2331499,1968389,2873640,3638323,2640790,3057969,2890819,3512569,2503067,2423763,2530002,3635169
2021-11-01T11:20,2568543,2544603,2196595,2906970,2260811,3120791,2699331,2430785,1684432,2418059,2186937,3240167,2716214,3965623,2714743,2773344,2476527,1462635,2891235,2623684
2021-11-01T11:25,2936293,2919660,3574696,2474126,3862992,2333500,2334209,3633144,3016102,2994334,2195063,3578032,4169390,3725743,2934985,3095586,2533938,3178951,2750155,3924216
2021-11-01T11:30,2434034,3078798,2050175,2815084,2597281,1597656,1888945,2649158,2460647,3586908,2567365,2415430,3895391,3528016,2143026,2587378,2324495,2585443,2948298,2472575
2021-11-01T11:35,2078631,1880517,3163196,3401472,1626287,2605119,3679071,2215197,3019235,2742720,3395283,2124878,3028301,2460147,3385150,2052418,4296339,2449969,1859193,1729166
2021-11-01T11:40,1518381,2123420,2098345,3598753,2371187,2444367,1712135,3997763,3593393,3281248,2376216,4227285,2492053,3867402,2880985,3336757,2637647,2926507,2500843,2313244
2021-11-01T11:45,1487583,3033871,1733118,3519705,2085273,2494883,2739327,2178409,2751594,2003937,2501863,2636291,2858048,2599207,3822929,2788844,3305793,3830399,2058888,2335783
2021-11-01T11:50,3709719,2233103,1920288,3293120,2450289,2333084,2647717,1997938,2359971,3062614,1577336,2140509,3482922,4608279,3174306,3695458,2927953,1605127,2007171,2395117
2021-11-01T11:55,2567757,1693116,2263782,2877902,2645733,2819790,3358191,1493663,2677109,3979661,2945994,2806228,2414980,2910275,3080068,2618474,2414884,2418348,1520949,2940786
2021-11-01T12:00,2813105,2883508,3460707,2239782,2848287,3175719,1782238,3662571,3818915,2971452,3441581,2553092,2130673,3485919,2730162,3517632,4266881,2395010,1382111,2723601
2021-11-01T12:05,3016310,2933155,2119875,2794706,2577626,1726801,3105297,3216125,2191017,2987583,2303341,2151827,4171422,2890181,1824903,2495057,2909485,4010328,2389965,1367221
2021-11-01T12:10,2484714,3766863,2102693,2257668,3314490,3144831,2234110,3742481,2905520,2847534,2337572,2250114,2385062,1640298,2850760,2158821,2756956,2492088,3418673,1956322
2021-11-01T12:15,1889671,4876659,2487572,2125190,3194408,2188861,3609207,3245014,1862942,2050476,1696082,2775735,3118182,3679123,2277894,1890857,3493282,2537361,3000554,2522961
2021-11-01T12:20,2159907,3284166,3930372,2133267,2884900,2628840,2672363,2729980,2429693,3372578,2810611,3231265,3206727,3112050,1775846,3031023,3001578,1963629,2379439,1705447
2021-11-01T12:25,2158918,3058287,2718244,2622921,1835335,2946602,2782961,3119183,2425978,2713464,2401247,2420798,4045078,1987221,2697700,2741095,3305896,3418026,1681000,2957577
2021-11-01T12:30,1305201,3737300,3422279,2089511,3226858,2513523,2244162,2465370,2559505,3442387,3217850,2625310,4039689,2927779,2401938,1468711,2915339,3005014,2532339,2091170
2021-11-01T12:35,2036450,3713994,3228123,1283092,2360200,2353912,1753978,4128909,3081654,2606617,2555685,1817332,3737146,2461741,3539850,3000882,2147457,2536072,2413844,2515609
