mtime,AU,BD,BN,BQ,CP,CZ,DP,DZ,EM,EO,EP,ES,FM,FN,FZ,GM,GN,GO,GR,HI,HY,IZ,LU,N,NO,NZ,QT,QY,R,RU,RY,SY,UW,X,XY
2021-11-01T00:50,3391410,4212386,4996119,3377831,3767486,3973467,3487872,3278104,4482517,3379178,3834192,2794957,2513653,3366390,4056269,3282592,3829335,3684882,4687990,4044363,3429631,3803699,3928143,3967789,2796815,3909546,2293048,2442743,4744321,3344314,3556929,3340530,2428110,3079689,4731278
2021-11-01T00:55,4418779,4157962,4049371,3307034,4538390,4012143,3357105,3928290,3108758,4971198,2899798,3744193,3640354,2938144,2959773,3664032,3181294,2606069,4264356,4622917,2598501,5773134,2826344,3435063,2321486,4238879,4473486,2560197,5355029,4148699,3963181,3263369,3552526,3446940,2152078
2021-11-01T01:00,4403399,4175100,2790029,4442710,3417535,4633754,3429148,2085036,4548678,3900693,2855030,2545848,4143512,2674209,4067948,4158945,3946116,5590423,3671814,4700713,3922853,3689903,2486545,4129702,3292469,4895037,2697088,3725576,3230445,3503800,4322918,3595083,3091529,3797426,4016487
2021-11-01T01:05,4506312,3773884,3355391,3220966,4741303,2947109,2599691,3043156,3219949,4003613,3237184,4358123,4555364,3715808,3428975,4562849,3852317,3864121,3898182,3732274,3166630,3495940,3400236,3928586,3787747,5205555,2070512,3540481,2669764,4198864,4925064,3720618,3107770,3146393,3552674
2021-11-01T01:10,3333459,4912974,3500249,3010270,3927319,2741049,3767768,3334415,2683476,4129810,3726025,4478526,4322790,3506631,2806064,4559567,3279651,3768052,3911213,3727160,3964046,4557530,2509306,2197445,3525201,3748381,2806919,3264193,3370447,3111380,2596851,2491117,3467061,4614702,2484254
2021-11-01T01:15,2363059,4057398,3565217,4856177,4578679,3418684,2312594,2197906,4245694,4455232,2812097,2437169,4274280,2973688,2827050,3385167,4252348,3651816,4028634,4021733,2405995,4115498,4415122,3895822,2622153,3448524,3178376,2995390,4777169,2841695,3191614,3799087,3290266,3354404,3283982
2021-11-01T01:20,4273096,3132354,3532137,2399535,3788863,2348068,3236313,3412717,3849736,2496582,3689752,4222834,2958864,3818037,3017075,5043759,3614837,4053027,2914798,4745565,2996460,4188473,3563246,5073453,3220058,2728651,4549955,3695767,5666572,4491524,3375460,3108599,2560955,3107279,4706716
2021-11-01T01:25,2803445,3803147,3805114,3848894,3615717,3331498,2581507,3162453,3624584,3589545,3495482,3676369,5709604,2289300,4213498,4403870,3265147,3648362,3500642,4162859,3658288,4261717,1597682,3819027,3185066,3199040,3695299,3477536,3021509,4831162,3564717,4523422,3414485,3019907,3651062
2021-11-01T01:30,3336474,4879057,3325439,3381747,2887986,3571396,4395711,4269590,4071299,2774637,3835856,4249604,3899131,3586325,3327738,3335753,4453014,3870801,2739740,2925219,2901521,3901755,2582692,4448563,2812111,3852863,3390862,3886701,4312236,5653146,4015204,5143514,3582367,3884025,5302895
2021-11-01T01:35,3596719,5386636,2977687,3972958,3857189,3413156,3549404,3828183,3462953,4334274,4637758,3206397,2857335,3239141,3939115,5573468,3109302,4459332,4872448,2989983,3667864,3630989,3211198,2914720,2556650,3384158,3308466,5146258,4437458,4428235,4074041,3102770,2390312,2981553,3222291
2021-11-01T01:40,2632905,4803267,3601239,2861300,5053126,2353402,3840954,3557652,3668802,3394441,3603948,3878682,4385011,2217323,3233211,4195273,3104276,3548068,3286969,3972307,3619764,3348898,1973688,4134298,3610274,4207970,4161175,3094192,4249255,4474529,5188030,3663498,4032695,2693646,3658919
2021-11-01T01:45,3273834,4773171,3234007,2774185,3542400,3578520,3242375,3052383,3963443,3738657,5304153,2556125,3170691,3195854,2908719,3173836,3401061,3923248,4559393,3443240,3183723,4044904,2878939,4631994,2974702,3010705,2799209,2116732,4384442,3989700,4623714,3620458,3306916,4162993,3103711
2021-11-01T01:50,2911072,4491989,3486267,2948461,3291753,2256863,3988109,2535137,4067090,4369594,2048772,3472842,3938495,2721717,4077178,5240902,2820119,4347937,4957090,3563945,3911549,4835804,4025974,4557238,3182326,4141036,2940074,2777202,3411834,2579883,4931875,4293934,3368203,3528688,2977687
2021-11-01T01:55,4115010,3280199,2715573,4061846,3680747,3959583,4115299,2778595,3453614,4181993,3447840,2529953,3432755,4146250,3166514,4672222,4151425,4141553,3647102,3851163,4220379,3253507,2854535,5600790,2555441,3835982,2998608,3919685,4593111,4889934,5378132,4274992,3849783,4284913,3915284
2021-11-01T02:00,4284576,3539407,2745027,4185655,3333105,4913001,2930775,3796795,2856330,3903211,3694249,3073409,3117879,2900994,2925825,5143003,3678470,4243674,4912065,3285851,4320696,4159477,2641433,4065986,3243132,5440849,4614039,3694935,3489015,3778992,4388291,5067349,3838658,4235339,2981780
2021-11-01T02:05,5203679,3456914,4476436,3048862,3497925,2885484,4942544,2554378,2877879,3607482,4134763,2652123,3592232,3580529,2844706,3525673,4662916,3456142,4415734,2354866,3030408,3651553,3434792,3609035,3033613,3256361,2305078,3379163,4272209,3749619,4562648,3362992,2686220,3782198,2971085
2021-11-01T02:10,4178119,5040790,2902313,4578672,4047787,3062370,3434120,3477214,4187212,4079810,2406262,3633712,3500692,3041974,3870098,2615314,3927393,4408345,4094757,4596325,2862959,1719928,3507619,2795675,2681835,3557770,2549553,2023792,3229676,4342117,4065265,3023072,2777393,2744382,4325622
2021-11-01T02:15,4299219,4878928,3378217,2895773,2929908,2912807,6059533,2531852,4276501,3165519,3992119,3137317,3890038,4604541,3213556,3229538,4409989,3400727,2866757,3393797,4033237,3862217,2779900,3874016,2166468,3967064,3453885,3912002,3000961,4159176,4342164,4865365,3255626,3863283,5841581
2021-11-01T02:20,3379653,2255859,4375052,2534207,4151619,2764502,2374605,2416764,2406734,5343274,3932311,3823633,4463673,3376352,2246906,3326681,4301857,3023039,3094763,3362908,3487492,4590779,5226570,4463018,2061332,3518486,3461355,3244605,3615923,3435694,2729603,3421661,3747486,4196931,2734080
2021-11-01T02:25,3753441,4096018,3522409,2149419,4933733,3777538,2990045,2008755,3670036,3800331,2812455,4281868,4434531,4059087,2829565,4776508,4166420,3860373,3551077,3571586,3687971,4304705,2577482,4195730,2893520,4238617,2504922,2455117,2897921,2159426,3614674,4734826,2911972,3488036,2093099
2021-11-01T02:30,3222855,3514633,3523118,3747313,3239281,3417600,3183112,3207221,5163869,3358242,3744927,2610667,3254197,3529710,2016545,4119060,3739687,3131036,3842125,3883493,4412628,3472220,3337600,4862819,3699255,2554703,2610371,3426774,5007922,3718841,2533979,4598199,2932351,2527409,5202092
2021-11-01T02:35,3224282,4389070,3100602,3753367,4151675,4243144,3614926,2982149,4721609,4012989,3716888,2579906,3901209,5160443,3748145,4335569,4790255,3779260,4289617,3209583,4105990,4232124,2562311,4717719,2567115,3919872,2672533,3518444,3852849,5048495,5308940,3910132,2367706,3758634,4118594
2021-11-01T02:40,2485957,4470730,3024130,1402881,4296902,2352329,4361334,3329070,4583842,3852575,3323117,4515617,3355959,3546208,3338273,3578333,3941080,3121773,4490125,2764408,3438963,2769309,2866564,4598429,3391220,4632107,2036632,3901346,3730980,3320130,4832429,4305009,2894505,4286529,4653589
2021-11-01T02:45,4276281,3115253,3010153,2882116,3516019,3900391,4259665,4896533,3979637,3676643,3508129,4556726,2550025,2728226,2369241,2413349,3693289,3932061,4031207,4420917,3154881,3908561,3270226,4785937,2576794,4096237,4453923,4867287,2892326,4756138,3886919,3397613,2814159,3462977,3515884
2021-11-01T02:50,4585410,4228581,2996165,3413740,3621946,3614288,1911364,3455243,3917486,4830246,3117702,4084208,3806754,4345500,2723235,4287818,4802319,3735213,4075884,3769667,5846018,3898090,2978793,4621055,3825759,4121903,1911209,3959329,4014471,3907344,4448872,3051251,2642370,5982167,4248066
2021-11-01T02:55,1717152,4341915,3150196,2706390,4173266,3285805,3538615,3143941,4621653,4230658,1911977,3405803,2867212,4489957,3342066,4540722,3768334,3397760,4122747,3928831,3404854,3535677,3463114,3781545,3293975,5425778,4646393,3280320,2214969,3719669,5447389,4610596,3272140,4024309,2923980
2021-11-01T03:00,3519110,3997862,3783067,3221710,3401466,3232843,3781153,3836845,4368443,5109299,3183513,3341777,3488532,3688935,2599595,4653541,3643628,4749851,3334723,3519002,3952372,2932817,2583367,4082399,2742996,4528785,3124329,3413536,2849472,2312537,3898247,2946409,2153436,4969959,2796350
2021-11-01T03:05,4214959,2871325,3450399,3836313,4619582,2627544,3774888,2346792,4028058,4630894,4166948,2691375,3655887,3759444,4007012,4246129,4127745,3012430,4508161,3064264,3655263,3515719,3937142,4641784,4401274,2846170,2968436,2607885,4755340,3112428,3109196,2950836,2854404,4060207,3959014
2021-11-01T03:10,3680904,2303772,3679793,2663745,4386876,2188796,3868639,3941873,3652218,3721337,3318476,4680361,4050695,3857095,2066187,4900684,3702313,3355159,3381490,4159221,4344110,3959081,3579679,4032634,2874752,4071505,3224387,3146633,3918073,3965477,3654346,4128527,3603560,2613527,3064465
2021-11-01T03:15,2486584,4070184,4948017,2815005,3667980,2957256,3243559,2926069,5213485,4317421,2993664,4237375,3716722,2954079,3236757,4417010,3627108,3722393,4775416,3483581,4614620,4088736,3253624,4809656,2212499,4455490,3520602,3702027,4184268,4973791,3572732,5015796,4506816,4252684,4175536
2021-11-01T03:20,3409764,4608815,3825740,2229521,4463730,2054910,3906325,2287735,3878469,4480522,3933093,3557478,3555856,3290058,3483101,3900909,3597668,4626478,3057136,3814823,4509285,4581272,2359755,3137475,2226218,2685312,1689415,2795221,3695786,4408189,4262259,3584633,3695206,4515372,4816965
2021-11-01T03:25,3909687,2540890,2630445,3358606,4250781,2161464,3161737,3135128,3612144,2586820,3078413,3598916,4047938,3179552,4185998,4258101,3896504,4240268,4498065,3463834,3099885,3667042,2365590,4575166,3177539,3129363,3483912,3401697,2758896,4007141,3440180,3230503,3261310,3872603,4865532
2021-11-01T03:30,4059463,4418737,2500726,3014646,3279017,2467556,2928710,3614101,3801334,4337518,2990159,3168156,2960571,2938389,3189837,3186987,3198347,4755310,3685802,3307523,4056448,5148067,3719051,3363363,3245965,2902246,5031684,3968927,3927026,4852319,3366850,2923909,2282782,4231346,3939600
2021-11-01T03:35,2824937,3416834,3332451,2108606,3850344,2693262,4020723,2704999,4719299,4186973,2844134,2535590,2614615,3869367,3496803,5498925,3802409,3959991,2918559,2323314,3410929,3320984,3326382,4047893,3779003,3659624,3765697,3442484,3920691,4001578,3504904,4844731,3130045,3696268,3852494
2021-11-01T03:40,3868549,4619936,3612770,3537092,4491811,3663016,3307299,3568526,3833939,4317837,2516039,5180674,3591421,2787888,3271503,5077591,3692971,4068005,4226510,3084293,3188268,3921651,2417511,3023898,3761418,3343969,3318113,1863944,2717000,4294379,3543773,4462338,3597910,3245312,4568868
2021-11-01T03:45,3001777,4198770,2755515,2573901,4022461,2578264,3535973,3798664,3810194,4128389,2174171,3983182,4351973,3174338,2994704,4383255,3874072,4989670,4482860,3709736,4047921,3363056,3256716,2405806,3915234,4696949,2804245,2631955,4896882,4153119,3840243,4748021,3565360,3324754,4863249
2021-11-01T03:50,2696453,3545437,4297638,3413306,3581394,2719357,4123034,2136456,4689882,4611857,3861102,4050648,3759242,3029388,2931236,3490828,3192752,3886584,3195262,1863576,2384241,2733689,3575050,3754157,3590061,4311933,4492102,3821329,3750095,4432515,3665142,3312678,2421174,2849622,3425119
2021-11-01T03:55,2960458,2709187,3140111,3175346,3801106,4301090,4366522,2849620,3920017,2353672,3552389,3929635,3603820,4285282,3265582,3435159,3185106,4223174,5172904,3149674,3459248,3963440,2596029,2438438,2860378,4723404,2701477,3376456,4753411,2835008,4012918,4151681,4030145,3384589,3589860
2021-11-01T04:00,3772749,4795316,3738995,2733793,2886841,1854076,3572166,3538718,3234306,4341775,3362437,3774757,3965497,4443563,3504007,3745353,2926696,4875939,3304264,4423078,4777625,2362985,3025185,4327414,3217113,3878086,3951273,2020195,4652516,3868766,2746131,3589042,2852530,4373590,3306869
2021-11-01T04:05,4720961,3182694,3509237,3474155,3360203,2713475,3946321,4699259,4726190,3636130,2804039,5087176,2821295,2158854,4937573,3277853,4068431,5380000,3885265,2860718,4347447,2680964,4219895,4571436,3701188,2582245,4220483,2412407,4370297,3146595,3944596,3121711,2614710,3094192,2748295
2021-11-01T04:10,2750371,3872895,2802575,3429638,3817173,2755200,4253230,2450945,3109034,4215875,4362501,2943045,2835887,3395990,3923143,4920228,3178993,3856918,3335971,3540884,3595901,4113230,2567496,3850077,3740142,4887575,3650344,2490684,3934291,3674734,3408070,3384580,4246211,5330252,3900636
2021-11-01T04:15,3974146,4187128,3529197,2909100,2644951,3458254,3815902,3474214,5844195,4155472,3663519,3061398,4524589,4536186,2981041,3698768,4876893,4646508,3639621,4054668,2392047,4411521,3361685,4450597,3101824,3931576,3510999,3618159,2529968,4034120,2865042,4039794,2624970,2915536,3052467
2021-11-01T04:20,4258138,5001932,3411741,3177570,3774750,2766419,2946859,3907949,4062091,4635758,3244915,3806708,3072301,3918275,4326612,3904468,2559673,3418314,3633984,2782750,4628065,4015079,2960255,4912279,2987999,4317534,3720869,3602092,3684414,4809223,2454640,3695948,3607726,3066274,4447188
2021-11-01T04:25,2986649,4588606,2809007,2819258,3069199,3493310,4500041,2575106,4004147,3371246,2215470,5168060,4882669,3072260,3372607,3903426,2778843,2730933,5522829,3993082,3683834,2795272,4235032,2994072,2962135,4231562,3283929,2870017,3585493,4247453,2745474,4316526,4346585,2824395,2363638
2021-11-01T04:30,3261517,2911503,3694317,2538215,2898890,2749392,3192983,3441040,2939582,4938360,3749083,4572539,2556322,6237632,3735117,4820629,5025376,4214840,5560546,4202036,2377485,2524376,3375665,4951969,2949365,3638795,3379784,2169878,4099684,4580081,2655244,1721788,3089686,3655268,3157388
2021-11-01T04:35,3638134,4006400,4284015,2835020,3761031,2935066,3526565,3452488,5047041,4728665,3141190,2718089,3039796,3039934,3303787,4156262,3877460,2408550,3457544,3239430,3218000,4875850,3206325,3878011,3579214,3904742,5144919,3701048,3950699,4422417,3904014,3290645,2014101,3003208,4180172
2021-11-01T04:40,3128225,2397742,2888744,2568563,4260841,3679634,3478487,4813276,3580382,3209939,3108527,3110435,1922610,4366995,3519943,3046862,2963049,2830783,4666246,3043468,3839094,2982512,3589461,4153579,4342068,3122890,3789018,3628889,3341287,3761291,4195419,2968890,2494877,3100273,3876772
2021-11-01T04:45,3464145,3763000,3956584,2105297,3148582,2557684,3469646,3711409,3778550,4162592,3220334,3387260,3145625,2552059,3991106,3484422,3525141,4118007,4574782,3287290,2909519,2813084,2474078,3558318,2250503,3926893,3873026,3139781,4861195,4414194,4851502,4952256,3142791,3119116,3737361
2021-11-01T04:50,2990449,5242562,3810082,3051878,3622678,3653970,2976318,5023982,2355056,4520636,3770553,4234143,3967018,3697618,2773034,3606056,4040955,3100793,4046167,2442061,3825680,3905597,4526501,4532590,3121822,3149474,3231148,3364824,4456555,3939496,3888314,3619761,3125621,3369793,3530860
2021-11-01T04:55,3573255,4564021,3846944,4205202,4323535,2742297,5172951,3461739,3494427,4912957,3271725,3280618,3449299,3170537,3514444,3343468,3161808,3073511,3088952,3053951,4490818,4676483,3439958,3707873,2445357,3505372,2536399,4590009,3024377,4337388,3531952,3381719,2614570,3326244,3694067
2021-11-01T05:00,2382112,6137812,3863633,1960571,3638706,3260200,2738840,3081496,3189705,3017565,3428995,4280873,3012975,2760328,2914682,4823268,3227505,3484734,3387793,3655257,2346416,3400115,2924841,3195366,2531998,3752895,3514039,3129247,3016246,3028637,4187578,2617410,4809858,3777143,2778999
2021-11-01T05:05,5217069,3964077,5284724,3259573,6218171,4866142,4316809,2541901,2868238,3107435,3518663,3383451,3102700,4336704,3288709,4174610,3970289,2862818,4039591,3209409,4040391,2761088,3473130,3054354,3192206,3544724,3845945,2787673,2437864,3059285,4551972,4451245,2478505,3536716,3168381
2021-11-01T05:10,3338349,3849017,2741164,2879717,3644460,3366787,4153723,3738234,2914856,3733923,3121230,2395616,3943056,3801573,2631751,4754005,3935848,2842827,4079306,3079266,4160221,4068402,3230866,5051880,2941106,5080788,4283809,2403396,4023943,3397796,3321697,3885033,2193747,3181583,4156786
2021-11-01T05:15,2841645,4300199,2467945,2987411,4521417,2984505,2271291,3494168,2937492,3506517,3170505,3490543,3663632,4208691,2603476,3772361,4514152,4496881,4359389,4163011,3749675,2504690,4086960,2459511,3709804,3738282,3635102,2227141,3421581,4203749,4231497,4718489,3815389,4021602,3388993
2021-11-01T05:20,1717417,4282564,3222185,4027831,3753889,3696485,1846818,1831803,3303678,4635909,3571974,3957223,4457526,4682813,3254490,3442711,4583907,4541949,3206574,3049717,2618515,3319800,3915452,5135002,2216585,3954407,3819912,3839310,3917082,2466423,3702376,3378182,3482844,3633028,3280554
2021-11-01T05:25,3988389,3344716,2792683,4309292,3601502,2435206,3763621,3408715,3244713,2908661,5160758,3602117,2634083,3334623,3402460,4751069,3209327,3204816,3915248,4375933,3084354,5284883,3079582,5041424,3530754,4194703,3258923,3487584,4825978,3170579,4594670,4714825,2897226,4029215,3787147
2021-11-01T05:30,3775537,3559262,4695888,4019529,3059050,3566186,3936327,2192757,4522360,4366789,2722196,2764941,4596189,3511508,4864494,4142412,3546838,2620880,5222969,4237750,3638338,4152483,4189816,3629726,4499073,3961555,5972619,3359648,4207478,3963370,3344000,2945187,4145817,2722237,3792874
2021-11-01T05:35,5516393,4794536,3883740,4152723,3290016,2158643,3406645,3088197,2199946,4613749,2121847,4294760,4611624,4233405,3427599,3707175,3991195,4470232,3554883,4062893,2428536,3966607,3903253,4361543,3215221,2188199,2759821,4642674,3186119,3232657,4633832,3228192,2109937,3175496,4059056
2021-11-01T05:40,3842199,4784960,4132951,3260442,4110767,3701116,3647805,2792537,3494197,4743564,3213422,4090007,4702933,3110869,3417351,4276943,3072444,3766870,4246403,2616769,3364020,3998049,3756979,4477269,3627878,3722401,3233133,3913080,3119047,4955950,3721567,3838471,2432885,3576587,3752006
2021-11-01T05:45,3434906,4372970,3961166,5010169,3020669,4524933,4201300,2636319,2756459,3257699,2089114,4411985,3712542,3365511,3851413,4866980,5182490,3208112,4604465,3717157,3698658,4372243,2777029,4299050,3216729,4539888,4184938,3432563,3818389,5140588,3880917,3462217,4018886,2364566,3398894
2021-11-01T05:50,3951583,2895059,4289522,3359791,3474319,2580590,4416297,3823626,3286542,5080373,4296388,2750694,3586627,2208113,3884157,3124429,3965585,1982591,5563089,3165239,2929977,3372949,3766995,4007743,2197335,4262138,3401759,2344074,3569539,4068913,3014315,3230658,4628588,2755514,2938358
2021-11-01T05:55,3101703,4526147,4052821,3022572,3601272,3320498,3483895,3367626,4058543,4262528,4639127,3737245,3394137,1965662,4614070,3180495,3104876,5138330,5174982,2929922,4129021,2925229,4008816,3437686,3265130,3903182,3397221,3539683,3498811,5930994,4194780,5345804,3462233,2956703,3087073
2021-11-01T06:00,4741326,3838954,3816240,3988709,4745453,3911593,3823563,3261197,4453389,3522683,2706769,2781230,3599310,3481368,4801617,4445842,3154171,3996424,4163572,3472033,4166741,2949212,2545011,3722367,2677182,2552826,3577100,2684759,2720954,4019869,3367380,3569907,3579129,3352742,2702275
2021-11-01T06:05,3323305,4415815,3331616,3445740,3393948,3470450,4017806,2767900,3099131,4118900,3073219,6018159,3244452,2832069,4099210,4911554,2642751,2998134,5115461,3878371,3325453,3496667,3120080,4017857,3952943,3204743,4644116,3145742,4087423,4145411,4004615,4428056,1766956,3524420,3529975
2021-11-01T06:10,3918459,4479571,4553686,2478967,3121908,3619415,3483923,2881821,4650747,3172503,3245782,2437115,4580936,3607476,3997550,3939796,3339456,5676579,4459823,2676476,4031305,5625704,3794644,4800450,2854115,3615043,3014323,3322353,3284412,4091751,3451968,3614244,1971176,3585395,4329742
2021-11-01T06:15,4518947,4037990,3887912,3119234,4839228,3063159,5225397,4403153,3477539,4131365,3985728,3963520,3804980,3381935,4178009,3280702,4113201,4123344,4356962,4756394,3921730,3957910,1991750,2917458,2871180,4317925,3918781,4193820,3364492,3666816,2976200,4829898,3511278,2901721,4484378
2021-11-01T06:20,5174111,3768469,4026368,2765966,4602228,4283646,4822143,2881132,3917194,5382780,3750570,3930913,4503725,3165869,3255623,2833248,5250200,4533376,2745291,3992818,3834381,3782717,3431539,2855741,3132129,4882371,3086747,4419389,4612394,4271684,3477815,4003001,2895106,2515961,3250136
2021-11-01T06:25,3200613,4341107,3960213,2012065,3963668,3007912,3998733,3545102,4185934,3937255,2268290,4633092,4264434,3333846,3744861,4255018,3388776,2596951,2420159,3538147,3607487,3606236,2560212,4284220,2543430,4199461,4475865,3159125,3845248,3996628,4545219,3900412,5359716,4013165,5178638
2021-11-01T06:30,4408907,2891889,3008729,3300368,4194527,2967692,3339927,3958318,4759582,5470521,2751622,3783014,3809199,3256085,4326950,2777268,3319690,3619138,3081034,3339129,4789003,3594196,2553640,3830474,2696811,3121252,3483459,2809608,3080910,3090099,3396799,4710593,2122874,3927828,3946897
2021-11-01T06:35,2715126,3749470,3732389,2986013,5257153,3648068,4289377,1856208,3332052,5196055,4215168,3943411,4250900,3915631,4425562,3650588,3741834,3624713,3766275,3879929,4111863,3169051,2919211,3746700,4033983,4238910,3691639,3088178,3816379,3525074,2798271,3213418,2005416,4297535,2537143
2021-11-01T06:40,3030824,4670166,3470443,3395636,2447151,2323819,3251412,3897632,4596420,4524384,4061053,3334607,3737579,3080525,4109341,2722381,2878390,4514083,3935116,3636468,4824321,4525752,3967909,4705639,3754465,3508945,3743819,2505903,3071896,5293629,4260585,3755864,3701473,4079979,5041833
2021-11-01T06:45,3842421,2230900,4911246,4252544,3516126,4316138,2913171,3942764,3141606,3307184,2790664,3922249,3867970,3401929,3268453,4490218,4167909,4386668,3493002,3372132,3293953,4067177,4429186,1684481,2053019,2896213,3222388,3370064,3023421,3652044,2292613,3754598,2456740,3632561,3774159
2021-11-01T06:50,4433168,5092709,3147974,2450840,4291414,3058031,3504969,2249017,3370554,3115996,4701725,3488077,2309795,2416024,3494793,4726042,3228990,4310486,2766013,3244453,3420185,4719819,3276384,4175075,2333613,2942030,4006236,4666607,3057168,4085812,3317657,5441743,3159301,3469871,4634053
2021-11-01T06:55,3722011,3338921,4319367,3241943,3162869,2539840,3832357,2070690,3402225,3826292,2582737,4616313,3959238,3595268,3631674,3714716,2750600,3887518,3788255,2237369,2563828,2890109,2392224,5089089,1891557,2848547,3002846,4120907,5233121,5034891,4963344,2040150,2443319,2967949,4068680
2021-11-01T07:00,4438237,2896119,3213143,4441110,5405989,2798261,3430236,1738968,3127355,5883106,2274647,3505431,4056226,3416901,3702978,3685577,3370187,4577136,3793781,4393849,3594057,2954630,3572471,5307634,2836002,2500154,2701655,4493170,2640651,3418044,4496689,3597147,1950350,3979314,3352906
2021-11-01T07:05,2949890,4701878,3167240,3079526,4030711,4217018,3354209,3039681,3869406,3718980,3420972,3479003,4454310,2682341,3604799,3245669,2687565,3881861,4075841,3896687,5031762,3255208,1991272,3291814,3153150,2641274,5085026,4102266,2284213,3177444,3908538,3940651,3062571,3690309,2852798
2021-11-01T07:10,3454205,4232556,2851283,3325250,3519275,3741629,4964522,2814060,2209367,4399312,2993347,2992360,3208691,2745406,3613181,3333408,4676139,4593188,4864721,2771742,2669492,3306393,2868992,4797281,1935515,4512555,3447841,4307910,3535099,3087352,3876637,4126098,2142807,3625789,4454834
2021-11-01T07:15,3279783,4581728,4515962,3301656,4130638,3381594,3314964,4011607,4181691,3673501,2951671,3798455,4408157,4488385,3259522,4648837,4016313,2890906,4316143,3335617,2577037,4250151,3618486,4360768,2868935,3603233,1981085,2853597,3312252,4454604,4424509,3429395,3242978,2944542,4439525
2021-11-01T07:20,3508323,3471675,4500461,4329509,3823324,3916869,2168636,2846135,3417389,3442802,3634217,3355525,5721441,2479805,2279955,3667014,3401966,2818600,5512438,3729489,4091228,3766669,2024579,4044442,3356701,3489662,2907812,3916156,4175812,4682462,3331832,2284295,3848583,2598582,3486383
2021-11-01T07:25,3882586,3399364,2401669,3161566,2940216,2395539,2448173,3379392,3743429,3678962,3123845,3474314,2533221,3793686,2731001,3708223,3137849,4219240,4693328,3505885,4698393,4464329,3533925,3911933,3081968,4095314,4587578,3777822,3854479,5346739,4558593,3438350,4032192,3837216,3074144
2021-11-01T07:30,3702199,3802121,4020433,4235669,3763899,3153857,5372114,2596816,3568971,3228255,2186188,3021350,2829415,4144573,3917237,3850354,4008151,4794624,3313010,3556286,4153010,3481391,3778800,2899926,1291902,2906281,2485337,2546551,3889370,3735444,3782469,4976683,2828167,3431608,3954901
