mtime,AL,CX,DH,DW,ER,FI,FS,GP,GX,HM,KL,KT,MU,OS,PV,PX,PZ,RW,V,WY
2021-11-01T01:00,2470338,1635386,2436956,4347306,2240243,1642924,3475924,2046129,1603228,2514953,2695647,1691938,2461469,1645661,2537624,3893761,3177557,2331000,2204414,3019893
2021-11-01T01:05,1980814,3144070,3042222,2861146,5086476,3391797,2031153,2631492,2615976,2205884,3146569,2849510,3596737,2310305,2125412,3653429,2897044,3587509,3089953,2246727
2021-11-01T01:10,2081463,2267968,2418501,3099669,2547788,2960149,2940889,2798790,2369168,1552917,2700848,2136789,2262377,1750648,1852952,2824620,2021612,2668333,3311650,2338130
2021-11-01T01:15,3530546,3272927,1507897,2773627,2113346,3684780,3000517,2186947,2759189,2520082,2203803,2130124,2932636,2626210,2131770,2873307,2133932,1815911,2637866,3530561
2021-11-01T01:20,2405041,2384774,2441005,2084142,3062330,2827970,1637660,1751497,2811591,2720208,3067049,2241460,2537426,1739919,3574811,2819545,2711013,2039290,2031115,2745745
2021-11-01T01:25,2135365,2864585,1652222,2473799,4498493,2216758,3424408,2031672,3299783,2114378,2813408,2842639,2723014,2352417,1774961,2217592,2841948,2559764,2848568,3240662
2021-11-01T01:30,3373142,2941129,3294983,1852964,3292706,2294438,3236992,1570658,2071296,2676203,2275137,2961154,3102746,2674907,3654777,2444559,2289710,3261789,2215207,3208518
2021-11-01T01:35,2316665,2729176,2035754,2770104,2936244,3427286,2560180,2392857,2334525,2873040,3167596,4209987,2349590,3561469,2206756,3093234,2187557,2646030,2699530,2720710
2021-11-01T01:40,2145233,2948752,1649339,3314926,2766932,2222531,2869453,2327776,3262295,2241808,2627090,2396647,3046228,2247607,2427648,3442247,2487117,2296959,2946922,3295469
2021-11-01T01:45,2604750,2883964,1370395,2263019,2233268,3216265,2373506,1999573,2122393,2163102,3373954,1978131,2480160,2830399,4287833,2770186,2135089,3837966,2785038,2458700
2021-11-01T01:50,2712222,2963921,2771618,3119645,2821472,2754643,2001240,2016543,3260576,2794327,2875404,2774925,3323451,2597428,2718312,1289142,2708146,2301842,2313245,4219945
2021-11-01T01:55,2663583,1211830,977449,2682988,2329593,1993999,1996392,1474639,3539870,2737694,3163260,2918669,2084572,3136317,2694555,3188944,2476764,3725892,2227356,3617877
2021-11-01T02:00,1343626,2182975,2578850,2436626,2964502,3420915,2163575,1515201,3436370,2109373,2909181,1534506,4121240,3471984,2228547,3056012,3223246,3478245,3707423,2300914
2021-11-01T02:05,2157213,2104657,2515244,2208705,4054784,2813232,2777258,2563159,2798010,3157528,1811943,2710715,3163613,1477659,2745043,2508078,2183179,2637773,3261644,2573466
2021-11-01T02:10,3186830,2148469,2376777,2420908,3276653,3790200,2417123,1980340,2059004,2605725,2814809,3410613,3567986,2364119,3000793,2613491,2892813,3163096,2373427,2496514
2021-11-01T02:15,2465215,3384738,1821542,1651321,2881062,2773157,2879093,1255789,1803838,3573058,2847565,3402807,3023486,2206300,2549201,3071584,3722794,3279521,3013351,3577706
2021-11-01T02:20,1861086,2680129,1749981,2036548,3463858,3553643,2092029,2180095,1945327,2754911,2975525,3673204,3078081,2125917,3334320,3940414,2796328,2874533,2712056,2558556
2021-11-01T02:25,2391342,3016658,3559584,1746981,5173708,2540484,2293434,1372648,2692343,2100797,3531594,3417086,2810553,2491416,1137941,2317642,2205236,2928424,4123458,3957587
2021-11-01T02:30,3674429,2684954,2233441,2887907,3020392,2404230,2204155,1612331,2786702,3343714,3450999,2186368,3562536,2067550,2878828,2307857,1953853,2032799,3657005,3225842
2021-11-01T02:35,3272825,2093794,1686959,2650785,3344976,2774113,3264307,1459998,3150067,2117126,3646188,2131136,4660855,1741252,1764416,3585062,3256286,3308237,3388167,3081899
2021-11-01T02:40,2193498,2215713,1470784,2423071,3819278,3651871,2158283,2065983,2644185,2090002,3851865,1654254,2230949,1493758,3085033,3229931,2137512,2921629,3036499,3619916
2021-11-01T02:45,2215505,2991197,2632220,2034716,4468336,3467743,2704932,2938367,3813073,2334874,2798926,2545502,3531273,1833086,2982593,3450158,1787083,2549972,2602324,3406455
2021-11-01T02:50,1159097,2547566,1330497,2428086,4052899,3302175,4073367,721726,2324434,3189560,2471610,1852396,2801011,1825157,2783674,3135457,2178815,4230543,1566742,4032451
2021-11-01T02:55,2897448,3444523,2315607,2233508,2863964,1918629,3214720,2579819,2122463,2810818,3569780,3381607,3585203,2054736,4041540,4220532,2572438,2495445,2857529,3645618
2021-11-01T03:00,2079482,782938,1916174,3498502,1768261,3690202,2227928,2635907,2884172,2769020,3425081,3667748,3717337,2412793,2817554,4086444,2468564,2941908,2286307,1892485
2021-11-01T03:05,963479,2441753,2056800,2524560,2831716,3135981,2207008,1394720,2155622,2351547,4147494,2843253,3476656,2339807,2568267,1741546,2379974,2754181,3028733,3627305
2021-11-01T03:10,2541430,2547350,1884257,2232144,3386358,2902519,2905929,1917164,2275234,2847210,2767849,2028515,1837307,2667970,1978665,3505780,3040493,2430586,2685122,3545138
2021-11-01T03:15,2842730,2284746,1694739,2948950,3532692,3103570,2583749,2394267,2889913,2919459,2541155,2708450,2257517,4227656,4167109,3859315,1438904,3033207,2929707,3245530
2021-11-01T03:20,2880796,2051791,1555650,2165619,3446820,3219834,2851962,1539197,3119393,2701068,1935183,2795260,2032362,2450296,2253624,3125530,2682029,2203607,1698581,2922804
2021-11-01T03:25,3175035,1776759,1522660,4103322,2776610,2454245,3300720,2260579,2011537,1674368,2977705,3722313,2845341,2830656,2459366,3815339,2991445,1955203,2799164,3387504
2021-11-01T03:30,2215668,2490273,2350050,3306010,3844307,2742094,2619420,1483086,3062314,2184576,3242152,2064108,2062495,1985716,2773089,3395935,1800614,3008256,2782571,2921989
2021-11-01T03:35,2972142,1853335,2334029,2848476,3772553,2810914,2325741,960357,2929785,2057123,2715698,4025747,2521513,2622740,3032124,2855088,2963277,2435048,2504150,3769174
2021-11-01T03:40,3062716,2520241,2134863,3389788,3496689,2799929,2823999,1270183,1738308,2330730,3583360,1666431,2916292,3806199,2108584,2382544,2489344,2633250,2346607,2577975
2021-11-01T03:45,2847951,2884915,3449166,2743814,4167340,3606517,4174378,2495533,2696794,1928864,2680915,2894383,3377048,2680295,2454062,2389160,3962053,3207646,2637321,2343140
2021-11-01T03:50,2326174,3693892,1655548,3579220,3072035,2430679,3876047,1587350,1668429,1975363,3930026,3223129,2018010,1920426,2229496,3842598,2562047,2519047,1776088,2876962
2021-11-01T03:55,2882256,2812533,1363265,3468281,4089426,2338062,2985232,1865014,2801690,3565929,2393044,3166679,2895606,2656792,2933814,3006719,2813029,1980931,2452664,2738961
2021-11-01T04:00,1706595,3320588,2911145,2256444,1656742,3677864,2164029,2448750,2026713,1990203,2831917,3330283,3265042,3695274,1980688,2693876,3048088,2992627,3710114,4421283
2021-11-01T04:05,1806762,2515393,1923129,3330633,3313367,2995073,2573198,1140300,1848673,2743165,3380530,2649465,2641778,3519083,3158263,3175272,2086439,2657202,2928862,2192289
2021-11-01T04:10,2114870,2084704,3523297,2001164,4024085,2022308,2385462,2510000,2279340,2897732,2179996,2635850,2460258,3121106,2898055,3336202,2178405,2413482,2711020,4009491
2021-11-01T04:15,2589704,1617428,2274387,2270955,2837434,2711433,2833429,1871269,2801086,1813678,2359010,3144704,3253008,3307880,2557329,3663697,2446963,2894747,3594791,3544145
2021-11-01T04:20,2398840,3147985,1623566,1758324,2288273,4682269,2992433,2046352,3302441,1851495,2306701,2589221,2979519,2885400,1961120,3990517,1116763,2467109,2337000,3266256
2021-11-01T04:25,2564688,2299391,2099219,2531097,2517657,3527649,2233186,1922673,2985525,2415197,3326700,1970558,3470437,2311279,2330733,3715466,2723360,2817342,2824404,2568733
2021-11-01T04:30,2025103,2050474,2476798,2344550,2980862,2308598,1847967,2724580,2929048,1486517,3237964,2218217,3092064,1922239,2643769,4125941,2671934,2395426,3170630,2990275
2021-11-01T04:35,2554268,2079060,2567759,2376534,3310702,4018265,3188855,2461406,2185418,2457285,3398820,2717960,2063589,2337839,2792907,3303178,1629694,2253335,4486903,3241024
2021-11-01T04:40,2316987,1840345,1508384,2068579,2506044,1307595,1828318,1423420,2132231,2495418,3314676,2112104,3040354,2657576,2280215,3610545,3149280,2313431,3355004,2046622
2021-11-01T04:45,3665727,2212189,2909978,2680570,3038516,3376634,2470171,1240018,2370153,1617327,2809179,1421098,2383770,2467253,3355706,1853738,2700799,3733886,2712339,2976179
2021-11-01T04:50,1871186,1859692,2753327,2210961,3606947,2802257,3225914,1931879,1917116,3108560,2642616,3436390,3044484,2520147,2713740,3095408,2315876,2860309,1742028,2642466
2021-11-01T04:55,2758815,1877396,2936101,710834,3362238,1634027,4554847,1827962,3668988,2357452,3745949,3180831,2689580,2476508,2290953,3185222,2204859,3111416,3570176,2485865
2021-11-01T05:00,2049893,2334095,1661152,3241422,2595461,3266969,1776607,1108342,2760900,1751833,2892122,1868360,2488755,1483198,3753972,3191618,2140290,3325280,2720732,1774877
2021-11-01T05:05,2114935,2986652,2000460,2473615,1739098,3299824,2400330,2419404,2823001,1049382,3789918,2313110,2968078,2845026,4077728,3669482,2726317,3263629,3636814,3355810
2021-11-01T05:10,2334822,2439999,2495099,2736283,2443792,3430829,2963634,1769006,3419574,2625639,4150742,1833625,3645908,2758592,2243905,3248176,2391744,3646154,3470694,3331666
2021-11-01T05:15,2716081,2043487,2241665,3405369,4409614,4245065,1788985,1646071,1716044,1732444,1311093,2468336,2679774,2751926,3600497,2656198,2715102,3831175,3053825,3039051
2021-11-01T05:20,2271517,2145625,2401098,1502892,2638288,3962528,3117363,1603293,1608013,1436178,2912279,3239518,3030770,2805745,3123615,2380608,3688898,2672294,3107053,2339014
2021-11-01T05:25,2718954,2135105,2419927,2716885,3161452,3793332,2713171,1813507,1408119,2625745,3929156,2305714,2765588,2964822,2890132,3964402,3562422,3720451,2344621,3031931
2021-11-01T05:30,2858842,1612212,2705166,3162208,2144699,3076958,2775823,1371835,3160836,2794817,3025569,3741668,2054327,3389157,2452419,4051717,2844026,2992462,5202347,2604515
2021-11-01T05:35,2287019,2723597,2618909,2374687,3392486,2725164,2564275,1678729,2043950,1594373,2567997,2459115,2433814,2811557,2584684,3476207,3002346,2473818,3332592,2506983
2021-11-01T05:40,2710780,1261561,2161123,2110152,3445944,1971995,3058206,1786830,3349275,2584873,4397491,2248457,2767379,3107809,3350895,3564843,2228809,2774406,3053444,3060325
2021-11-01T05:45,2198786,2296228,2583760,3038628,3079717,2523475,3436085,2120829,2266304,2162343,3170508,3431991,3667252,3379912,4234286,3679437,3980437,3215454,2963889,2734829
2021-11-01T05:50,3755896,1561385,2252190,2150014,2963526,2403673,2559810,1798893,1260511,3892185,2740369,1859140,2790644,2318244,3267284,3728219,2440912,4064267,3355160,2083210
2021-11-01T05:55,2568498,1614418,2098280,2973262,3865987,1855537,2032110,2243435,1543205,1955083,3392941,1229732,3274007,3021158,3169257,3013867,3928174,1814135,3121875,3267832
2021-11-01T06:00,2913154,1065325,2527155,3604894,2496852,4527490,2883288,1518730,1722446,2194170,2906015,2973341,2582073,1326092,2655569,4160032,2437257,2306618,2680137,3939976
2021-11-01T06:05,2564533,2575055,2228905,3884786,3747178,2651045,2651412,2427414,1681154,3736730,3319203,3246317,2944784,3023570,3124100,2901834,1979946,1844759,3414832,2221686
2021-11-01T06:10,2439230,2661692,1621300,3847561,3317207,2477685,1969621,1679917,3086047,2053544,2187971,2598423,3416196,1828152,2142538,3045987,3659306,2704619,2375994,2565336
2021-11-01T06:15,3058670,1817419,2409026,2877809,1712686,3691552,2219800,1753301,2749807,2400873,2657626,1911269,2833301,3147009,3303358,2304315,2351493,2551454,2798741,2722637
2021-11-01T06:20,1552682,2570499,2053980,1837274,3564237,2748459,2528052,1897174,2601937,2749476,2901863,2980549,4200676,2598794,2020683,2335108,2314580,2079942,3167773,3334055
2021-11-01T06:25,2470038,3088327,2510345,2239942,3225948,4013720,2714702,2083482,4361440,2539733,2766751,2445099,3369447,1381660,2692010,2719373,1921225,3151824,2478951,2589666
2021-11-01T06:30,3445146,2329029,1543964,1658327,4337930,2907242,2255635,2049582,2181896,2599184,2015080,3168677,2166326,2476002,2094392,4385228,2350998,4165871,3054257,2197936
2021-11-01T06:35,2144904,2155322,1383684,2773353,3361087,2797524,1990338,2590740,2016125,2243769,2963456,2871190,2376201,2547230,3267010,2746337,3242761,1955702,3505731,3023381
2021-11-01T06:40,2373128,1874640,2031910,2845694,3123439,4860088,2688479,2156339,2783307,2734060,2688918,3113903,3064450,2681585,2680895,2835317,2136643,2633278,2302746,2974457
2021-11-01T06:45,2969887,1331428,1362424,2168096,3771239,2584942,3242723,2793172,1629786,2665123,3499889,2870346,2782950,3060404,2110007,2961045,3213707,3064475,2828109,2701459
2021-11-01T06:50,3420032,2918143,2768521,3119003,4488368,2538103,3161753,2318035,2319024,2813912,3461722,2502856,2166932,2088916,3336795,2342641,2944104,2860681,3706320,3451270
2021-11-01T06:55,3351878,1581170,2636003,2742505,3650640,4445433,2113168,2709593,3040181,2627842,3509313,2962452,2795558,2476684,2486704,3833735,3991778,2297620,2990565,2979684
2021-11-01T07:00,1801226,1928837,1916769,3516763,3764661,2722937,3231251,1792705,2296878,2808712,3828015,2648502,3259059,2652178,2249493,4975594,2085025,2285506,3100461,3208209
2021-11-01T07:05,2938769,2213750,2489117,1806942,4256391,2186641,2394050,1304267,3190909,1862367,4103277,2014380,5037150,3338563,2225559,4518069,3872810,2351048,4264775,3530083
2021-11-01T07:10,3234628,2497317,2802085,2383635,3068392,3047101,3870338,1969556,2918150,2362988,3206226,3160572,2268253,2764281,1918854,2759666,2883541,2325995,2404848,2200020
2021-11-01T07:15,2634807,3248955,2177012,2769353,3534325,2039133,2362569,2260739,2839736,3821421,4012095,2780155,3709198,3697722,2575744,2560584,4246153,3660055,3030966,2945497
2021-11-01T07:20,2507223,1604223,1405885,2442450,4309237,2631209,2932269,2454809,3670745,1432840,2854179,3463971,3642118,2201403,2568067,4531731,2280559,2496852,2982737,2962936
2021-11-01T07:25,4025818,2534493,2640600,2601687,3905759,3171901,2196059,1818991,2355082,1684890,2987254,3377466,2962904,2301767,3111845,2881314,2402508,2675963,2840191,1979084
2021-11-01T07:30,2909895,2145370,2272078,2313685,2731498,3516873,2265101,1841568,2326143,2763443,3722704,2615154,3532844,2889477,1641350,3137906,2700786,2412917,2467301,4460576
2021-11-01T07:35,2780442,2349644,2033593,2519489,3996386,3733437,2044682,1640740,3408787,2269517,2330837,2040314,2781521,1877159,2704084,2729032,3358037,2725249,2463163,2409918
2021-11-01T07:40,3903162,2530330,2386546,2563763,3218431,2828946,2971268,1943534,2131792,2373591,2723055,2179038,1994787,1785953,2642906,4317739,2404898,3743590,1744135,2196182
2021-11-01T07:45,2856809,2708082,3132327,3120736,2507913,3636341,1627341,2356512,2871276,2567020,2373370,2820493,1820402,2548400,2553100,3256921,2692241,3165855,3358755,2468461
2021-11-01T07:50,2744495,3250483,1829096,2723550,2263715,3725024,2137187,1135529,3358888,1770270,2934063,3205183,2864806,3050222,2502643,4038154,2519264,2418843,3725318,2589697
2021-11-01T07:55,2363148,1467294,2146564,2321414,4276839,3377745,2534005,2353503,2292902,2801661,2984991,2211047,2819527,3294584,2962408,3056717,2927650,3062172,3132022,2600288
2021-11-01T08:00,2427054,1176811,2325903,2024665,3103046,3964772,2447736,2782653,1727787,2678815,3898164,3193701,2712200,1915118,3533652,2686050,3005064,3343761,2363552,3324705
2021-11-01T08:05,2542065,3024675,1511230,1610633,2980651,2695863,2526387,2046859,2467468,2145173,2081375,2442736,3692038,2540833,3182402,1537186,3025933,3100264,1948200,3056702
2021-11-01T08:10,2159946,2661603,2821627,1976149,3442648,3706510,3123252,2580962,2770561,2515449,3386221,2175675,1918616,3248741,2871509,3463711,2376122,2995661,3161757,2245879
2021-11-01T08:15,2348750,2249138,897619,3042726,2968670,3648878,2513777,2558592,1428564,2183658,3694676,2822402,2840720,2450253,3188119,3205263,1501877,2860018,3868830,3112316
2021-11-01T08:20,2944832,3109137,2070887,3037966,3020480,2546787,2870947,2011088,2586093,2245054,3244303,1670286,3594547,4041522,2144392,3180825,1985555,1798457,3642283,3681144
2021-11-01T08:25,2657566,1891522,993450,2878770,3407811,3151017,1531877,1352951,3709396,2579070,3442062,2702040,3099491,2703003,2775899,2253019,3599920,1745711,1929232,2573972
2021-11-01T08:30,1921019,1446218,1874087,2039761,3248333,3591303,3036831,2111226,1792781,1965120,3501497,3466220,2184498,1822684,2828702,3643299,2695815,2981288,2546544,2604538
2021-11-01T08:35,3057549,2077498,3286892,2329497,1927454,2980093,2408312,1448852,2832418,2764832,1995054,2681654,3519552,2809435,3538118,2624770,3340016,4666093,4831824,3022534
2021-11-01T08:40,2229261,2543434,2278767,2736604,4416852,2596050,1948993,1792825,3596374,1462224,2230394,3222715,2824111,2267847,2418818,3232982,2807381,2860243,2963089,3053161
2021-11-01T08:45,3462273,3737895,2407948,2875488,3755891,2683112,2986466,1980790,2603686,3581400,2308471,2744428,3008055,2679783,2554809,2565027,2391144,1186459,2175038,2172402
2021-11-01T08:50,1865792,2288577,2195102,2557039,3522881,2787565,3045586,1624831,2868652,2180192,2836291,2194726,4473254,1555868,2194588,4937183,2037240,1667065,3745524,2835283
2021-11-01T08:55,2267182,1805149,2630904,4006882,4148743,2588473,3022116,1228162,2757604,2578439,3186471,3554136,2513133,1360656,3027544,3452768,2491487,3115812,3744852,2015353
2021-11-01T09:00,2182403,3264167,1924541,2905906,3178664,5274078,2500497,2884089,2465929,944318,2228792,4172607,2732302,3475764,2811787,4087978,2884398,2276364,2331350,2107989
2021-11-01T09:05,2079014,1977317,1956195,2164149,3825784,2802231,1918758,1714809,2454052,2865652,3698820,3107081,2082014,3131938,1935729,3083101,3774285,2109642,2809383,2970978
2021-11-01T09:10,3126334,1827915,2148041,2236877,4142445,1724480,1842765,1898531,1985644,2728190,3170549,3790554,2509584,2421678,2180575,4011058,3481770,2390913,3108197,2957519
2021-11-01T09:15,2415840,2117629,2284631,2719424,2694734,3083747,3006096,1809430,3698611,1545487,3319518,2566738,2193017,1832009,1946449,3964606,2640328,3188415,3265195,2672355
2021-11-01T09:20,3267585,2292278,2000968,1364935,2763033,2470989,2573137,1342892,2393711,3036724,1608561,2413574,2287937,2634243,2558472,3671858,1497605,2940681,1804545,1666273
2021-11-01T09:25,2022091,1994415,2530929,2027770,2998663,2310127,2853048,2537144,1679741,2485695,3565607,2883535,2894145,2070585,2755311,4722032,2817529,2466032,1751750,2624291
2021-11-01T09:30,2684993,1586279,2790660,2811310,3106178,3331386,1494904,2177834,2186503,2069337,2777931,2010397,3640834,3803041,3472416,2289613,2048001,2573762,2640022,1943315
2021-11-01T09:35,2267912,2511722,2812416,2569212,3040469,3148357,2076332,1971666,3689101,2342018,2871592,2862537,1893524,2603666,2419167,2899693,2681778,1803098,3420988,2260867
2021-11-01T09:40,1648140,3782901,2788856,2358154,2677136,2790231,3554338,1783426,2507242,1524719,2782582,2834581,3692788,2042026,2743382,3945800,2327261,2841120,3032254,4798061
2021-11-01T09:45,1780642,2002126,2036393,2273627,4203990,2921031,2661627,1222421,1460787,2654201,3098534,2031815,2488687,1146551,1531943,3193531,2353254,2659751,2948433,2707108
2021-11-01T09:50,2997374,2589585,2992440,2400913,3571989,1739736,1536882,1489775,732672,2833209,4084511,3860171,3086133,3159327,2365691,4277049,2069766,2434657,2746695,3177005
2021-11-01T09:55,2205049,1617873,2245238,2791804,4159081,3120199,3116048,3227467,2020963,1331797,2518357,3136123,2856115,1626520,2721976,2705732,2545062,2463938,3773313,2410419
2021-11-01T10:00,3600017,2126232,2045631,2734065,3718478,2753191,2766997,1969209,2440355,1606818,3065974,3175272,2887571,1709611,2677352,2460840,2030947,3576054,3098237,3314098
2021-11-01T10:05,1950644,2772763,1554183,3546842,3048757,2772178,3214210,1249231,2787584,2156846,3103161,2378092,3848481,1688431,3275949,2343121,2706295,1791167,3086229,2804410
2021-11-01T10:10,3240280,2606660,1311917,2700769,2356198,2387707,3858494,1910234,1774618,3028616,2770013,2929152,2442143,2622996,3565658,3856545,2697809,1501957,2506799,3752748
2021-11-01T10:15,2635383,2787747,2625892,2045186,3778687,2622943,1692636,1454706,1502590,2053257,2826297,2569039,3072361,1575764,2736539,1630873,1639072,2854609,2559222,2320410
2021-11-01T10:20,3010873,2230851,2034164,4455978,4511652,3241874,2726798,2698044,2836750,2121382,2432694,2559956,1737873,2616573,3041289,2826875,1866682,2870995,1805074,2781528
2021-11-01T10:25,3161327,1923620,1531005,1909219,3566006,2844322,2367190,1901816,3651745,2512124,2852088,2477484,2439814,2853751,1743577,2140497,2702465,2051452,3171623,2474748
2021-11-01T10:30,2717318,2387371,2115804,1936495,2560512,3493937,2599939,1597212,3119482,3073551,4933058,2617629,2567991,1766222,3743236,2800552,2697089,2274341,2527331,3543039
2021-11-01T10:35,1368584,2557530,1982223,3643788,2988560,3198139,2695065,1628301,2017060,775978,3755824,2669298,2963088,1913531,2535201,3989091,2893273,2483124,1756141,3219896
2021-11-01T10:40,2102176,2459501,3044165,2995302,2243016,3051831,2717108,3045747,2455938,2877212,2883945,2468969,1746587,2444174,2643228,2766913,1813704,3338710,4209592,1644958
2021-11-01T10:45,3521613,2952169,2281372,2551545,4358034,3014711,2938507,2272033,1670520,3544911,3027848,2816816,2997643,2066796,2018829,3859782,2007082,2568125,3415950,1782610
2021-11-01T10:50,1911560,1912658,2487974,2718563,2715967,1969383,2879471,1202852,1648465,2087376,5601169,3782783,3123280,3656915,1862108,3159150,3393599,4079847,2941801,3307243
2021-11-01T10:55,2483149,2335082,3689015,1345892,2340986,3681787,3511138,1253807,2492221,2636445,3654013,2734338,2894807,1837370,3301924,2760735,3165725,2503025,4187826,3826060
2021-11-01T11:00,3379504,1931740,3134931,2332815,3679855,2256757,2025961,2068721,2533150,1640225,2494601,2579079,3521329,2257399,2985755,2509521,2913975,2781859,2782087,1837947
2021-11-01T11:05,2616878,2902330,2202184,2580608,2746458,3217768,3193139,2302952,2261878,2768639,4158991,2269772,3991485,2739076,1597460,3843327,2574048,2632727,4043362,1999429
2021-11-01T11:10,2168973,2477796,2291075,3556190,3303174,3382379,3606953,2045624,3263388,2440348,2759470,3065538,3841453,3626290,2921600,2817037,2956761,2740383,1776682,2153915
2021-11-01T11:15,1526015,2891063,1952812,2711672,2895722,3757661,1440291,1727681,2110063,2155962,3172526,3644678,2431215,2689224,1313853,3225687,2693678,2331477,3494296,2444324
2021-11-01T11:20,2632482,1719662,2403037,2644752,2608572,2604852,2592464,2493545,2710119,3403618,3438834,2487185,2498128,2887591,2304411,2238412,1968002,2276242,2461420,2597244
2021-11-01T11:25,1336187,2914720,2575038,2249645,2839028,2246568,2525891,1890325,2532260,2386033,2732127,1897433,1932780,1860166,2936797,3552692,3106215,2422324,2027107,3541422
2021-11-01T11:30,1670052,1759660,1822807,3686972,3245107,2278539,1803062,2052494,2442444,3516561,3139770,2243806,1853753,1483308,2965156,3278392,3410772,1432185,3111946,2207708
2021-11-01T11:35,2924631,1992770,1877244,2233157,3257062,2407089,2210398,1200694,1653296,1873450,3615535,2252880,2535999,2972663,2807976,3730207,1947908,3831888,4536586,2909953
2021-11-01T11:40,3472292,1935426,2085974,3134889,3695518,3691971,2145499,2474872,2906342,2417134,2723743,3348056,2795868,2766097,2737665,2330651,3126192,3300746,2283865,1559525
2021-11-01T11:45,3312830,3339470,1898871,3187822,3988423,2577061,1973524,1720401,2818076,1400651,2662735,2467497,1954821,2654674,3976984,1763092,2184619,2227168,2804880,4137376
2021-11-01T11:50,3085163,2864250,1975987,1664103,3061941,3264005,2246378,2125866,3447197,2163658,3479938,2907208,3461247,2296717,940858,2889809,2386138,2608467,2664811,2197635
2021-11-01T11:55,2026548,2178238,1865504,2524419,3524612,4675162,2121068,1892408,2520477,2488012,2884371,2708372,2951662,1682041,2484324,4021494,2927821,3586980,3204490,2677329
2021-11-01T12:00,2484464,2618847,2770253,2314645,4331580,2184687,2408106,1149815,2473452,2339617,3172022,3621109,3869087,4207056,3952208,3554860,3786584,2266153,3206563,2494915
2021-11-01T12:05,2405938,2271333,2020278,1955071,3721985,1824030,2561372,1086599,3654392,1989153,2719287,3461209,3004387,2537171,1829938,2771964,1553748,3603005,2877181,3483486
2021-11-01T12:10,2027040,1975902,3549424,2772837,2582194,3445810,2327908,1640321,3600372,2197337,2328475,2060808,3632886,2062723,1808023,3490970,2715317,2730574,3254538,3003489
2021-11-01T12:15,2733137,1066696,3255185,2928299,3385853,3095518,1846774,1583164,2754792,1715398,1682688,1480263,2577055,2027406,3564484,3246198,2572375,2428993,2712134,2361547
2021-11-01T12:20,3844944,1415985,2307254,2299541,3185220,3086809,4267084,1532233,3544965,3252264,2777539,2765062,2307990,1539465,1701987,3394161,2101997,3128647,3338954,1927104
2021-11-01T12:25,2397211,1596723,3101042,3426758,3223202,3672995,1965107,1673716,1565339,2194643,4170722,3184355,2870480,1903088,2918411,2753361,2177488,2332276,1710088,3265415
2021-11-01T12:30,1478529,2489169,2889659,3334536,2420834,2854280,2624437,2297452,3602525,2186568,3319994,2439423,3084237,1861977,3523905,4343469,3110633,2669223,3916151,3162315
2021-11-01T12:35,2317022,1859226,1663130,3011661,3746537,1897588,2308426,1882931,3348921,2293689,2446996,1841469,3754142,1497875,1891793,3143684,2237135,3598378,3486809,2131114
