site_name,AC,AT,B,BJ,CM,EJ,EZ,FO,FX,GS,HP,IT,JO,KY,NX,PU,PX,S,TU,UY
l9,306,313,329,378,300,334,342,281,324,303,302,305,345,317,306,393,282,332,363,401
m1,275,290,302,352,363,329,381,323,302,289,336,215,274,369,296,345,387,351,328,312
m4,331,302,228,298,328,329,321,246,388,433,265,331,269,362,343,317,305,346,320,304
mq,292,223,321,312,342,381,358,353,287,298,292,344,373,481,367,288,367,310,362,315
nw,242,318,299,315,421,305,302,335,265,361,247,364,291,328,307,260,286,357,356,269
p7,325,337,345,346,350,317,352,313,352,343,319,324,313,362,399,396,328,275,221,321
pu,404,399,294,215,191,287,262,334,411,349,323,325,340,354,171,387,396,245,402,332
pw,373,361,209,329,370,313,340,276,269,243,372,287,256,327,327,346,389,299,321,271
r1,296,363,375,325,285,405,255,354,390,311,320,281,346,199,243,333,399,461,270,278
rz,299,388,275,279,295,362,265,314,334,360,376,289,307,299,364,367,303,293,231,367
ty,387,331,247,288,405,402,392,309,324,298,257,374,306,338,303,253,388,447,303,321
uw,285,295,321,354,341,285,287,271,343,296,225,295,285,298,364,341,383,353,378,328
ux,321,362,236,348,306,239,337,296,397,341,312,381,311,349,308,288,348,306,300,335
vx,337,277,338,433,381,311,295,323,202,340,327,271,313,242,306,408,373,291,255,287
vy,336,255,294,353,409,291,336,302,266,258,337,277,326,301,318,286,302,242,298,304
x6,349,327,299,302,390,328,302,381,335,328,364,210,422,392,403,423,309,272,325,326
z6,456,373,274,365,327,380,314,381,344,349,408,387,341,280,315,374,371,404,296,387
