mtime,AG,AH,AK,BR,BY,DG,DK,DZ,FH,FX,G,GR,GX,HI,HP,HQ,JN,JW,LQ,LR,MR,MV,OR,OT,OW,PS,PV,QZ,S,SZ,TW,UV,UX,UY,WY
2021-11-01T01:15,5037100,3363238,2762365,2869315,4713406,2819776,4591795,4265112,4959094,4006808,3688281,2945721,3620360,2879608,5073930,4324208,4911087,4251512,3744656,3363781,6080802,3963049,2902700,1935919,2897167,3492054,4412661,4361771,4128620,2613442,4001210,2439418,3038447,4346337,3564149
2021-11-01T01:20,4805127,4020647,4854628,2506924,3422089,2395317,3409139,5094763,4980888,2654084,3280967,3263855,5526760,2943402,3323920,2457336,3408480,3680446,2888936,3472125,2652959,4504279,2281366,3567824,4631273,5216166,3255673,2997103,4051582,3291172,4481948,4368492,3659863,3639654,2788216
2021-11-01T01:25,4620692,3203438,3285552,3077024,5457559,3748917,4452362,4735003,5027363,4201342,4210355,4362481,3041020,4500487,4407169,5452604,3308552,4636732,3339728,2929686,3625555,3464159,2874197,3774057,4570632,4604263,4240380,2710928,3951620,4069524,3796685,4754662,2959041,3781341,3561578
2021-11-01T01:30,4362542,3549584,3428470,2572532,2587389,3829773,3337880,4612928,3195845,2721260,4948124,3167093,3773753,2983215,3936984,3891509,3370315,4484109,2827265,3023515,3276803,4649711,2157215,3438442,3409375,3399768,4962929,3228938,2980529,4088161,4542072,2584713,2196139,4611908,4499797
2021-11-01T01:35,4642588,3021854,3668185,3111201,3288412,1940809,4207433,5106490,4507566,3816847,4055263,4821524,3263101,3780040,4984668,4180648,3746809,4238254,3712631,3373043,2977966,3772892,3976895,3409635,4148313,4493514,4199787,2661000,3932373,3694653,2810174,2681411,5544166,3786616,4298950
2021-11-01T01:40,5184564,3724506,2385420,3110474,3359011,2206388,5325900,4629218,3714378,3387991,5227798,4751634,4842390,5200807,4005421,3586727,4721431,3365135,4563475,3284294,3777641,3630956,1926933,3350924,2944117,2584767,3470264,4140200,3348933,1969967,3606000,3298970,4099980,3402048,3369565
2021-11-01T01:45,4149438,2897182,2571777,2801201,3392883,2839327,4325789,3900153,4029191,4157270,5026956,3637379,4044852,2932385,4278088,4156428,2624807,5519227,3627397,2451098,3607064,3325157,4317565,3312058,3663265,2407872,5498045,2716271,3506807,2497452,4407979,3249681,3944486,4150275,2803199
2021-11-01T01:50,4071263,3549016,3459942,4365984,3335301,855743,2876707,3403957,3156777,3640389,3838132,4245442,4150831,2930575,3601634,3551740,4377726,3878668,3442313,3195115,3640453,4111931,3195656,3349253,3979664,2642124,4234600,2165534,2833719,2138078,5155287,2888601,2957823,3837703,3265186
2021-11-01T01:55,4435027,3642211,3982084,2004616,2542420,3139872,4942081,3729161,3719319,3493716,3456434,3944124,4316631,3898599,4357861,3399681,5278747,2415468,4124067,3892635,3135267,4777578,3575748,3172411,3193516,4475260,4330556,1887228,2953244,2742632,4141318,4673090,4229310,3713258,3931626
2021-11-01T02:00,5240369,3232212,3930638,3232079,2794122,2976876,5090722,3034157,2881991,3760051,3386005,3575367,3554663,3655893,3473261,4066929,4239387,4274890,4567759,3768006,3064342,4018599,3317521,2367830,3676847,3957476,4154086,3747290,2133544,2922820,3295509,4126722,3501773,3211964,4679923
2021-11-01T02:05,3636160,2454056,3131219,4510239,3753663,2644291,4800145,3691476,5330872,2439331,3493907,3334006,5308365,4628753,4360071,2349798,4703943,3724146,5230141,3619373,4540408,4797715,3729292,2713553,2609194,2711115,4176264,3750443,4262439,2624859,4372628,4318059,3441883,4996372,3416839
2021-11-01T02:10,5366230,3594260,3814617,4330057,4104006,2439653,3697401,3051109,5076716,3498049,4877680,3264995,4425754,4688436,3802181,3731340,5465840,2106061,3121007,4702612,2995510,4019132,3332340,3629362,4120385,2763880,5434254,1895711,5242655,3792582,2012274,3221131,3858481,2591568,4805009
2021-11-01T02:15,3487174,2777039,2450498,4418732,3964756,4455479,3758812,5794994,3888384,4475127,5721660,2311192,5344244,4692531,3914887,4588825,4607439,5224660,2968607,3886768,2815112,5369165,4244911,3193966,4255281,3759220,5688318,3559510,4520655,1650585,3697565,2599063,3336961,4124320,4626988
2021-11-01T02:20,4018354,2522379,4769754,3598438,2828682,3157462,5368475,3670583,4302362,3305101,3368295,4585718,4554319,4345564,4088214,3240675,4556467,2510928,2580683,6032428,2920091,5480857,3610920,2492820,3929225,3601447,4459844,3494473,3712505,3749749,2803111,3516792,2896168,4232819,3644208
2021-11-01T02:25,4560229,2602570,3360475,4438516,3458668,4609490,4878005,4446332,5243977,3904197,3213398,3096073,4348472,2928041,3998075,4555133,4498266,3871490,3738759,2988756,3066305,4684152,4547338,3142705,3474602,3302792,4480272,3997597,4427120,2022043,4956461,3692071,5151213,4123399,3554018
2021-11-01T02:30,3300775,3196947,3223263,3748612,3854089,3352697,4419497,6308705,3338857,5722078,3947948,3428223,3556802,3786463,2106064,3828374,3724522,3879424,3182476,4914198,3939551,4818314,3530789,3095999,4248195,3444363,5059925,2425776,4610449,2518806,4406503,3916384,4783053,3051366,4973940
2021-11-01T02:35,2697567,2963331,4553496,4597094,4527245,4015915,4749941,5507910,4184023,3942990,4406545,2986610,3254181,4621175,3819185,3693705,4222065,3910478,4221465,4225766,4115518,3739843,3707423,2696853,3743478,3916738,4432399,3137960,4936723,2638859,4660041,2089948,1936359,4981421,3580127
2021-11-01T02:40,4922338,2525445,3254369,4560814,3859962,2337562,3148806,4765218,3318195,4154382,3905278,3118481,4299382,4228133,3179384,2661764,5911588,2632302,4621166,4913632,3680740,3140772,4016118,3520607,3777007,3543942,4128758,3726903,5568105,3826633,3568626,4158612,3650484,2823483,5732892
2021-11-01T02:45,4404092,3663398,3073864,3221807,2526020,3080365,3591320,3317701,5349968,3748651,4970142,3831789,4844356,3518288,3301774,4206482,2888431,4243648,4612683,2737974,4552011,3097930,2978609,3579128,3172582,2474522,4664958,2558286,5057309,2497802,3041663,3618826,3128843,5623418,3582689
2021-11-01T02:50,4186333,4397816,4057407,3147222,3009922,4156465,5882613,4250519,3164818,3569727,4982784,4313337,3694893,2561735,4446559,4694670,3732442,2531962,3272923,4529204,2530171,4464833,2702725,2426816,3892107,4070166,2675109,2813781,3923585,3329610,2958314,2617475,5922663,3742942,4333328
2021-11-01T02:55,3607918,2817447,4096186,4068283,2984763,1436033,3561898,3606044,5154608,1927489,3927718,4645030,3164519,4592861,3505765,4388038,4390226,5293139,3559823,3490629,2084005,4155433,3510153,1859475,4175928,2717236,5437571,5420545,3431369,2909066,3297635,4331405,4792018,3290320,4465526
2021-11-01T03:00,2625337,2528407,3031630,3386313,4504311,3128387,2824589,3517828,5243829,4486419,2937205,3807321,4041395,3628393,3286560,3659944,3294892,1664180,4855460,3995346,3360266,5121603,4314462,2316425,3437117,3635306,4535015,3315178,4899822,3071821,4305515,4014603,2403284,4715143,2667286
2021-11-01T03:05,5106394,3104606,4004822,3601823,3484686,3077598,3839995,4789162,4705788,3335468,4002706,3583588,3436263,3460030,3511156,3370632,4175009,3658279,2860119,4277006,2998844,4383372,4115884,3938278,4176910,3631614,4779526,2557013,4929874,3918011,3956695,3833252,3148111,4215513,2285360
2021-11-01T03:10,4208121,1909349,3180915,4973153,3425550,3092779,3925504,3545066,4525653,3745829,3653640,3699863,3604506,3299780,3683941,3709431,5995294,3733763,3343815,3017646,4619898,4368392,3709567,1630576,4344872,2887467,3897161,2758506,3679571,3309649,5122128,3409237,3116330,3362393,3762912
2021-11-01T03:15,4437900,3086989,1152479,4094638,3655318,1620765,3963913,3214181,3955916,4238566,5288342,2009699,3065228,2950458,3554853,4486767,3404185,4313201,3850920,3360996,4550442,2887500,4217747,2548295,3967373,3449023,4242882,4017207,4186105,3365424,4040898,3230286,3002145,3928670,3964613
2021-11-01T03:20,4482578,2439859,1510990,3117980,2746009,2429569,4201748,4666257,4366720,3975631,4165313,3447425,2989395,2533710,3785099,3705951,4778775,3039813,3457975,3530941,3729780,5054926,3380439,4100898,3429535,2439785,3674498,3498503,4761141,3806304,3998827,4076945,4082383,3957734,3603398
2021-11-01T03:25,4397369,2223928,3981626,3075716,2881819,2489806,4110936,3580675,2900603,3793390,3418862,3484517,3550341,3822618,2987137,4288116,3119766,3787509,4963255,3841940,3458267,3518586,2922133,3141613,3571711,3232814,4348451,4615336,3502759,3428930,4816349,2551586,3553468,2178382,4335037
2021-11-01T03:30,3213705,3337611,2559324,3952889,3475936,4306241,4224314,4425242,4041798,2885123,4694553,3739522,5362721,2320275,4307802,3319228,4666271,3862316,3100658,2578926,2878847,3998831,2365013,3498062,3160018,2427202,3006511,4135246,3855126,3585044,3945836,3965352,2976047,5727775,3585879
2021-11-01T03:35,5195851,3171854,4196898,4339259,3449747,3794384,4304795,4257286,4477857,4190655,3170314,2895915,4109160,3526995,2770461,2991832,4073133,3928386,2796798,3453635,3619536,4829051,3600600,4279386,6275984,2305483,4558008,3426678,3855731,3535761,3282882,2973273,3835771,3266176,3304118
2021-11-01T03:40,3487988,3186410,4284134,4606158,4128081,2467435,4399696,3186142,3423072,4582992,4798995,3533650,4816628,3072211,2234009,4753482,4771014,3336460,2951826,3527137,4086299,4482793,2958637,2294295,2074283,3949172,3208389,3924225,4056957,2962902,3808514,3741956,3573488,4316458,4083119
2021-11-01T03:45,5866744,1975239,3114296,4148720,4128396,2448162,4876914,3375510,3416494,3942092,4060747,2186312,2886849,3974596,2668490,3358202,3968832,3332879,3944683,4339711,3006255,4174989,2648656,2835522,4144124,3509760,4874873,3087771,5028311,4092618,3462630,2869517,3152408,2475228,3220636
2021-11-01T03:50,4348755,2121602,3484818,3668991,4041233,2684392,4653549,4249347,4172851,3735281,3134424,2597172,4037890,4387878,2408650,3433564,3614563,3601227,3627354,4318165,3475751,4121667,2781901,3340875,3769928,3358660,4640066,2576929,3863585,1688530,5368352,3703213,4764117,2093810,4272794
2021-11-01T03:55,3431934,2319399,2863261,4217011,3927422,2406227,4947076,3125142,3854219,1970638,3834102,3301361,5502725,3663677,3593137,2602646,4034258,2257924,4431042,4051793,1947672,2873379,4201761,2651295,3279893,3350743,4948102,3584508,3694949,3048624,3787439,4149950,4095641,4841296,3578896
2021-11-01T04:00,3389865,3162189,3189596,3732699,3636331,3008248,7079599,5555456,3261023,2536344,2638323,3592780,4133185,3812300,3020268,6129184,5360617,4151098,3039607,3563672,4187003,4411101,3692037,2919547,3605419,3408105,4034440,3595491,3334802,2270487,4943715,3510581,3704904,2028142,3147213
2021-11-01T04:05,3739938,4352806,2808345,3406217,3425930,3674399,4551732,2996156,2056685,4207909,3782702,4244451,4302211,3356862,3664091,3132952,4434431,3882431,5427127,3996309,4412499,2768855,2176255,2299395,3505818,3164306,4054896,3324185,4041502,3769172,3625449,3971540,4435849,3168630,4069699
2021-11-01T04:10,2974727,3281724,3005892,3240513,3956268,3747163,4303941,3973012,4748554,3257682,4229132,4352922,5039189,3839661,3174908,4422304,3997346,3318437,4280225,2749517,5242846,3151967,3364675,2549532,4111256,4302384,5311206,3729766,3942545,2120775,4155946,2569531,4694795,3026214,4254905
2021-11-01T04:15,4023744,2643465,2799584,3702892,3898273,2798050,4853187,5075395,4299498,3155601,4157199,4432024,2765920,4033590,3056489,3662851,4626828,4314901,3285476,2480046,3893617,4048076,3785663,3131523,3870715,4536191,3267273,2938108,3956293,3298096,2732682,2381912,4287763,3376639,3772689
2021-11-01T04:20,3050056,2162947,3489268,3469606,2428829,2052601,4548681,4647101,4903133,2940212,4135329,2912225,3014255,4197326,3119306,3743765,4051554,3829262,3704820,3263561,3770616,3626547,4853254,3400342,4485610,3466917,3216290,3191983,5888308,4064007,3518488,3745981,4018443,4295720,4256079
2021-11-01T04:25,3673856,3164752,2153130,3603590,4128375,3019011,3374891,4245919,4832095,2658817,3962283,2569045,4383442,3018011,3745370,4166544,5310409,3500152,2772900,4832614,3235311,4829603,2587380,3774675,4216142,3398072,3320500,2192896,4829298,2731144,4854544,3972259,3024172,3035729,3898709
2021-11-01T04:30,4313981,2244557,2057183,3450996,2002571,3173054,2641812,3941926,6225440,3599197,4344148,3372707,4220363,2311960,2969918,2892447,3000054,3988234,4071637,3920705,4109435,4705580,3368214,3474510,3652260,3039815,3753152,2295445,3178254,2384132,4691921,3505283,3881725,5425773,3870764
2021-11-01T04:35,3601490,2495562,3996115,3734341,4014951,2323033,3847994,4459543,4866614,2298393,3046579,4054460,3325720,3714916,4643379,4621653,3982040,3908007,3952330,3196127,2679956,3076018,3500430,2803362,4741906,2774293,4797161,1939983,3525478,2798008,3520024,2128046,4753882,3479838,3334322
2021-11-01T04:40,4366149,2864356,2975192,4007093,3729694,3376809,3866705,3553891,3135562,4694549,3341035,4398970,3326442,3673547,3620975,3581179,3716989,3325369,3790290,3568584,4604047,3884292,4259927,3452853,4171275,3966574,5425299,3721569,3834087,2864802,3503906,4162527,3646223,3222696,3976891
2021-11-01T04:45,4457489,3614490,3154373,3506423,4008861,2572842,3541841,4725514,4065793,3024962,3411846,3882515,3390596,2532145,3180909,4041883,3823783,4053654,3193791,5374771,3521889,3732944,3001335,2053520,3363197,3024515,4240205,3078185,3704447,2760184,4474660,4218636,2486078,3440206,5209620
2021-11-01T04:50,4511442,2891110,4043197,4088566,3032873,4341251,5340807,2791508,3614921,3085630,3361945,3296924,3809919,4399746,3940920,3864390,4160711,4527121,4046923,3494477,3237767,4201643,5086597,2737346,3716147,3271569,4843403,4217130,3840877,2592894,3557875,3458519,3727315,3120058,4221906
2021-11-01T04:55,4957218,3198993,2583444,3418725,4147089,3183427,3728652,3531014,2906397,3195887,5471253,4579867,4315005,3919593,5029185,4029656,4011172,5091711,4093026,4974219,2680946,5129439,2677855,3045732,3743927,3300752,4068586,4052230,3843326,2567208,5147769,3090733,3915387,3131566,3843506
2021-11-01T05:00,4136838,3294264,3654531,3323060,3638029,2101190,4479233,4010293,3964726,3845201,3764366,2894283,3990923,4355849,3345789,4847229,3596230,3817433,4116759,3503395,3957753,5295653,3775111,2630665,3763775,4221594,5485463,3668515,3802333,3277652,4288315,2496094,3329584,2718100,3449609
2021-11-01T05:05,3618230,2748729,2167683,3719198,2977978,2848459,4072082,4482098,5652308,3119675,4656158,3195098,4751163,3851305,2807413,2912126,5242050,4721643,3197352,3719350,3333989,5481418,4400590,4501686,3313806,3759135,4504585,2000101,3185212,3756693,4207573,4924361,2732050,3643600,4888121
2021-11-01T05:10,4414348,2715035,3516574,3791655,4333567,3187445,4960833,5079505,4188126,3190983,3527155,3338408,2542634,2755858,5152069,3793421,4261454,4328053,4375434,3697499,1994548,3377109,2306459,4007340,4684349,3794356,5064026,3253277,4420064,3818264,4483249,1915104,2938919,4347453,3784835
2021-11-01T05:15,2966762,2853114,3782782,4239344,4088090,3799594,4231825,5180485,3229947,3522832,3903926,2914395,5668364,5167825,3543123,2711815,5155711,3892776,3642508,3390270,3330858,4053849,3188811,3107650,5510847,3681794,3233926,3882438,2643468,2889935,2504285,2574844,3646042,4803670,4779923
2021-11-01T05:20,3221757,3893412,2863948,4343621,3297351,3492493,3124774,4034736,4654925,4005816,3923752,2905259,4092890,3116003,4120072,4321719,3799109,4283587,4119272,2571172,3836754,5400673,3955494,2061213,3846049,3012508,3852493,2810919,3207079,4591093,3236655,3701256,5164902,4087224,3985026
2021-11-01T05:25,4663659,3239332,4255732,3366278,4469579,2646877,5068160,4939310,3879320,3992189,3837841,4107870,3862394,3415616,4935234,4116444,3714635,3429770,5098686,3330117,2563415,3845231,3314963,2937748,4224512,3649477,4110978,3361346,5420687,3682839,4436844,2258288,2994345,5197328,3221417
2021-11-01T05:30,3091318,3860193,4154608,3873882,4225486,3673484,5625942,3781273,4143585,3803356,3369870,4389469,4194852,2000274,2169568,4135069,4499621,4148387,4240264,3915240,3244163,3143078,3535107,3629909,4119085,3992601,4641088,3739351,4558941,2634975,4131425,3548146,3878473,3993015,3780902
2021-11-01T05:35,5378053,2684569,3595297,4745125,3812200,5333399,3357699,3604344,3083446,3404369,4943575,4366259,3760839,2522770,4278955,3865121,4419484,3258722,3854811,4700875,3788429,4801591,3117759,2966754,5752205,2339468,5287926,3141756,3084129,2721666,4184817,3050447,3629424,3776804,4976584
2021-11-01T05:40,5087278,2686652,2977937,2991821,2948470,2907918,4490122,6320119,3342679,4333725,3745024,3896240,4168379,3277612,4128470,3894927,4050540,3384259,3391228,3864117,3186018,4821301,3532584,3865503,3679371,2901837,3160662,2440058,3352075,2855930,3643425,4215965,3450552,3865614,4326918
2021-11-01T05:45,5426141,4242878,2277342,2789190,3749571,2790078,4386367,3402461,3461853,2873100,3485550,3379514,4144894,3853450,3439216,3176137,4538183,2930419,4397458,3481431,2615768,3678564,3659722,2287414,3228610,3628043,3501083,3718092,4477023,2446424,4385208,3261335,2901336,4132122,2338556
2021-11-01T05:50,2629430,2670296,2221276,2675508,3662057,3508533,4635791,3742043,4849837,4912201,4818355,4273359,4092556,3664290,4253893,4883892,4818447,3084386,3557887,4297238,1752337,5756386,4167946,3048933,4956766,3140548,4805480,2854899,4082639,1949502,3000744,3505334,4479116,4357510,4069744
2021-11-01T05:55,3344539,3395474,3114610,2377874,3509159,2361028,3563577,3749521,2992003,3435712,3150666,4383523,4167210,3214469,4330957,4145702,4019118,2882425,3516379,5144146,3246579,3144846,2569319,3772015,4954529,3591744,3409105,3555113,3246910,4170021,2439392,3464506,4618031,3484553,3739509
2021-11-01T06:00,4241846,3383606,2626434,2503303,4020625,2839514,4798793,4408979,2969825,2349683,3028190,3643233,4657271,3513507,3525259,3795868,4139037,2879573,3708913,3989093,2026109,3361558,3198161,2465556,5277103,3719493,4328098,3698768,3863831,3559829,3000167,4732942,2514707,3636197,3884691
2021-11-01T06:05,3503279,3845772,3696674,3250274,3539582,3365102,3689693,3783392,3737671,4230256,3506198,3737245,3925161,3219573,4413934,4616336,3087251,5072301,4102060,4728767,3514117,2944893,4489040,3255991,4157637,2744415,5272637,3938161,3453291,3478945,3458530,3112409,3192752,3109343,5223340
2021-11-01T06:10,3840074,3465025,2382189,3380959,2580532,3814178,5652685,3109434,4459170,2443857,3738549,3120550,4140538,4977600,3570258,2530046,3681761,3578561,3931164,3450898,4217846,5174307,3209528,2856336,4167563,3533631,4816353,2387100,4525057,2510691,4466479,4314007,3365629,3247915,5758197
2021-11-01T06:15,2494926,3331047,3196322,3571401,4449585,3727326,4992947,5613795,3747548,3507740,3869703,3248434,3984274,3745047,3440756,3955308,5435369,3867998,3251344,2287841,3694761,3514352,3124474,2708253,4730464,2414527,4623625,4546109,4734134,2334038,3852616,3731405,4678633,3026459,2884707
2021-11-01T06:20,4325425,2183410,3884000,3365758,3368727,2855008,4160390,4304698,2506362,2900587,4045826,2727716,4526467,3172808,3612339,3353478,4603970,3566232,4475480,3994212,4110057,4070260,3911895,3254947,3273210,3958597,7001798,4343127,3839860,3730017,3471357,4735673,4353662,3217699,3967042
2021-11-01T06:25,3730766,4010242,2569080,3370237,4566621,3676506,5103244,4729493,3654921,4329098,4990526,5017983,4599729,3660434,3645551,4098549,4704252,3288437,2979118,4359809,4359610,4370355,3162661,2707738,5093497,4016412,3533657,3986034,2399345,3426897,3806721,3044227,4210658,3636419,3904051
2021-11-01T06:30,3329546,4004412,3947006,4121284,2827287,3987767,4131879,3866231,4241004,2794602,4395013,3250981,4743835,2571738,3318261,4290348,4221841,4455197,4539253,3163794,4629585,3961036,2541771,2921290,4931414,4453691,3983982,3395844,4141953,4850096,3254324,4336595,5340122,3800646,3713738
2021-11-01T06:35,3044723,2811515,3338935,4119701,4501188,3351728,3275479,4257263,3274360,2988786,3635938,3467947,3977234,4076388,3813887,3091139,3771467,3654581,2351815,3733204,3770398,4064950,4397957,3131794,4896039,3991008,4826441,3522773,3598560,4511541,3764400,2872490,3564185,3559615,4667256
2021-11-01T06:40,3068804,3306376,3118905,2343437,4990421,3244141,4274440,3028629,3158738,3376015,3183204,2757385,3778231,2664103,4633015,3615034,3829716,3377289,3255958,3199097,3241132,2892682,3151357,3700033,4625152,3513954,3401603,3274547,5773718,3249404,3642714,4517767,3852834,3614697,4885376
2021-11-01T06:45,3079749,4250988,3458136,4590233,3620541,4270732,4549022,4053439,4358101,4073575,4558620,3065882,2943319,3738823,4368356,3867154,3019721,2846062,3788743,3961058,2558282,4768855,4409041,3009769,3642140,3307113,4152912,4512650,2809158,2921386,3318389,3123735,4415262,2562306,4002142
2021-11-01T06:50,4654451,2889624,3224677,3839480,3756981,2613104,6182840,4089182,3682242,4681341,5194796,2880731,3139045,4219541,3823590,2870306,4978272,3549890,4522529,2945706,2850923,3494329,3401771,3183606,2790233,3983254,3921432,3241433,4762002,4804710,3038710,3398103,5003891,3484705,3225558
2021-11-01T06:55,3082705,4249415,3304788,3621098,4286796,2700146,4450342,4096564,4024456,3137412,2979392,2194072,4980951,4363444,4700935,4189470,5605420,3616356,3664613,2534108,3054610,2901328,2849537,3211001,3133366,3619126,4072584,3796508,4320938,3782874,3998728,5330896,2220935,2404943,4552290
2021-11-01T07:00,5510421,2903748,3592936,4637955,3497749,2083028,4606948,4276675,2980834,3315275,3066794,3329851,4616458,2288432,3726300,5168432,3866816,3168782,3746080,4326032,3248473,4220783,3058873,2909118,3122396,4164091,3969455,3382433,3311749,3560665,3502000,2595599,3564438,5061859,6246359
2021-11-01T07:05,5376595,2255859,3416874,3488001,3459563,2655871,4972787,3945707,3290691,4175772,2973450,3616777,4464855,3970083,3410703,4956420,3496153,3125096,4777782,4724613,3531871,5278878,2730457,5066205,4409255,3371640,5372753,4013249,2991254,3479362,3606747,3406955,3197187,3728576,3612619
2021-11-01T07:10,4548360,3847486,3338665,3763123,2663809,3537855,4525199,4004935,4276846,3018194,3840454,3564226,4422897,4445151,3110115,4274177,3796284,3849165,2175530,3431416,2887075,3927482,2538131,2980802,3638705,4315787,4182197,2770237,4373526,4270386,3731027,2359601,4016960,4675405,3896598
2021-11-01T07:15,4626023,3345007,3620501,4185883,4202071,2632003,4177398,4033389,3761588,2512625,4257986,3053063,3776503,4132865,3736830,3068878,4210399,4029074,3666178,2620427,3426234,2533229,4707867,3932173,4471811,3086219,4682709,3615230,2946581,2841534,4245219,4093915,4866133,3256168,4441279
2021-11-01T07:20,3949873,3679046,3304875,3004022,3504346,4395799,3354746,4256274,4420503,2907056,3581263,3996761,4438561,4218823,3736866,5092030,4535774,4570823,3806300,5582656,2679548,3428398,2957822,3218598,3921996,3052805,3775846,2834162,4463839,3142009,4643772,3136435,4914456,2857442,5418212
2021-11-01T07:25,3363459,2615472,3456652,2528477,4268347,3275916,4465934,3663320,3508931,2652961,4442225,4151110,2991449,3828008,3722758,3807807,3984196,4374641,4496655,4127978,1400368,3113555,3560401,3408519,3698752,2581432,4404263,3453945,2787165,4147721,4184185,3896001,4581385,4105205,4405006
2021-11-01T07:30,4722861,3455403,4149897,3718544,3296531,2355843,4865511,3624314,4805216,3884744,3678852,4641097,2665183,3161454,4465316,4391236,4153903,4957526,3910596,4723872,5394593,4205775,2811200,3346898,4412439,3247365,4278518,3310753,4177280,4067421,3466244,3262794,3633512,4769883,3677494
